cohort_month,new_customers
2019-01-01,2
2019-02-01,8
2019-03-01,12
2019-04-01,13
2019-05-01,14
2019-06-01,23
2019-07-01,31
2019-08-01,22
2019-09-01,34
2019-10-01,47
2019-11-01,57
2019-12-01,47
2020-01-01,60
2020-02-01,56
2020-03-01,60
2020-04-01,55
2020-05-01,65
2020-06-01,74
2020-07-01,77
2020-08-01,86
2020-09-01,86
2020-10-01,93
2020-11-01,87
2020-12-01,107
2021-01-01,122
2021-02-01,105
2021-03-01,122
2021-04-01,134
2021-05-01,156
2021-06-01,124
2021-07-01,133
2021-08-01,166
2021-09-01,167
2021-10-01,177
2021-11-01,165
2021-12-01,168
2022-01-01,189
2022-02-01,173
2022-03-01,201
2022-04-01,201
2022-05-01,221
2022-06-01,182
2022-07-01,226
2022-08-01,235
2022-09-01,259
2022-10-01,245
2022-11-01,251
2022-12-01,301
2023-01-01,258
2023-02-01,255
2023-03-01,275
2023-04-01,267
2023-05-01,363
2023-06-01,302
2023-07-01,354
2023-08-01,320
2023-09-01,327
2023-10-01,362
2023-11-01,355
2023-12-01,430
2024-01-01,410
2024-02-01,378
2024-03-01,430
2024-04-01,388
2024-05-01,431
2024-06-01,432
2024-07-01,445
2024-08-01,487
2024-09-01,481
2024-10-01,514
2024-11-01,544
2024-12-01,550
