cohort_month,period_number,active_users,cohort_size,retention_pct
2019-01-01,0,2,2,100
2019-02-01,0,9,9,100
2019-02-01,2,1,9,11.11
2019-02-01,18,1,9,11.11
2019-02-01,29,1,9,11.11
2019-02-01,63,1,9,11.11
2019-02-01,66,1,9,11.11
2019-02-01,70,1,9,11.11
2019-03-01,0,10,10,100
2019-03-01,8,1,10,10
2019-03-01,29,1,10,10
2019-03-01,30,1,10,10
2019-03-01,39,1,10,10
2019-03-01,43,1,10,10
2019-04-01,0,13,13,100
2019-04-01,3,1,13,7.69
2019-04-01,38,1,13,7.69
2019-04-01,65,1,13,7.69
2019-05-01,0,22,22,100
2019-05-01,52,1,22,4.55
2019-06-01,0,19,19,100
2019-06-01,1,1,19,5.26
2019-06-01,15,1,19,5.26
2019-06-01,25,1,19,5.26
2019-06-01,29,1,19,5.26
2019-06-01,45,1,19,5.26
2019-06-01,65,1,19,5.26
2019-07-01,0,26,26,100
2019-07-01,35,1,26,3.85
2019-07-01,44,1,26,3.85
2019-07-01,57,1,26,3.85
2019-08-01,0,34,34,100
2019-08-01,24,1,34,2.94
2019-08-01,36,1,34,2.94
2019-08-01,50,1,34,2.94
2019-08-01,53,1,34,2.94
2019-09-01,0,41,41,100
2019-09-01,1,1,41,2.44
2019-09-01,12,1,41,2.44
2019-09-01,20,1,41,2.44
2019-09-01,30,1,41,2.44
2019-09-01,35,1,41,2.44
2019-10-01,0,39,39,100
2019-10-01,3,1,39,2.56
2019-10-01,12,1,39,2.56
2019-10-01,17,2,39,5.13
2019-10-01,21,2,39,5.13
2019-10-01,23,1,39,2.56
2019-10-01,24,1,39,2.56
2019-10-01,35,1,39,2.56
2019-10-01,42,1,39,2.56
2019-11-01,0,35,35,100
2019-11-01,2,1,35,2.86
2019-11-01,6,1,35,2.86
2019-11-01,11,1,35,2.86
2019-11-01,38,1,35,2.86
2019-11-01,59,1,35,2.86
2019-11-01,60,1,35,2.86
2019-11-01,61,1,35,2.86
2019-12-01,0,58,58,100
2019-12-01,6,1,58,1.72
2019-12-01,7,1,58,1.72
2019-12-01,11,1,58,1.72
2019-12-01,18,1,58,1.72
2019-12-01,32,2,58,3.45
2019-12-01,39,1,58,1.72
2019-12-01,40,1,58,1.72
2019-12-01,41,1,58,1.72
2019-12-01,45,1,58,1.72
2019-12-01,48,1,58,1.72
2019-12-01,51,1,58,1.72
2019-12-01,53,1,58,1.72
2019-12-01,54,1,58,1.72
2019-12-01,57,2,58,3.45
2019-12-01,58,1,58,1.72
2019-12-01,59,1,58,1.72
2020-01-01,0,52,52,100
2020-01-01,13,1,52,1.92
2020-01-01,16,1,52,1.92
2020-01-01,17,1,52,1.92
2020-01-01,31,1,52,1.92
2020-01-01,32,1,52,1.92
2020-01-01,36,1,52,1.92
2020-01-01,53,1,52,1.92
2020-02-01,0,63,63,100
2020-02-01,4,1,63,1.59
2020-02-01,6,1,63,1.59
2020-02-01,9,3,63,4.76
2020-02-01,16,1,63,1.59
2020-02-01,23,1,63,1.59
2020-02-01,25,1,63,1.59
2020-02-01,31,1,63,1.59
2020-02-01,34,1,63,1.59
2020-02-01,42,1,63,1.59
2020-02-01,43,1,63,1.59
2020-02-01,49,1,63,1.59
2020-02-01,52,1,63,1.59
2020-03-01,0,54,54,100
2020-03-01,9,1,54,1.85
2020-03-01,14,1,54,1.85
2020-03-01,16,2,54,3.7
2020-03-01,23,1,54,1.85
2020-03-01,24,1,54,1.85
2020-03-01,26,1,54,1.85
2020-03-01,27,1,54,1.85
2020-03-01,40,1,54,1.85
2020-03-01,48,1,54,1.85
2020-03-01,50,1,54,1.85
2020-04-01,0,60,60,100
2020-04-01,5,1,60,1.67
2020-04-01,18,1,60,1.67
2020-04-01,19,1,60,1.67
2020-04-01,21,1,60,1.67
2020-04-01,22,1,60,1.67
2020-04-01,25,1,60,1.67
2020-04-01,31,1,60,1.67
2020-04-01,36,1,60,1.67
2020-04-01,37,1,60,1.67
2020-04-01,42,1,60,1.67
2020-04-01,47,1,60,1.67
2020-04-01,56,1,60,1.67
2020-05-01,0,72,72,100
2020-05-01,7,1,72,1.39
2020-05-01,8,1,72,1.39
2020-05-01,20,1,72,1.39
2020-05-01,23,2,72,2.78
2020-05-01,27,1,72,1.39
2020-05-01,33,1,72,1.39
2020-05-01,40,1,72,1.39
2020-05-01,44,1,72,1.39
2020-05-01,51,1,72,1.39
2020-05-01,52,1,72,1.39
2020-06-01,0,86,86,100
2020-06-01,1,1,86,1.16
2020-06-01,2,1,86,1.16
2020-06-01,3,1,86,1.16
2020-06-01,14,1,86,1.16
2020-06-01,20,1,86,1.16
2020-06-01,22,2,86,2.33
2020-06-01,27,1,86,1.16
2020-06-01,36,1,86,1.16
2020-06-01,38,1,86,1.16
2020-06-01,43,1,86,1.16
2020-06-01,53,1,86,1.16
2020-07-01,0,76,76,100
2020-07-01,2,1,76,1.32
2020-07-01,4,1,76,1.32
2020-07-01,8,1,76,1.32
2020-07-01,9,1,76,1.32
2020-07-01,13,1,76,1.32
2020-07-01,16,1,76,1.32
2020-07-01,18,2,76,2.63
2020-07-01,26,2,76,2.63
2020-07-01,27,1,76,1.32
2020-07-01,38,1,76,1.32
2020-07-01,39,1,76,1.32
2020-07-01,43,1,76,1.32
2020-07-01,47,1,76,1.32
2020-07-01,50,1,76,1.32
2020-08-01,0,99,99,100
2020-08-01,6,1,99,1.01
2020-08-01,7,1,99,1.01
2020-08-01,9,1,99,1.01
2020-08-01,12,1,99,1.01
2020-08-01,13,1,99,1.01
2020-08-01,14,2,99,2.02
2020-08-01,16,1,99,1.01
2020-08-01,18,1,99,1.01
2020-08-01,19,1,99,1.01
2020-08-01,27,1,99,1.01
2020-08-01,29,3,99,3.03
2020-08-01,34,1,99,1.01
2020-08-01,42,1,99,1.01
2020-08-01,50,2,99,2.02
2020-08-01,51,1,99,1.01
2020-09-01,0,96,96,100
2020-09-01,9,1,96,1.04
2020-09-01,11,1,96,1.04
2020-09-01,14,1,96,1.04
2020-09-01,15,2,96,2.08
2020-09-01,19,2,96,2.08
2020-09-01,22,3,96,3.13
2020-09-01,23,1,96,1.04
2020-09-01,25,2,96,2.08
2020-09-01,26,1,96,1.04
2020-09-01,28,1,96,1.04
2020-09-01,30,2,96,2.08
2020-09-01,31,1,96,1.04
2020-09-01,38,1,96,1.04
2020-09-01,44,1,96,1.04
2020-09-01,45,1,96,1.04
2020-09-01,50,1,96,1.04
2020-10-01,0,86,86,100
2020-10-01,1,1,86,1.16
2020-10-01,2,1,86,1.16
2020-10-01,4,1,86,1.16
2020-10-01,12,1,86,1.16
2020-10-01,16,2,86,2.33
2020-10-01,17,1,86,1.16
2020-10-01,18,1,86,1.16
2020-10-01,19,1,86,1.16
2020-10-01,22,1,86,1.16
2020-10-01,23,1,86,1.16
2020-10-01,25,1,86,1.16
2020-10-01,35,1,86,1.16
2020-10-01,41,1,86,1.16
2020-10-01,43,1,86,1.16
2020-10-01,44,1,86,1.16
2020-10-01,48,1,86,1.16
2020-11-01,0,106,106,100
2020-11-01,2,1,106,0.94
2020-11-01,3,2,106,1.89
2020-11-01,8,1,106,0.94
2020-11-01,13,2,106,1.89
2020-11-01,17,1,106,0.94
2020-11-01,27,1,106,0.94
2020-11-01,29,2,106,1.89
2020-11-01,37,1,106,0.94
2020-11-01,41,1,106,0.94
2020-11-01,44,2,106,1.89
2020-11-01,49,1,106,0.94
2020-12-01,0,114,114,100
2020-12-01,4,1,114,0.88
2020-12-01,5,1,114,0.88
2020-12-01,7,1,114,0.88
2020-12-01,11,1,114,0.88
2020-12-01,12,1,114,0.88
2020-12-01,15,1,114,0.88
2020-12-01,19,1,114,0.88
2020-12-01,20,1,114,0.88
2020-12-01,21,1,114,0.88
2020-12-01,24,1,114,0.88
2020-12-01,27,1,114,0.88
2020-12-01,30,1,114,0.88
2020-12-01,31,1,114,0.88
2020-12-01,38,2,114,1.75
2020-12-01,40,1,114,0.88
2020-12-01,42,1,114,0.88
2020-12-01,45,1,114,0.88
2020-12-01,47,1,114,0.88
2021-01-01,0,99,99,100
2021-01-01,10,1,99,1.01
2021-01-01,12,1,99,1.01
2021-01-01,13,1,99,1.01
2021-01-01,15,2,99,2.02
2021-01-01,16,1,99,1.01
2021-01-01,21,2,99,2.02
2021-01-01,26,1,99,1.01
2021-01-01,28,1,99,1.01
2021-01-01,33,1,99,1.01
2021-01-01,36,1,99,1.01
2021-01-01,40,1,99,1.01
2021-01-01,41,1,99,1.01
2021-01-01,42,1,99,1.01
2021-01-01,44,1,99,1.01
2021-01-01,45,1,99,1.01
2021-02-01,0,99,99,100
2021-02-01,4,1,99,1.01
2021-02-01,5,1,99,1.01
2021-02-01,11,1,99,1.01
2021-02-01,14,1,99,1.01
2021-02-01,19,1,99,1.01
2021-02-01,20,1,99,1.01
2021-02-01,22,1,99,1.01
