cohort_month,period_number,period_revenue,baseline_revenue,revenue_retention_pct
2019-01-01,0,83,83,100
2019-02-01,0,840.31,840.31,100
2019-03-01,0,877.73,877.73,100
2019-03-01,1,41.99,877.73,4.78
2019-03-01,23,347.75,877.73,39.62
2019-03-01,44,124.98,877.73,14.24
2019-04-01,0,700.28,700.28,100
2019-04-01,1,130.33,700.28,18.61
2019-04-01,15,128,700.28,18.28
2019-04-01,19,59.99,700.28,8.57
2019-04-01,23,38.94,700.28,5.56
2019-05-01,0,820.52,820.52,100
2019-05-01,1,26.99,820.52,3.29
2019-05-01,11,55.95,820.52,6.82
2019-05-01,59,198.85,820.52,24.23
2019-05-01,60,41.99,820.52,5.12
2019-06-01,0,1296.85,1296.85,100
2019-06-01,14,92.98,1296.85,7.17
2019-06-01,45,23.99,1296.85,1.85
2019-06-01,48,29.99,1296.85,2.31
2019-06-01,50,21.95,1296.85,1.69
2019-06-01,60,149.99,1296.85,11.57
2019-07-01,0,2109.29,2109.29,100
2019-07-01,9,21.99,2109.29,1.04
2019-07-01,15,200.38,2109.29,9.5
2019-07-01,40,9.95,2109.29,0.47
2019-07-01,48,247.5,2109.29,11.73
2019-07-01,57,380.35,2109.29,18.03
2019-08-01,0,1972.32,1972.32,100
2019-08-01,4,28,1972.32,1.42
2019-08-01,9,26.99,1972.32,1.37
2019-08-01,43,39,1972.32,1.98
2019-09-01,0,2412.54,2412.54,100
2019-09-01,1,230.45,2412.54,9.55
2019-09-01,18,79.49,2412.54,3.29
2019-09-01,30,155,2412.54,6.42
2019-09-01,37,63.5,2412.54,2.63
2019-09-01,39,48.65,2412.54,2.02
2019-09-01,53,19.99,2412.54,0.83
2019-09-01,62,34.52,2412.54,1.43
2019-10-01,0,3165.24,3165.24,100
2019-10-01,3,29,3165.24,0.92
2019-10-01,10,14,3165.24,0.44
2019-10-01,25,149.45,3165.24,4.72
2019-10-01,27,18,3165.24,0.57
2019-10-01,28,24,3165.24,0.76
2019-10-01,35,63,3165.24,1.99
2019-10-01,40,90,3165.24,2.84
2019-10-01,48,52.92,3165.24,1.67
2019-10-01,51,119.99,3165.24,3.79
2019-10-01,55,81.75,3165.24,2.58
2019-11-01,0,4176.07,4176.07,100
2019-11-01,1,199.48,4176.07,4.78
2019-11-01,10,169.5,4176.07,4.06
2019-11-01,25,7.2,4176.07,0.17
2019-11-01,28,10,4176.07,0.24
2019-11-01,29,74.95,4176.07,1.79
2019-11-01,32,35.5,4176.07,0.85
2019-11-01,36,27.99,4176.07,0.67
2019-11-01,42,34.99,4176.07,0.84
2019-11-01,48,37.99,4176.07,0.91
2019-11-01,52,150.93,4176.07,3.61
2019-11-01,55,25,4176.07,0.6
2019-11-01,58,10.48,4176.07,0.25
2019-11-01,60,134.94,4176.07,3.23
2019-12-01,0,4327.2,4327.2,100
2019-12-01,29,10.1,4327.2,0.23
2019-12-01,38,79.99,4327.2,1.85
2019-12-01,40,13.19,4327.2,0.3
2019-12-01,44,74.5,4327.2,1.72
2020-01-01,0,6214.52,6214.52,100
2020-01-01,1,12.23,6214.52,0.2
2020-01-01,2,24,6214.52,0.39
2020-01-01,8,77.65,6214.52,1.25
2020-01-01,11,89.99,6214.52,1.45
2020-01-01,16,79.99,6214.52,1.29
2020-01-01,18,172,6214.52,2.77
2020-01-01,24,358.5,6214.52,5.77
2020-01-01,35,22.99,6214.52,0.37
2020-01-01,36,69.99,6214.52,1.13
2020-01-01,38,197.57,6214.52,3.18
2020-01-01,45,116.99,6214.52,1.88
2020-01-01,47,69,6214.52,1.11
2020-01-01,53,31.99,6214.52,0.51
2020-02-01,0,5759.7,5759.7,100
2020-02-01,1,155.89,5759.7,2.71
2020-02-01,2,143.91,5759.7,2.5
2020-02-01,25,72,5759.7,1.25
2020-02-01,32,108,5759.7,1.88
2020-02-01,35,8.99,5759.7,0.16
2020-02-01,39,97,5759.7,1.68
2020-02-01,44,338.5,5759.7,5.88
2020-02-01,45,29.58,5759.7,0.51
2020-02-01,47,64.97,5759.7,1.13
2020-02-01,53,24.99,5759.7,0.43
2020-02-01,58,23.98,5759.7,0.42
2020-03-01,0,4027.97,4027.97,100
2020-03-01,1,1145.85,4027.97,28.45
2020-03-01,4,129.93,4027.97,3.23
2020-03-01,18,202.4,4027.97,5.02
2020-03-01,20,48,4027.97,1.19
2020-03-01,27,39.99,4027.97,0.99
2020-03-01,38,52.98,4027.97,1.32
2020-04-01,0,4630.26,4630.26,100
2020-04-01,1,30,4630.26,0.65
2020-04-01,10,185,4630.26,4
2020-04-01,12,185,4630.26,4
2020-04-01,13,199.71,4630.26,4.31
2020-04-01,14,76,4630.26,1.64
2020-04-01,21,348.99,4630.26,7.54
2020-04-01,22,36.95,4630.26,0.8
2020-04-01,26,45.99,4630.26,0.99
2020-04-01,29,16,4630.26,0.35
2020-04-01,35,27.4,4630.26,0.59
2020-04-01,36,54,4630.26,1.17
2020-04-01,37,12.99,4630.26,0.28
2020-04-01,40,74,4630.26,1.6
2020-04-01,41,77.37,4630.26,1.67
2020-04-01,54,26.98,4630.26,0.58
2020-05-01,0,5091.34,5091.34,100
