traffic_source,period_number,active_users,channel_size,retention_pct
Display,0,605,605,100
Display,1,1,605,0.17
Display,2,4,605,0.66
Display,3,2,605,0.33
Display,4,4,605,0.66
Display,5,3,605,0.5
Display,6,2,605,0.33
Display,7,1,605,0.17
Display,8,3,605,0.5
Display,9,2,605,0.33
Display,10,1,605,0.17
Display,12,6,605,0.99
Display,13,1,605,0.17
Display,14,2,605,0.33
Display,15,1,605,0.17
Display,16,3,605,0.5
Display,17,1,605,0.17
Display,18,3,605,0.5
Display,21,2,605,0.33
Display,22,2,605,0.33
Display,23,1,605,0.17
Display,25,2,605,0.33
Display,27,2,605,0.33
Display,28,1,605,0.17
Display,31,2,605,0.33
Display,35,1,605,0.17
Display,36,2,605,0.33
Display,38,2,605,0.33
Display,39,1,605,0.17
Display,42,2,605,0.33
Display,50,1,605,0.17
Email,0,751,751,100
Email,1,2,751,0.27
Email,2,4,751,0.53
Email,3,5,751,0.67
Email,5,6,751,0.8
Email,6,1,751,0.13
Email,7,5,751,0.67
Email,10,3,751,0.4
Email,11,1,751,0.13
Email,12,3,751,0.4
Email,13,4,751,0.53
Email,14,1,751,0.13
Email,15,1,751,0.13
Email,16,1,751,0.13
Email,17,2,751,0.27
Email,18,1,751,0.13
Email,19,3,751,0.4
Email,20,2,751,0.27
Email,21,3,751,0.4
Email,22,1,751,0.13
Email,23,1,751,0.13
Email,24,3,751,0.4
Email,25,1,751,0.13
Email,26,1,751,0.13
Email,27,1,751,0.13
Email,28,1,751,0.13
Email,29,2,751,0.27
Email,30,1,751,0.13
Email,31,1,751,0.13
Email,33,1,751,0.13
Email,34,1,751,0.13
Email,36,1,751,0.13
Email,38,2,751,0.27
Email,39,1,751,0.13
Email,40,1,751,0.13
Email,44,1,751,0.13
Email,48,1,751,0.13
Email,50,1,751,0.13
Email,55,1,751,0.13
Facebook,0,860,860,100
Facebook,1,6,860,0.7
Facebook,2,4,860,0.47
Facebook,3,5,860,0.58
Facebook,4,2,860,0.23
Facebook,5,2,860,0.23
Facebook,6,2,860,0.23
Facebook,8,3,860,0.35
Facebook,9,3,860,0.35
Facebook,10,2,860,0.23
Facebook,11,6,860,0.7
Facebook,13,2,860,0.23
Facebook,15,1,860,0.12
Facebook,16,6,860,0.7
Facebook,18,5,860,0.58
Facebook,20,2,860,0.23
Facebook,23,2,860,0.23
Facebook,25,1,860,0.12
Facebook,26,3,860,0.35
Facebook,27,2,860,0.23
Facebook,28,2,860,0.23
Facebook,31,1,860,0.12
Facebook,33,1,860,0.12
Facebook,34,1,860,0.12
Facebook,36,1,860,0.12
Facebook,38,2,860,0.23
Facebook,39,2,860,0.23
Facebook,41,1,860,0.12
Facebook,49,1,860,0.12
Facebook,59,1,860,0.12
Organic,0,2258,2258,100
Organic,1,10,2258,0.44
Organic,2,10,2258,0.44
Organic,3,13,2258,0.58
Organic,4,9,2258,0.4
Organic,5,9,2258,0.4
Organic,6,8,2258,0.35
Organic,7,8,2258,0.35
Organic,8,8,2258,0.35
Organic,9,3,2258,0.13
Organic,10,4,2258,0.18
Organic,11,9,2258,0.4
Organic,12,4,2258,0.18
Organic,13,3,2258,0.13
Organic,14,6,2258,0.27
Organic,15,1,2258,0.04
Organic,16,2,2258,0.09
Organic,17,2,2258,0.09
Organic,18,1,2258,0.04
Organic,19,2,2258,0.09
Organic,20,2,2258,0.09
Organic,21,3,2258,0.13
Organic,22,3,2258,0.13
Organic,23,4,2258,0.18
Organic,25,5,2258,0.22
Organic,26,4,2258,0.18
Organic,27,4,2258,0.18
Organic,28,1,2258,0.04
Organic,29,2,2258,0.09
Organic,30,1,2258,0.04
Organic,31,4,2258,0.18
Organic,32,3,2258,0.13
Organic,33,1,2258,0.04
Organic,34,4,2258,0.18
Organic,35,2,2258,0.09
Organic,36,2,2258,0.09
Organic,37,3,2258,0.13
Organic,39,1,2258,0.04
Organic,40,1,2258,0.04
Organic,41,1,2258,0.04
Organic,45,1,2258,0.04
Organic,51,1,2258,0.04
Organic,53,1,2258,0.04
Organic,62,1,2258,0.04
Search,0,10523,10523,100
Search,1,53,10523,0.5
Search,2,56,10523,0.53
Search,3,62,10523,0.59
Search,4,40,10523,0.38
Search,5,39,10523,0.37
Search,6,36,10523,0.34
Search,7,31,10523,0.29
Search,8,37,10523,0.35
Search,9,29,10523,0.28
Search,10,28,10523,0.27
Search,11,21,10523,0.2
Search,12,27,10523,0.26
Search,13,20,10523,0.19
Search,14,31,10523,0.29
Search,15,22,10523,0.21
Search,16,20,10523,0.19
Search,17,18,10523,0.17
Search,18,20,10523,0.19
Search,19,19,10523,0.18
Search,20,15,10523,0.14
Search,21,14,10523,0.13
Search,22,18,10523,0.17
Search,23,12,10523,0.11
Search,24,14,10523,0.13
Search,25,10,10523,0.1
Search,26,12,10523,0.11
Search,27,14,10523,0.13
Search,28,17,10523,0.16
Search,29,13,10523,0.12
Search,30,8,10523,0.08
Search,31,8,10523,0.08
Search,32,9,10523,0.09
Search,33,7,10523,0.07
Search,34,6,10523,0.06
Search,35,7,10523,0.07
Search,36,8,10523,0.08
Search,37,9,10523,0.09
Search,38,6,10523,0.06
Search,39,14,10523,0.13
Search,40,6,10523,0.06
Search,41,3,10523,0.03
Search,42,2,10523,0.02
Search,43,4,10523,0.04
Search,44,5,10523,0.05
Search,45,5,10523,0.05
Search,46,4,10523,0.04
Search,47,5,10523,0.05
Search,48,4,10523,0.04
Search,49,1,10523,0.01
Search,51,2,10523,0.02
Search,52,1,10523,0.01
Search,53,2,10523,0.02
Search,54,3,10523,0.03
Search,55,1,10523,0.01
Search,57,1,10523,0.01
Search,58,2,10523,0.02
Search,59,2,10523,0.02
Search,60,2,10523,0.02
