cohort_month,period_number,period_revenue,cumulative_revenue,cohort_size,cumulative_revenue_per_customer
2019-01-01,0,83,83,2,41.5
2019-02-01,0,840.31,840.31,8,105.04
2019-03-01,0,877.73,877.73,12,73.14
2019-03-01,1,41.99,919.72,12,76.64
2019-03-01,23,347.75,1267.47,12,105.62
2019-03-01,44,124.98,1392.45,12,116.04
2019-04-01,0,700.28,700.28,13,53.87
2019-04-01,1,130.33,830.61,13,63.89
2019-04-01,15,128,958.61,13,73.74
2019-04-01,19,59.99,1018.6,13,78.35
2019-04-01,23,38.94,1057.54,13,81.35
2019-05-01,0,820.52,820.52,14,58.61
2019-05-01,1,26.99,847.51,14,60.54
2019-05-01,11,55.95,903.46,14,64.53
2019-05-01,59,198.85,1102.31,14,78.74
2019-05-01,60,41.99,1144.3,14,81.74
2019-06-01,0,1296.85,1296.85,23,56.38
2019-06-01,14,92.98,1389.83,23,60.43
2019-06-01,45,23.99,1413.82,23,61.47
2019-06-01,48,29.99,1443.81,23,62.77
2019-06-01,50,21.95,1465.76,23,63.73
2019-06-01,60,149.99,1615.75,23,70.25
2019-07-01,0,2109.29,2109.29,31,68.04
2019-07-01,9,21.99,2131.28,31,68.75
2019-07-01,15,200.38,2331.66,31,75.21
2019-07-01,40,9.95,2341.61,31,75.54
2019-07-01,48,247.5,2589.11,31,83.52
2019-07-01,57,380.35,2969.46,31,95.79
2019-08-01,0,1972.32,1972.32,22,89.65
2019-08-01,4,28,2000.32,22,90.92
2019-08-01,9,26.99,2027.31,22,92.15
2019-08-01,43,39,2066.31,22,93.92
2019-09-01,0,2412.54,2412.54,34,70.96
2019-09-01,1,230.45,2642.99,34,77.74
2019-09-01,18,79.49,2722.48,34,80.07
2019-09-01,30,155,2877.48,34,84.63
2019-09-01,37,63.5,2940.98,34,86.5
2019-09-01,39,48.65,2989.63,34,87.93
2019-09-01,53,19.99,3009.62,34,88.52
2019-09-01,62,34.52,3044.14,34,89.53
2019-10-01,0,3165.24,3165.24,47,67.35
2019-10-01,3,29,3194.24,47,67.96
2019-10-01,10,14,3208.24,47,68.26
2019-10-01,25,149.45,3357.69,47,71.44
2019-10-01,27,18,3375.69,47,71.82
2019-10-01,28,24,3399.69,47,72.33
2019-10-01,35,63,3462.69,47,73.67
2019-10-01,40,90,3552.69,47,75.59
2019-10-01,48,52.92,3605.61,47,76.72
2019-10-01,51,119.99,3725.6,47,79.27
2019-10-01,55,81.75,3807.35,47,81.01
2019-11-01,0,4176.07,4176.07,57,73.26
2019-11-01,1,199.48,4375.55,57,76.76
2019-11-01,10,169.5,4545.05,57,79.74
2019-11-01,25,7.2,4552.25,57,79.86
2019-11-01,28,10,4562.25,57,80.04
2019-11-01,29,74.95,4637.2,57,81.35
2019-11-01,32,35.5,4672.7,57,81.98
2019-11-01,36,27.99,4700.69,57,82.47
2019-11-01,42,34.99,4735.68,57,83.08
2019-11-01,48,37.99,4773.67,57,83.75
2019-11-01,52,150.93,4924.6,57,86.4
2019-11-01,55,25,4949.6,57,86.84
2019-11-01,58,10.48,4960.08,57,87.02
2019-11-01,60,134.94,5095.02,57,89.39
2019-12-01,0,4327.2,4327.2,47,92.07
2019-12-01,29,10.1,4337.3,47,92.28
2019-12-01,38,79.99,4417.29,47,93.98
2019-12-01,40,13.19,4430.48,47,94.27
2019-12-01,44,74.5,4504.98,47,95.85
2020-01-01,0,6214.52,6214.52,60,103.58
2020-01-01,1,12.23,6226.75,60,103.78
2020-01-01,2,24,6250.75,60,104.18
2020-01-01,8,77.65,6328.4,60,105.47
2020-01-01,11,89.99,6418.39,60,106.97
2020-01-01,16,79.99,6498.38,60,108.31
2020-01-01,18,172,6670.38,60,111.17
2020-01-01,24,358.5,7028.88,60,117.15
2020-01-01,35,22.99,7051.87,60,117.53
2020-01-01,36,69.99,7121.86,60,118.7
2020-01-01,38,197.57,7319.43,60,121.99
