cip4,naics3,naics3_title,weighted_emp,share_in_naics3
01.00,611,Educational Services,16180,0.29126912691269125
01.00,541,"Professional, Scientific, and Technical Services",14830,0.266966696669667
01.00,311,Food Manufacturing,7300,0.13141314131413143
01.00,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",4060,0.07308730873087309
01.00,424,"Merchant Wholesalers, Nondurable Goods",3960,0.07128712871287128
01.00,551,Management of Companies and Enterprises,3070,0.055265526552655264
01.00,115,Support Activities for Agriculture and Forestry,2340,0.042124212421242126
01.00,312,Beverage and Tobacco Product Manufacturing,1000,0.018001800180018002
01.00,712,"Museums, Historical Sites, and Similar Institutions",850,0.0153015301530153
01.00,325,Chemical Manufacturing,620,0.011161116111611162
01.00,561,Administrative and Support Services,340,0.006120612061206121
01.00,444,Building Material and Garden Equipment and Supplies Dealers,300,0.0054005400540054005
01.00,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",290,0.00522052205220522
01.00,713,"Amusement, Gambling, and Recreation Industries",140,0.0025202520252025204
01.00,493,Warehousing and Storage,100,0.0018001800180018
01.00,445,Food and Beverage Retailers,90,0.0016201620162016202
01.00,425,Wholesale Trade Agents and Brokers,50,0.0009000900090009
01.00,423,"Merchant Wholesalers, Durable Goods",30,0.00054005400540054
01.01,423,"Merchant Wholesalers, Durable Goods",499160,0.1411084914994544
01.01,541,"Professional, Scientific, and Technical Services",360710,0.10196979719682707
01.01,424,"Merchant Wholesalers, Nondurable Goods",301790,0.0853135901306602
01.01,611,Educational Services,185510,0.05244217537075043
01.01,621,Ambulatory Health Care Services,183910,0.051989868322110465
01.01,561,Administrative and Support Services,176430,0.04987533286971861
01.01,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",175190,0.049524794907022635
01.01,551,Management of Companies and Enterprises,133940,0.037863753809273426
01.01,425,Wholesale Trade Agents and Brokers,127040,0.03591317966201356
01.01,522,Credit Intermediation and Related Activities,124480,0.03518948838418961
01.01,524,Insurance Carriers and Related Activities,79340,0.022428775774434476
01.01,622,Hospitals,61600,0.017413821372638815
01.01,238,Specialty Trade Contractors,56110,0.015861842811992922
01.01,513,Publishing Industries,50790,0.014357921875265023
01.01,444,Building Material and Garden Equipment and Supplies Dealers,45470,0.012854000938537126
01.01,721,Accommodation,43540,0.012308405561115163
01.01,332,Fabricated Metal Product Manufacturing,40840,0.011545137416535215
01.01,333,Machinery Manufacturing,39020,0.01103063814870725
01.01,493,Warehousing and Storage,35250,0.009964889665349322
01.01,445,Food and Beverage Retailers,32720,0.009249679144687372
01.01,441,Motor Vehicle and Parts Dealers,30310,0.008568391652673417
01.01,334,Computer and Electronic Product Manufacturing,28650,0.00809912308970945
01.01,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",27560,0.00779098891282347
01.01,455,General Merchandise Retailers,27310,0.007720315936473475
01.01,311,Food Manufacturing,26350,0.007448931707289493
01.01,339,Miscellaneous Manufacturing,24900,0.007039028444459521
01.01,531,Real Estate,24670,0.006974009306217526
01.01,624,Social Assistance,23920,0.00676199037716754
01.01,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",23790,0.0067252404294655425
01.01,325,Chemical Manufacturing,23610,0.006674355886493546
01.01,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",23110,0.006533009933793556
01.01,488,Support Activities for Transportation,21690,0.006131587428125583
01.01,517,Telecommunications,20970,0.005928049256237597
01.01,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",20900,0.005908260822859598
01.01,336,Transportation Equipment Manufacturing,20740,0.005863030117995601
01.01,811,Repair and Maintenance,19920,0.005631222755567617
01.01,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",19710,0.005571857455433621
01.01,323,Printing and Related Support Activities,19350,0.005470088369489628
01.01,236,Construction of Buildings,18510,0.005232627168953645
01.01,491,Postal Service (Federal Government),18190,0.00514216575922565
01.01,115,Support Activities for Agriculture and Forestry,18180,0.00513933884017165
01.01,326,Plastics and Rubber Products Manufacturing,17010,0.004808589310853673
01.01,623,Nursing and Residential Care Facilities,16810,0.004752050929773677
01.01,532,Rental and Leasing Services,16030,0.004531551243561692
01.01,312,Beverage and Tobacco Product Manufacturing,15730,0.004446743671941698
01.01,713,"Amusement, Gambling, and Recreation Industries",15460,0.004370416857483703
01.01,484,Truck Transportation,14990,0.004237551661945712
01.01,481,Air Transportation,14540,0.0041103403045157205
01.01,327,Nonmetallic Mineral Product Manufacturing,14080,0.0039803020280317295
01.01,456,Health and Personal Care Retailers,12720,0.0035958410366877555
01.01,335,"Electrical Equipment, Appliance, and Component Manufacturing",12630,0.0035703987652017572
01.01,337,Furniture and Related Product Manufacturing,12220,0.0034544950839877652
01.01,812,Personal and Laundry Services,12070,0.003412091298177768
01.01,221,Utilities,11740,0.003318802969395774
01.01,321,Wood Product Manufacturing,11260,0.0031831108548037836
01.01,322,Paper Manufacturing,10560,0.002985226521023797
01.01,458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",9400,0.0026573039107598193
01.01,237,Heavy and Civil Engineering Construction,7700,0.002176727671579852
01.01,331,Primary Metal Manufacturing,7290,0.00206082399036586
01.01,722,Food Services and Drinking Places,6640,0.0018770742518558724
01.01,516,Broadcasting and Content Providers,5880,0.001662228403751887
01.01,562,Waste Management and Remediation Services,5870,0.001659401484697887
01.01,711,"Performing Arts, Spectator Sports, and Related Industries",4870,0.0013767095792979064
01.01,492,Couriers and Messengers,4190,0.0011844790836259196
01.01,314,Textile Product Mills,4030,0.0011392483787619225
01.01,512,Motion Picture and Sound Recording Industries,3860,0.0010911907548439258
01.01,457,Gasoline Stations and Fuel Dealers,3610,0.0010205177784939306
01.01,315,Apparel Manufacturing,3500,0.0009894216688999327
01.01,113,Forestry and Logging,3020,0.0008537295543079419
01.01,485,Transit and Ground Passenger Transportation,2850,0.0008056719303899452
01.01,519,"Web Search Portals, Libraries, Archives, and Other Information Services",2790,0.0007887104160659463
01.01,712,"Museums, Historical Sites, and Similar Institutions",2720,0.0007689219826879477
01.01,324,Petroleum and Coal Products Manufacturing,2600,0.0007349989540399501
01.01,213,Support Activities for Mining,2560,0.0007236912778239507
01.01,212,Mining (except Oil and Gas),1990,0.0005625568917459618
01.01,313,Textile Mills,1870,0.000528633863097964
01.01,482,Rail Transportation,1180,0.00033357644837197733
01.01,521,Monetary Authorities-Central Bank,1160,0.0003279226102639777
01.01,211,Oil and Gas Extraction,1070,0.00030248033877797946
01.01,483,Water Transportation,1030,0.0002911726625619802
01.01,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),770,0.0002176727671579852
01.01,525,"Funds, Trusts, and Other Financial Vehicles",750,0.00021201892904998559
01.01,316,Leather and Allied Product Manufacturing,530,0.0001498267098619898
01.01,487,Scenic and Sightseeing Transportation,360,0.00010176908594399307
01.01,486,Pipeline Transportation,300,8.480757161999423e-05
01.02,611,Educational Services,115040,0.2300109967009897
01.02,423,"Merchant Wholesalers, Durable Goods",75700,0.15135459362191342
01.02,488,Support Activities for Transportation,49970,0.09991002699190243
01.02,481,Air Transportation,35570,0.07111866440067979
01.02,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",34250,0.06847945616315106
01.02,336,Transportation Equipment Manufacturing,23630,0.04724582625212436
01.02,532,Rental and Leasing Services,20990,0.04196740977706688
01.02,237,Heavy and Civil Engineering Construction,20350,0.04068779366190143
01.02,238,Specialty Trade Contractors,19590,0.03916824952514246
01.02,115,Support Activities for Agriculture and Forestry,19480,0.03894831550534839
01.02,811,Repair and Maintenance,11900,0.023792862141357594
01.02,424,"Merchant Wholesalers, Nondurable Goods",11570,0.023133060081975406
01.02,212,Mining (except Oil and Gas),8770,0.01753473957812656
01.02,561,Administrative and Support Services,7040,0.014075777266819954
01.02,492,Couriers and Messengers,5500,0.010996700989703088
01.02,541,"Professional, Scientific, and Technical Services",4180,0.008357492752174348
01.02,333,Machinery Manufacturing,3470,0.0069379186244126765
01.02,236,Construction of Buildings,3350,0.006697990602819154
01.02,444,Building Material and Garden Equipment and Supplies Dealers,3020,0.006038188543436969
01.02,484,Truck Transportation,2970,0.005938218534439668
01.02,551,Management of Companies and Enterprises,2510,0.005018494451664501
01.02,562,Waste Management and Remediation Services,2160,0.004318704388683395
01.02,213,Support Activities for Mining,2070,0.004138758372488253
01.02,311,Food Manufacturing,1860,0.00371888433469959
01.02,621,Ambulatory Health Care Services,1780,0.0035589323203039087
01.02,493,Warehousing and Storage,1540,0.003079076277116865
01.02,624,Social Assistance,1530,0.0030590822753174046
