cip4,R,I,A,S,E,C,n_socs,coverage_pct
01.00,5.701237606232295,5.819275849858357,2.0620892351274787,2.4495325779036823,2.1864837110481585,3.8640120396600572,5,100.0
01.01,2.515190154787033,2.225345723786265,1.254788156227319,3.5316934544318164,5.672020477360939,5.4481652156999685,10,100.0
01.02,6.150327166736066,3.6770245672476354,1.5069627029920885,2.432562806099181,1.526284575575516,4.15117442944104,6,100.0
01.03,5.638603112274579,3.90156559045957,1.7666026759744036,3.0913656195462482,3.4284380453752186,3.651153286794649,10,100.0
01.04,5.294721016738996,3.4930176689398635,1.3315251084934905,2.8990359578425298,4.118646931184129,4.684130502169871,4,100.0
01.05,5.496356468389014,3.1556643339884007,2.0680609212481422,4.557018645448881,1.7268808416814458,3.252581603796194,4,100.0
01.06,4.723148613164456,1.4462821774531653,1.389818883911825,2.6755371036430637,4.668954919570158,4.58911419051612,9,100.0
01.07,4.642717815344604,5.5780104031209365,2.6272431729518857,3.6986215864759426,2.5913133940182056,3.7840702210663197,2,100.0
01.08,3.8241373369431453,3.3536795471326606,3.7923480187053906,2.4936697021904997,2.7153950283042088,4.141727787349249,3,100.0
01.09,5.2959626456958295,3.6679132144361746,1.4847563544446005,3.230293498104199,4.2681912652717315,4.23930346861396,6,100.0
01.10,5.939586255036964,2.7682793413078657,1.6892080464511214,1.762890503537773,2.6491268204461087,4.506607862423454,8,100.0
01.11,5.40046988056839,4.427940022665854,1.7969435968965217,3.0763813093888936,3.743434748496208,3.987968790863918,9,100.0
01.12,5.741161616161616,6.192304713804714,1.9252239057239058,2.3833215488215487,1.7109966329966328,3.859506734006734,4,100.0
01.13,6.640000000000001,4.985,1.115,1.4249999999999998,2.05,4.605,1,100.0
01.80,3.974067343322056,5.5728918962461735,2.4803931045593686,6.077697760592879,1.9146570001611085,3.507009827613984,2,100.0
01.81,3.984063039447606,5.583607505913944,2.4762841250559426,6.04526372994054,1.91848922703152,3.505849050572214,3,100.0
01.82,2.0210941396468223,2.2682838288974914,1.1843363780608087,3.7563063414279165,6.128944507470173,5.692089764231795,6,100.0
01.83,4.955840961218778,5.099489299917934,1.966773983123961,5.061619215958588,1.4785531216463608,3.913107337499737,3,100.0
03.01,3.4826158642396385,4.213040857358274,1.4245346162591703,2.7797261874842927,3.863583336325231,5.334154184468459,8,100.0
03.02,4.116387827390898,3.1943368078195267,1.2379166048127344,3.0498877195945737,4.576597315950236,4.889054952344933,19,100.0
03.03,5.530049778199181,2.230001354508821,1.0000020317632319,2.8899370153398123,6.009863871863465,4.659953608072874,2,100.0
03.05,5.765402276486039,3.8817229302461334,1.397746862535266,2.9698346142620875,3.938751824107404,4.363830139118592,6,100.0
03.06,5.1916932907348246,5.787806937471475,2.3837768142400733,3.1557850296668186,3.115223642172524,3.6872911912368784,3,100.0
03.99,3.9699999999999998,5.91,3.15,6.469999999999999,2.42,3.34,1,100.0
04.02,4.023157592256504,4.754315789473684,3.0230589836660613,2.6437843315184515,4.8260229885057475,4.106761645493043,3,100.0
04.03,3.5117558095238097,5.215603809523809,2.560447619047619,2.755284190476191,5.263926095238095,3.9416083809523808,3,75.0
04.04,4.02212165082109,4.551735522904061,3.47801404494382,2.686256050129645,4.572935609334486,4.032790406222991,6,100.0
04.05,3.70162157486853,4.6850408247993345,3.2081369360642125,2.696254151674509,5.007155411015777,3.9095952117354,3,100.0
04.06,3.7205936244979916,5.158831157965193,2.644116047523427,2.6988349230254354,5.276477576974566,3.918506526104417,3,100.0
04.08,4.7455024311183145,4.009024311183144,4.144925445705025,2.860918962722852,3.5289724473257698,4.359298217179903,3,100.0
04.09,4.2252639737394,4.875080088751101,3.1342485030850127,2.3180249840430385,4.12581289322513,4.2549870824594995,3,100.0
04.10,2.8455149507390436,2.086695920299515,1.8082773754852373,3.4357228245592553,6.420688860108542,5.101088017852246,5,83.33333333333333
05.01,3.05,5.31,3.84,6.920000000000001,3.0,3.0299999999999994,1,100.0
