cip4,state,total_employment,location_quotient,coverage_pct,n_routing_socs,n_observed_socs
01.00,AK,,,0.29390934844192634,5,1
01.00,AL,430.0,0.5701353544854681,0.9562677053824362,5,4
01.00,AR,,,0.40793201133144474,5,2
01.00,AZ,,,0.44794617563739375,5,2
01.00,CA,7620.0,1.1572630777855681,0.9562677053824362,5,4
01.00,CO,1090.0,1.0430966230512684,0.9562677053824362,5,4
01.00,CT,,,0.29390934844192634,5,1
01.00,DC,,,0.29390934844192634,5,1
01.00,DE,,,0.44794617563739375,5,2
01.00,FL,530.0,0.14830995813752898,0.7461048158640227,5,4
01.00,GA,1990.0,1.1255123627509878,1.0,5,5
01.00,HI,,,0.25389518413597734,5,1
01.00,IA,2610.0,4.579208168989473,1.0,5,5
01.00,ID,1160.0,3.8228277137041817,0.9562677053824362,5,4
01.00,IL,1650.0,0.7517913159222801,0.7060906515580736,5,4
01.00,IN,1100.0,0.9452181169184416,0.9562677053824362,5,4
01.00,KS,1090.0,2.087261505352721,0.9562677053824362,5,4
01.00,KY,760.0,1.0469150456553125,0.9562677053824362,5,4
01.00,LA,150.0,0.2152781136981514,0.8022308781869688,5,3
01.00,MA,,,0.0,5,0
01.00,MD,1190.0,1.1949363159800244,1.0,5,5
01.00,ME,260.0,1.1320634247700452,0.7018413597733711,5,3
01.00,MI,1450.0,0.9039928248446298,1.0,5,5
01.00,MN,1800.0,1.688307399091444,0.7455736543909348,5,4
01.00,MO,1570.0,1.4804634254060434,0.9562677053824362,5,4
01.00,MS,500.0,1.1887856679724835,0.9562677053824362,5,4
01.00,MT,,,0.44794617563739375,5,2
01.00,NC,1660.0,0.9268508153810724,0.9562677053824362,5,4
01.00,ND,600.0,3.925035213053142,0.7018413597733711,5,3
01.00,NE,1870.0,5.061837398200195,1.0,5,5
01.00,NH,100.0,0.40988054711229394,0.5083215297450425,5,2
01.00,NJ,1130.0,0.729999661828863,0.7023725212464589,5,3
01.00,NM,,,0.44794617563739375,5,2
01.00,NV,80.0,0.1442879179668082,0.5478045325779037,5,2
01.00,NY,1320.0,0.3809660126558861,0.9562677053824362,5,4
01.00,OH,870.0,0.43189241315930305,1.0,5,5
01.00,OK,610.0,0.9887576335440341,0.7018413597733711,5,3
01.00,OR,1390.0,1.9467169585043815,0.9562677053824362,5,4
01.00,PA,1010.0,0.45930659601522755,0.7461048158640227,5,4
01.00,RI,,,0.25442634560906513,5,1
01.00,SC,490.0,0.5929284760781929,0.9562677053824362,5,4
01.00,SD,1030.0,6.28635835849219,1.0,5,5
01.00,TN,750.0,0.6270332974862902,0.9562677053824362,5,4
01.00,TX,3190.0,0.6334523427894929,1.0,5,5
01.00,UT,330.0,0.52994578903818,0.9562677053824362,5,4
01.00,VA,780.0,0.5287259680002206,0.9562677053824362,5,4
01.00,VT,,,0.15403682719546744,5,1
01.00,WA,1530.0,1.184666048579145,1.0,5,5
01.00,WI,2240.0,2.094571067271698,1.0,5,5
01.00,WV,150.0,0.5893540841234318,0.7018413597733711,5,3
01.00,WY,200.0,1.9962906090910504,0.7018413597733711,5,3
01.01,AK,7560.0,1.0520854706363265,0.9849901901280224,10,4
01.01,AL,48420.0,1.0236170734440486,0.9983316160176154,10,8
01.01,AR,32830.0,1.1204673842478845,0.9983316160176154,10,8
01.01,AZ,71120.0,0.9760954872339537,0.9909523339026353,10,6
01.01,CA,391610.0,0.948274600209528,1.0,10,9
01.01,CO,74700.0,1.1397821785139501,0.9983316160176154,10,8
01.01,CT,48140.0,1.263708960806006,0.9929792369472243,10,6
01.01,DC,10790.0,0.6859331266711339,0.6270103180092311,10,4
01.01,DE,11510.0,1.0861350945352048,0.9938487162476887,10,7
01.01,FL,248930.0,1.1106440662143369,1.0,10,9
01.01,GA,122710.0,1.106573761496467,0.9983316160176154,10,8
01.01,HI,16200.0,1.1650808418577088,0.9911414738803337,10,6
01.01,IA,34620.0,0.96845659702085,1.0,10,9
01.01,ID,21210.0,1.1144757521713762,0.9983316160176154,10,8
01.01,IL,128070.0,0.9303877614420145,0.995435233672562,10,7
01.01,IN,69410.0,0.9509651796881254,1.0,10,9
01.01,KS,33730.0,1.0298404018860412,1.0,10,9
01.01,KY,44560.0,0.9786924769889424,1.0,10,9
01.01,LA,43540.0,0.9963232473681427,0.9894730898979491,10,5
