cip4,SOC2018Code,SOC2018Title,source_cip6_count
01.00,19-1011,Animal Scientists,1
01.00,19-1012,Food Scientists and Technologists,1
01.00,19-1013,Soil and Plant Scientists,1
01.00,19-4012,Agricultural Technicians,1
01.00,25-1041,"Agricultural Sciences Teachers, Postsecondary",1
01.01,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",4
01.01,13-1021,"Buyers and Purchasing Agents, Farm Products",1
01.01,15-1232,Computer User Support Specialists,1
01.01,19-3011,Economists,1
01.01,25-1041,"Agricultural Sciences Teachers, Postsecondary",6
01.01,25-1063,"Economics Teachers, Postsecondary",1
01.01,25-9021,Farm and Home Management Educators,1
01.01,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1
01.01,43-1011,First-Line Supervisors of Office and Administrative Support Workers,1
01.01,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3
01.02,25-1041,"Agricultural Sciences Teachers, Postsecondary",3
01.02,25-1194,"Career/Technical Education Teachers, Postsecondary",1
01.02,45-2091,Agricultural Equipment Operators,1
01.02,49-3011,Aircraft Mechanics and Service Technicians,1
01.02,49-3041,Farm Equipment Mechanics and Service Technicians,5
01.02,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",1
01.03,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",9
01.03,19-1011,Animal Scientists,1
01.03,19-1013,Soil and Plant Scientists,1
01.03,19-1031,Conservation Scientists,1
01.03,25-1041,"Agricultural Sciences Teachers, Postsecondary",7
01.03,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1
01.03,25-9021,Farm and Home Management Educators,5
01.03,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",9
01.03,45-2021,Animal Breeders,3
01.03,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1
01.04,19-4013,Food Science Technicians,1
01.04,25-1041,"Agricultural Sciences Teachers, Postsecondary",1
01.04,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1
01.04,45-2011,Agricultural Inspectors,1
01.05,25-1041,"Agricultural Sciences Teachers, Postsecondary",2
01.05,25-1194,"Career/Technical Education Teachers, Postsecondary",2
01.05,39-2011,Animal Trainers,2
01.05,39-2021,Animal Caretakers,2
01.06,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6
01.06,25-1041,"Agricultural Sciences Teachers, Postsecondary",6
01.06,25-9021,Farm and Home Management Educators,3
01.06,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",6
01.06,37-3011,Landscaping and Groundskeeping Workers,6
01.06,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3
01.06,41-1011,First-Line Supervisors of Retail Sales Workers,1
01.06,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",2
01.06,45-4011,Forest and Conservation Workers,1
01.07,19-1012,Food Scientists and Technologists,1
01.07,25-1041,"Agricultural Sciences Teachers, Postsecondary",1
01.08,25-9021,Farm and Home Management Educators,1
01.08,27-3023,"News Analysts, Reporters, and Journalists",1
01.08,27-4011,Audio and Video Technicians,1
01.09,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",8
01.09,19-1011,Animal Scientists,7
01.09,19-4012,Agricultural Technicians,3
01.09,25-1041,"Agricultural Sciences Teachers, Postsecondary",8
01.09,25-9021,Farm and Home Management Educators,7
01.09,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",5
01.10,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",1
01.10,19-1012,Food Scientists and Technologists,6
01.10,19-1013,Soil and Plant Scientists,1
01.10,19-4013,Food Science Technicians,5
01.10,25-1041,"Agricultural Sciences Teachers, Postsecondary",3
01.10,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1
01.10,51-3092,Food Batchmakers,2
01.10,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",3
01.11,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5
01.11,19-1011,Animal Scientists,1
01.11,19-1013,Soil and Plant Scientists,7
01.11,19-1031,Conservation Scientists,1
01.11,19-4012,Agricultural Technicians,2
01.11,25-1041,"Agricultural Sciences Teachers, Postsecondary",7
01.11,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1
01.11,25-9021,Farm and Home Management Educators,5
01.11,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",2
01.12,19-1013,Soil and Plant Scientists,4
01.12,19-1022,Microbiologists,1
01.12,19-4012,Agricultural Technicians,1
01.12,25-1041,"Agricultural Sciences Teachers, Postsecondary",4
01.13,19-4012,Agricultural Technicians,1
01.80,25-1071,"Health Specialties Teachers, Postsecondary",1
01.80,29-1131,Veterinarians,1
01.81,19-1011,Animal Scientists,9
01.81,25-1071,"Health Specialties Teachers, Postsecondary",12
01.81,29-1131,Veterinarians,12
01.82,11-1021,General and Operations Managers,1
01.82,11-3012,Administrative Services Managers,1
01.82,11-9111,Medical and Health Services Managers,2
01.82,43-1011,First-Line Supervisors of Office and Administrative Support Workers,4
01.82,43-4171,Receptionists and Information Clerks,1
01.82,43-6013,Medical Secretaries and Administrative Assistants,2
01.83,25-1071,"Health Specialties Teachers, Postsecondary",1
01.83,29-2056,Veterinary Technologists and Technicians,2
01.83,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,2
03.01,13-1041,Compliance Officers,2
03.01,19-1031,Conservation Scientists,1
03.01,19-1032,Foresters,1
03.01,19-2041,"Environmental Scientists and Specialists, Including Health",2
03.01,19-4042,"Environmental Science and Protection Technicians, Including Health",1
03.01,19-4071,Forest and Conservation Technicians,2
03.01,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1
03.01,25-1053,"Environmental Science Teachers, Postsecondary",2
03.02,11-9072,"Entertainment and Recreation Managers, Except Gambling",1
03.02,11-9199,"Managers, All Other",1
03.02,13-1041,Compliance Officers,2
03.02,19-1031,Conservation Scientists,3
03.02,19-1032,Foresters,1
03.02,19-3011,Economists,1
03.02,19-3099,"Social Scientists and Related Workers, All Other",1
03.02,19-4061,Social Science Research Assistants,1
03.02,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",4
03.02,25-1063,"Economics Teachers, Postsecondary",1
03.02,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1
03.02,33-1012,First-Line Supervisors of Police and Detectives,1
03.02,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,1
03.02,33-2011,Firefighters,1
03.02,33-2022,Forest Fire Inspectors and Prevention Specialists,1
03.02,33-3021,Detectives and Criminal Investigators,1
03.02,33-3031,Fish and Game Wardens,1
03.02,33-3051,Police and Sheriff’s Patrol Officers,1
03.02,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1
03.03,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1
03.03,45-3031,Fishing and Hunting Workers,1
03.05,19-1031,Conservation Scientists,3
03.05,19-1032,Foresters,7
03.05,19-4071,Forest and Conservation Technicians,4
03.05,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",7
03.05,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",2
03.05,45-4011,Forest and Conservation Workers,3
03.06,19-1023,Zoologists and Wildlife Biologists,1
03.06,19-1031,Conservation Scientists,1
03.06,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1
03.99,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1
04.02,11-9041,Architectural and Engineering Managers,2
04.02,17-1011,"Architects, Except Landscape and Naval",2
04.02,25-1031,"Architecture Teachers, Postsecondary",3
04.03,11-9041,Architectural and Engineering Managers,1
04.03,19-3051,Urban and Regional Planners,1
04.03,25-1031,"Architecture Teachers, Postsecondary",1
04.03,25-1069,"Social Sciences Teachers, Postsecondary, All Other",1
04.04,11-9041,Architectural and Engineering Managers,2
04.04,17-1011,"Architects, Except Landscape and Naval",1
04.04,17-1012,Landscape Architects,1
04.04,19-3051,Urban and Regional Planners,1
04.04,25-1031,"Architecture Teachers, Postsecondary",4
04.04,27-1025,Interior Designers,1
04.05,11-9041,Architectural and Engineering Managers,1
04.05,25-1031,"Architecture Teachers, Postsecondary",1
04.05,27-1025,Interior Designers,1
04.06,11-9041,Architectural and Engineering Managers,1
04.06,17-1012,Landscape Architects,1
04.06,25-1031,"Architecture Teachers, Postsecondary",1
04.08,17-1011,"Architects, Except Landscape and Naval",1
04.08,19-3093,Historians,2
04.08,25-1031,"Architecture Teachers, Postsecondary",3
04.09,11-9041,Architectural and Engineering Managers,1
04.09,17-3011,Architectural and Civil Drafters,3
04.09,25-1031,"Architecture Teachers, Postsecondary",2
04.10,11-9141,"Property, Real Estate, and Community Association Managers",1
04.10,13-2023,Appraisers and Assessors of Real Estate,1
04.10,19-3051,Urban and Regional Planners,1
04.10,25-1069,"Social Sciences Teachers, Postsecondary, All Other",1
04.10,41-9021,Real Estate Brokers,1
04.10,41-9022,Real Estate Sales Agents,1
05.01,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",37
05.02,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",12
05.02,27-3091,Interpreters and Translators,1
05.99,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1
09.01,11-2032,Public Relations Managers,3
09.01,11-2033,Fundraising Managers,1
09.01,13-1131,Fundraisers,1
09.01,25-1122,"Communications Teachers, Postsecondary",3
09.01,27-3011,Broadcast Announcers and Radio Disc Jockeys,2
09.01,27-3023,"News Analysts, Reporters, and Journalists",2
09.01,27-3031,Public Relations Specialists,2
09.01,27-3041,Editors,2
09.01,27-3043,Writers and Authors,3
09.01,27-3099,"Media and Communication Workers, All Other",1
09.04,25-1122,"Communications Teachers, Postsecondary",6
09.04,27-3011,Broadcast Announcers and Radio Disc Jockeys,1
09.04,27-3023,"News Analysts, Reporters, and Journalists",7
09.04,27-3041,Editors,2
09.04,27-3043,Writers and Authors,2
09.04,27-4021,Photographers,1
09.04,27-4032,Film and Video Editors,1
09.04,43-9081,Proofreaders and Copy Markers,1
09.07,11-9199,"Managers, All Other",1
09.07,15-1255,Web and Digital Interface Designers,1
09.07,25-1122,"Communications Teachers, Postsecondary",2
09.07,27-2012,Producers and Directors,1
09.07,27-3011,Broadcast Announcers and Radio Disc Jockeys,1
09.07,27-3023,"News Analysts, Reporters, and Journalists",1
09.07,27-3099,"Media and Communication Workers, All Other",1
09.07,27-4032,Film and Video Editors,1
09.09,11-2011,Advertising and Promotions Managers,3
09.09,11-2032,Public Relations Managers,5
09.09,11-2033,Fundraising Managers,3
09.09,11-3121,Human Resources Managers,1
09.09,11-3131,Training and Development Managers,1
09.09,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1
09.09,13-1131,Fundraisers,3
09.09,13-1151,Training and Development Specialists,1
09.09,21-1091,Health Education Specialists,1
09.09,21-1094,Community Health Workers,1
09.09,25-1122,"Communications Teachers, Postsecondary",8
09.09,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",1
09.09,27-3011,Broadcast Announcers and Radio Disc Jockeys,1
09.09,27-3023,"News Analysts, Reporters, and Journalists",3
09.09,27-3031,Public Relations Specialists,6
09.09,27-3041,Editors,1
09.09,27-3042,Technical Writers,1
09.10,27-3041,Editors,1
09.99,25-1122,"Communications Teachers, Postsecondary",1
09.99,27-3041,Editors,1
09.99,27-3043,Writers and Authors,1
10.01,27-3099,"Media and Communication Workers, All Other",1
10.01,27-4012,Broadcast Technicians,1
10.01,27-4014,Sound Engineering Technicians,1
10.01,27-4032,Film and Video Editors,1
10.02,27-2091,"Disc Jockeys, Except Radio",1
10.02,27-3092,Court Reporters and Simultaneous Captioners,1
10.02,27-4011,Audio and Video Technicians,2
10.02,27-4012,Broadcast Technicians,2
