cip4,cip4_title,weighted_annual_median,weighted_annual_pct25,weighted_annual_pct75,weighted_employment_change_percent,total_employment_routing,n_routing_socs,n_socs_with_wage_data,n_socs_with_projection_data
01.00,"Agriculture, General",71334.11296033995,55862.86650141643,96937.23973087818,5.217829320113315,56480.0,5.0,5.0,5.0
01.01,"Agricultural Business and Management, General",65643.17334537806,50813.21814614592,87477.84964783266,-0.7133662681553207,3542350.0,9.0,9.0,9.0
01.02,"Agricultural Mechanization, General",65609.48961989174,53144.680467154445,80990.7154045962,4.6567108837467535,504330.0,6.0,6.0,6.0
01.03,"Agricultural Production Operations, General",59930.818062827224,47960.1250727167,78231.68121000582,0.7229930191972077,137520.0,10.0,10.0,10.0
01.04,Agricultural and Food Products Processing,59231.78859268444,48130.97334159951,77286.37011779293,3.0345629262244267,64520.0,4.0,4.0,4.0
01.05,Dog/Pet/Animal Grooming,42291.022384125004,34898.689546086374,50952.04548722619,8.559090255476201,417260.0,4.0,4.0,4.0
01.06,"Applied Horticulture/Horticulture Operations, General",44390.58818597056,37442.66947637856,55440.604647057524,-0.7672243429907986,2265950.0,9.0,9.0,9.0
01.07,International Agriculture,85702.19765929779,64764.83745123537,116070.7412223667,5.594928478543563,23070.0,2.0,2.0,2.0
01.08,Agricultural and Extension Education Services,56964.73541717942,42868.34358848142,81349.73172532611,0.35744523750922963,121890.0,3.0,3.0,3.0
01.09,"Animal Sciences, General",62995.75761831203,49667.616907737676,82774.04999297851,2.1366381126246314,71210.0,6.0,6.0,6.0
01.10,Food Science,50199.4155535108,41956.739854681604,62994.45949804867,4.138753688485579,315170.0,8.0,8.0,8.0
01.11,"Plant Sciences, General",65750.69043675355,52014.13041583123,86637.86156394386,2.912004184465173,114710.0,9.0,9.0,9.0
01.12,"Soil Science and Agronomy, General",72950.51178451178,56118.82828282828,99977.01683501684,4.511582491582492,59400.0,4.0,4.0,4.0
01.13,"Agriculture/Veterinary Preparatory Programs, Other",46790.0,38480.0,59370.0,4.3,14340.0,1.0,1.0,1.0
01.80,Veterinary Medicine,110787.49057515708,80640.47881424199,172328.0460770098,15.299513452553569,310350.0,2.0,2.0,2.0
01.81,"Veterinary Sciences/Veterinary Clinical Sciences, General",110537.44677450291,80474.42394987533,171981.58877309636,15.224506105747714,312820.0,3.0,3.0,3.0
01.82,"Veterinary Administrative Services, General",82546.94110797932,59078.164742757566,120147.77517877865,4.3024478673262925,7695270.0,6.0,6.0,6.0
01.83,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,72728.34374934243,54542.48174568104,109905.9960440208,12.967659869957705,475230.0,3.0,3.0,3.0
03.01,"Natural Resources/Conservation, General",75074.3975873335,57148.59897796766,99194.88430929044,2.9314048755968836,596850.0,8.0,8.0,8.0
03.02,"Environmental/Natural Resources Management and Policy, General",89592.75524254698,67444.06717363287,116120.30715395151,3.4114438255262742,2723390.0,19.0,19.0,19.0
03.03,Fishing and Fisheries Sciences and Management,59330.0,47660.0,76640.0,2.5,29530.0,2.0,1.0,2.0
03.05,"Forestry, General",60693.500340500046,48354.44109349159,75974.43622920518,0.5032979861854266,102790.0,6.0,6.0,6.0
03.06,"Wildlife, Fish and Wildlands Science and Management",70828.82245549977,56029.00730260155,90096.89183021452,2.7229119123687813,43820.0,3.0,3.0,3.0
03.99,"Natural Resources and Conservation, Other",100830.0,81380.0,125080.0,4.0,1310.0,1.0,1.0,1.0
04.02,Architecture,142026.7870538415,113588.08953418028,176852.45190562613,3.7839624924379915,330600.0,3.0,3.0,3.0
04.03,"City/Urban, Community, and Regional Planning",146862.73246679045,117795.82345379231,182502.23968004572,3.5483716611912586,280040.0,4.0,4.0,4.0
04.04,Environmental Design/Architecture,122158.04148660328,97432.1184096802,152497.91789109766,3.648444252376837,462800.0,6.0,6.0,6.0
04.05,Interior Architecture,140553.42997508997,112636.15278162192,174328.84721837807,3.5987683365624137,289040.0,3.0,3.0,3.0
04.06,Landscape Architecture,157997.2891566265,126840.88018741633,195585.65512048194,3.7067520080321286,239040.0,3.0,3.0,3.0
