soc_code,occupation_title,employment_2024,employment_2034,employment_change_numeric,employment_change_percent,annual_openings_avg,percent_self_employed,typical_education,work_experience,typical_training,annual_median,annual_mean,annual_pct10,annual_pct25,annual_pct75,annual_pct90,hourly_median,hourly_mean,hourly_pct10,hourly_pct25,hourly_pct75,hourly_pct90,total_employment_oews,oews_occupation_title
11-1011,Chief executives,309.4,322.7,13.3,4.3,22.2,25.9,Bachelor's degree,5 years or more,,206420.0,262930.0,73710.0,126080.0,,,99.24,126.41,35.44,60.61,,,211850.0,Chief Executives
11-1021,General and operations managers,3712.9,3876.8,164.0,4.4,308.7,0.9,Bachelor's degree,5 years or more,,102950.0,133120.0,47420.0,67160.0,164130.0,,49.5,64.0,22.8,32.29,78.91,,3584420.0,General and Operations Managers
11-1031,Legislators,27.7,28.6,0.9,3.4,2.2,,Bachelor's degree,Less than 5 years,,44810.0,67390.0,20380.0,29120.0,80350.0,137820.0,,,,,,,26510.0,Legislators
11-2011,Advertising and promotions managers,27.0,26.4,-0.6,-2.2,2.1,20.7,Bachelor's degree,Less than 5 years,,126960.0,149270.0,63000.0,85990.0,178570.0,,61.04,71.76,30.29,41.34,85.85,,21100.0,Advertising and Promotions Managers
11-2021,Marketing managers,407.0,433.7,26.7,6.6,34.3,3.6,Bachelor's degree,5 years or more,,161030.0,171520.0,81900.0,111210.0,211080.0,,77.42,82.46,39.38,53.47,101.48,,384980.0,Marketing Managers
11-2022,Sales managers,619.5,648.5,29.0,4.7,49.0,0.9,Bachelor's degree,Less than 5 years,,138060.0,160930.0,66910.0,95910.0,201490.0,,66.38,77.37,32.17,46.11,96.87,,603710.0,Sales Managers
11-2032,Public relations managers,83.2,87.3,4.1,5.0,6.6,0.3,Bachelor's degree,5 years or more,,138520.0,163520.0,78880.0,102300.0,198000.0,,66.6,78.61,37.92,49.19,95.19,,76060.0,Public Relations Managers
11-2033,Fundraising managers,45.7,47.6,1.9,4.2,3.6,0.2,Bachelor's degree,5 years or more,,123480.0,137290.0,73700.0,92880.0,166420.0,216660.0,59.36,66.01,35.43,44.66,80.01,104.16,36920.0,Fundraising Managers
11-3012,Administrative services managers,271.2,283.8,12.6,4.6,23.2,0.0,Bachelor's degree,Less than 5 years,,108390.0,126030.0,64740.0,83660.0,147150.0,200010.0,52.11,60.59,31.13,40.22,70.74,96.16,254140.0,Administrative Services Managers
11-3013,Facilities managers,151.4,157.1,5.7,3.8,13.2,,Bachelor's degree,Less than 5 years,,104690.0,114520.0,62550.0,80150.0,135650.0,173080.0,50.33,55.06,30.07,38.54,65.22,83.21,141090.0,Facilities Managers
11-3021,Computer and information systems managers,667.1,768.7,101.6,15.2,55.6,0.9,Bachelor's degree,5 years or more,,171200.0,187990.0,104450.0,134350.0,216220.0,,82.31,90.38,50.22,64.59,103.95,,645970.0,Computer and Information Systems Managers
11-3031,Financial managers,868.6,997.4,128.8,14.8,74.6,2.4,Bachelor's degree,5 years or more,,161700.0,180470.0,86490.0,118360.0,214210.0,,77.74,86.76,41.58,56.91,102.98,,818620.0,Financial Managers
11-3051,Industrial production managers,241.9,246.5,4.6,1.9,17.1,2.6,Bachelor's degree,5 years or more,,121440.0,129180.0,74900.0,94620.0,156330.0,197310.0,58.39,62.11,36.01,45.49,75.16,94.86,234380.0,Industrial Production Managers
11-3061,Purchasing managers,83.5,86.1,2.6,3.1,6.4,0.8,Bachelor's degree,5 years or more,,139510.0,150630.0,85500.0,107430.0,175460.0,219140.0,67.07,72.42,41.1,51.65,84.36,105.35,81240.0,Purchasing Managers
11-3071,"Transportation, storage, and distribution managers",216.7,229.8,13.1,6.1,18.5,1.7,High school diploma or equivalent,5 years or more,,102010.0,116010.0,61200.0,78360.0,136050.0,180590.0,49.05,55.77,29.42,37.67,65.41,86.82,213000.0,"Transportation, Storage, and Distribution Managers"
11-3111,Compensation and benefits managers,20.9,20.9,0.0,0.2,1.5,1.4,Bachelor's degree,5 years or more,,140360.0,156230.0,81660.0,105210.0,190890.0,,67.48,75.11,39.26,50.58,91.78,,20070.0,Compensation and Benefits Managers
11-3121,Human resources managers,221.9,233.0,11.1,5.0,17.9,0.6,Bachelor's degree,5 years or more,,140030.0,160480.0,83790.0,105590.0,189960.0,,67.32,77.15,40.28,50.76,91.33,,215520.0,Human Resources Managers
11-3131,Training and development managers,46.4,49.2,2.7,5.8,3.8,,Bachelor's degree,5 years or more,,127090.0,140590.0,75810.0,96110.0,169310.0,219990.0,61.1,67.59,36.45,46.21,81.4,105.76,44960.0,Training and Development Managers
11-9013,"Farmers, ranchers, and other agricultural managers",836.1,825.0,-11.1,-1.3,85.5,62.6,High school diploma or equivalent,5 years or more,,87980.0,97240.0,51700.0,67970.0,115200.0,156530.0,42.3,46.75,24.85,32.68,55.38,75.26,5910.0,"Farmers, Ranchers, and Other Agricultural Managers"
11-9021,Construction managers,550.3,598.4,48.1,8.7,46.8,35.8,Bachelor's degree,,Moderate-term on-the-job training,106980.0,119660.0,65160.0,83480.0,139330.0,176990.0,51.43,57.53,31.33,40.14,66.99,85.09,348330.0,Construction Managers
11-9031,"Education and childcare administrators, preschool and daycare",90.2,87.9,-2.3,-2.5,5.5,4.9,Bachelor's degree,Less than 5 years,,56270.0,62640.0,37060.0,45310.0,72690.0,96400.0,27.05,30.12,17.82,21.78,34.95,46.35,71620.0,"Education and Childcare Administrators, Preschool and Daycare"
11-9032,"Education administrators, kindergarten through secondary",333.3,328.1,-5.1,-1.5,20.8,1.2,Master's degree,5 years or more,,104070.0,113360.0,72400.0,83840.0,132550.0,165820.0,,,,,,,319630.0,"Education Administrators, Kindergarten through Secondary"
11-9033,"Education administrators, postsecondary",226.6,230.5,4.0,1.7,15.1,2.2,Master's degree,Less than 5 years,,103960.0,124450.0,63820.0,79880.0,140940.0,212420.0,49.98,59.83,30.68,38.41,67.76,102.12,176420.0,"Education Administrators, Postsecondary"
