soc_code,soc_title,naics3,naics3_title,tot_emp,share_in_naics3
11-1011,Chief Executives,541,"Professional, Scientific, and Technical Services",39980,0.1887808102748135
11-1011,Chief Executives,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",25430,0.12007743885163849
11-1011,Chief Executives,611,Educational Services,17240,0.0814052318443668
11-1011,Chief Executives,551,Management of Companies and Enterprises,16730,0.07899707243365757
11-1011,Chief Executives,561,Administrative and Support Services,9360,0.04419680800831051
11-1011,Chief Executives,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8710,0.04112758522995561
11-1011,Chief Executives,621,Ambulatory Health Care Services,6500,0.030692227783548964
11-1011,Chief Executives,423,"Merchant Wholesalers, Durable Goods",6160,0.029086788176409483
11-1011,Chief Executives,524,Insurance Carriers and Related Activities,6120,0.028897912928510718
11-1011,Chief Executives,522,Credit Intermediation and Related Activities,6070,0.028661818868637265
11-1011,Chief Executives,624,Social Assistance,5780,0.027292473321371233
11-1011,Chief Executives,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",4150,0.019595806969496646
11-1011,Chief Executives,238,Specialty Trade Contractors,3910,0.01846255548210407
11-1011,Chief Executives,513,Publishing Industries,3780,0.01784871092643309
11-1011,Chief Executives,622,Hospitals,3700,0.017470960430635566
11-1011,Chief Executives,531,Real Estate,3530,0.016668240627065824
11-1011,Chief Executives,424,"Merchant Wholesalers, Nondurable Goods",3510,0.016573803003116443
11-1011,Chief Executives,623,Nursing and Residential Care Facilities,2470,0.011663046557748608
11-1011,Chief Executives,711,"Performing Arts, Spectator Sports, and Related Industries",2080,0.009821512890735669
11-1011,Chief Executives,236,Construction of Buildings,2000,0.009443762394938143
11-1011,Chief Executives,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",1770,0.008357729719520257
11-1011,Chief Executives,334,Computer and Electronic Product Manufacturing,1620,0.007649447539899896
11-1011,Chief Executives,332,Fabricated Metal Product Manufacturing,1400,0.0066106336764567
11-1011,Chief Executives,425,Wholesale Trade Agents and Brokers,1380,0.006516196052507319
11-1011,Chief Executives,325,Chemical Manufacturing,1330,0.0062801019926338655
11-1011,Chief Executives,237,Heavy and Civil Engineering Construction,1310,0.0061856643686844836
11-1011,Chief Executives,311,Food Manufacturing,1310,0.0061856643686844836
11-1011,Chief Executives,722,Food Services and Drinking Places,1230,0.0058079138728869585
11-1011,Chief Executives,713,"Amusement, Gambling, and Recreation Industries",1120,0.00528850694116536
11-1011,Chief Executives,333,Machinery Manufacturing,1090,0.005146850505241288
11-1011,Chief Executives,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",1060,0.005005194069317216
11-1011,Chief Executives,488,Support Activities for Transportation,1000,0.004721881197469071
11-1011,Chief Executives,512,Motion Picture and Sound Recording Industries,1000,0.004721881197469071
11-1011,Chief Executives,516,Broadcasting and Content Providers,990,0.004674662385494381
11-1011,Chief Executives,221,Utilities,960,0.004533005949570309
11-1011,Chief Executives,339,Miscellaneous Manufacturing,950,0.004485787137595618
11-1011,Chief Executives,517,Telecommunications,940,0.004438568325620927
11-1011,Chief Executives,441,Motor Vehicle and Parts Dealers,870,0.004108036641798093
11-1011,Chief Executives,336,Transportation Equipment Manufacturing,860,0.004060817829823401
11-1011,Chief Executives,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",850,0.004013599017848711
11-1011,Chief Executives,811,Repair and Maintenance,790,0.0037302861460005664
11-1011,Chief Executives,712,"Museums, Historical Sites, and Similar Institutions",750,0.003541410898101804
11-1011,Chief Executives,484,Truck Transportation,590,0.002785909906506752
11-1011,Chief Executives,458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",580,0.0027386910945320616
11-1011,Chief Executives,456,Health and Personal Care Retailers,510,0.0024081594107092266
11-1011,Chief Executives,326,Plastics and Rubber Products Manufacturing,460,0.002172065350835773
11-1011,Chief Executives,335,"Electrical Equipment, Appliance, and Component Manufacturing",460,0.002172065350835773
11-1011,Chief Executives,721,Accommodation,440,0.0020776277268863916
11-1011,Chief Executives,331,Primary Metal Manufacturing,430,0.0020304089149117007
11-1011,Chief Executives,444,Building Material and Garden Equipment and Supplies Dealers,410,0.0019359712909623194
11-1011,Chief Executives,493,Warehousing and Storage,390,0.001841533667012938
11-1011,Chief Executives,812,Personal and Laundry Services,390,0.001841533667012938
11-1011,Chief Executives,323,Printing and Related Support Activities,360,0.0016998772310888657
11-1011,Chief Executives,532,Rental and Leasing Services,360,0.0016998772310888657
11-1011,Chief Executives,519,"Web Search Portals, Libraries, Archives, and Other Information Services",320,0.001511001983190103
11-1011,Chief Executives,337,Furniture and Related Product Manufacturing,310,0.0014637831712154123
11-1011,Chief Executives,525,"Funds, Trusts, and Other Financial Vehicles",310,0.0014637831712154123
11-1011,Chief Executives,312,Beverage and Tobacco Product Manufacturing,290,0.0013693455472660308
11-1011,Chief Executives,562,Waste Management and Remediation Services,250,0.0011804702993672678
11-1011,Chief Executives,213,Support Activities for Mining,240,0.0011332514873925773
11-1011,Chief Executives,455,General Merchandise Retailers,240,0.0011332514873925773
11-1011,Chief Executives,322,Paper Manufacturing,220,0.0010388138634431958
11-1011,Chief Executives,321,Wood Product Manufacturing,210,0.000991595051468505
11-1011,Chief Executives,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),210,0.000991595051468505
11-1011,Chief Executives,327,Nonmetallic Mineral Product Manufacturing,200,0.0009443762394938143
11-1011,Chief Executives,485,Transit and Ground Passenger Transportation,190,0.0008971574275191236
11-1011,Chief Executives,445,Food and Beverage Retailers,180,0.0008499386155444329
11-1011,Chief Executives,211,Oil and Gas Extraction,170,0.0008027198035697422
11-1011,Chief Executives,481,Air Transportation,150,0.0007082821796203608
11-1011,Chief Executives,115,Support Activities for Agriculture and Forestry,140,0.00066106336764567
11-1011,Chief Executives,212,Mining (except Oil and Gas),140,0.00066106336764567
11-1011,Chief Executives,483,Water Transportation,130,0.0006138445556709793
11-1011,Chief Executives,492,Couriers and Messengers,120,0.0005666257436962887
11-1011,Chief Executives,457,Gasoline Stations and Fuel Dealers,110,0.0005194069317215979
11-1011,Chief Executives,315,Apparel Manufacturing,90,0.00042496930777221643
11-1011,Chief Executives,482,Rail Transportation,70,0.000330531683822835
11-1011,Chief Executives,313,Textile Mills,60,0.0002833128718481443
11-1011,Chief Executives,324,Petroleum and Coal Products Manufacturing,60,0.0002833128718481443
11-1011,Chief Executives,487,Scenic and Sightseeing Transportation,60,0.0002833128718481443
11-1011,Chief Executives,521,Monetary Authorities-Central Bank,60,0.0002833128718481443
11-1011,Chief Executives,314,Textile Product Mills,40,0.00018887524789876287
11-1011,Chief Executives,486,Pipeline Transportation,40,0.00018887524789876287
11-1021,General and Operations Managers,541,"Professional, Scientific, and Technical Services",439080,0.12249680561987714
11-1021,General and Operations Managers,561,Administrative and Support Services,234720,0.065483397592916
11-1021,General and Operations Managers,722,Food Services and Drinking Places,192440,0.05368790487721863
11-1021,General and Operations Managers,238,Specialty Trade Contractors,169690,0.047340992406023845
11-1021,General and Operations Managers,423,"Merchant Wholesalers, Durable Goods",160670,0.04482454623063146
11-1021,General and Operations Managers,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",143370,0.03999810290088773
11-1021,General and Operations Managers,551,Management of Companies and Enterprises,122870,0.034278907047723205
11-1021,General and Operations Managers,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",93660,0.02612975041987267
11-1021,General and Operations Managers,524,Insurance Carriers and Related Activities,87730,0.024475368399908493
11-1021,General and Operations Managers,811,Repair and Maintenance,82310,0.022963268813364506
11-1021,General and Operations Managers,424,"Merchant Wholesalers, Nondurable Goods",80940,0.022581059139274974
11-1021,General and Operations Managers,522,Credit Intermediation and Related Activities,79340,0.022134682877564572
11-1021,General and Operations Managers,236,Construction of Buildings,75510,0.021066169701095296
11-1021,General and Operations Managers,531,Real Estate,74900,0.020895988751318206
11-1021,General and Operations Managers,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",73320,0.020455192192879182
11-1021,General and Operations Managers,621,Ambulatory Health Care Services,71850,0.02004508400243275
