state_fips,state_abbr,state_name,soc_code,occupation_title,total_employment,location_quotient,jobs_per_1000,annual_median,annual_mean,annual_pct10,annual_pct25,annual_pct75,annual_pct90,hourly_median,hourly_mean
01,AL,Alabama,11-1011,Chief Executives,830.0,0.29,0.396,164400.0,207190.0,104950.0,130950.0,221910.0,,79.04,99.61
01,AL,Alabama,11-1021,General and Operations Managers,32370.0,0.67,15.476,106330.0,134790.0,50410.0,74720.0,162780.0,,51.12,64.8
01,AL,Alabama,11-1031,Legislators,1120.0,3.1,0.533,26990.0,36570.0,18270.0,20950.0,41760.0,63900.0,,
01,AL,Alabama,11-2011,Advertising and Promotions Managers,50.0,0.16,0.022,133570.0,130180.0,83570.0,86500.0,144710.0,150670.0,64.22,62.59
01,AL,Alabama,11-2021,Marketing Managers,1660.0,0.32,0.792,112960.0,130660.0,65360.0,83940.0,163580.0,219000.0,54.31,62.82
01,AL,Alabama,11-2022,Sales Managers,4380.0,0.54,2.095,108740.0,136950.0,66100.0,83790.0,163390.0,,52.28,65.84
01,AL,Alabama,11-2032,Public Relations Managers,410.0,0.4,0.198,93040.0,113280.0,52670.0,76540.0,128770.0,184330.0,44.73,54.46
01,AL,Alabama,11-2033,Fundraising Managers,210.0,0.42,0.1,85600.0,108350.0,55350.0,60260.0,110650.0,194180.0,41.15,52.09
01,AL,Alabama,11-3012,Administrative Services Managers,660.0,0.19,0.314,97960.0,107710.0,34740.0,47350.0,134200.0,173430.0,47.1,51.78
01,AL,Alabama,11-3013,Facilities Managers,950.0,0.5,0.456,119330.0,124750.0,79590.0,92870.0,143480.0,174650.0,57.37,59.97
01,AL,Alabama,11-3021,Computer and Information Systems Managers,6480.0,0.74,3.1,133500.0,142610.0,78740.0,103040.0,171680.0,212280.0,64.18,68.56
01,AL,Alabama,11-3031,Financial Managers,6390.0,0.58,3.054,138040.0,153650.0,84440.0,105000.0,179950.0,,66.37,73.87
01,AL,Alabama,11-3051,Industrial Production Managers,3610.0,1.13,1.724,115470.0,124580.0,69540.0,88290.0,153200.0,195780.0,55.52,59.9
01,AL,Alabama,11-3061,Purchasing Managers,1400.0,1.27,0.67,127680.0,129810.0,75830.0,94140.0,156290.0,196090.0,61.39,62.41
01,AL,Alabama,11-3071,"Transportation, Storage, and Distribution Managers",1180.0,0.41,0.565,102540.0,111980.0,58610.0,73410.0,134680.0,180740.0,49.3,53.84
01,AL,Alabama,11-3111,Compensation and Benefits Managers,110.0,0.42,0.055,110450.0,119030.0,80920.0,86730.0,134180.0,179940.0,53.1,57.23
01,AL,Alabama,11-3121,Human Resources Managers,1990.0,0.68,0.951,110030.0,121520.0,66810.0,82620.0,146810.0,180380.0,52.9,58.42
01,AL,Alabama,11-3131,Training and Development Managers,110.0,0.18,0.053,113010.0,122220.0,77980.0,91260.0,146160.0,175580.0,54.33,58.76
01,AL,Alabama,11-9021,Construction Managers,7520.0,1.59,3.595,92620.0,101320.0,57050.0,73430.0,122990.0,161010.0,44.53,48.71
01,AL,Alabama,11-9031,"Education and Childcare Administrators, Preschool and Daycare",780.0,0.81,0.375,41150.0,45640.0,29060.0,34270.0,56750.0,61470.0,19.78,21.94
01,AL,Alabama,11-9032,"Education Administrators, Kindergarten through Secondary",,,,96380.0,94040.0,72690.0,81280.0,103200.0,121300.0,,
