cip4,major_name,total_completions,rank,already_authored
52.02,"Business Administration, Management and Operations",169790,1,False
51.38,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",149272,2,False
42.01,"Psychology, General",110091,3,True
26.01,"Biology, General",85877,4,False
09.01,Communication and Media Studies,54850,5,False
52.03,Accounting and Related Services,52433,6,False
43.01,Criminal Justice and Corrections,51953,7,False
13.12,"Teacher Education and Professional Development, Specific Levels and Methods",51287,8,False
31.05,Health and Physical Education/Fitness,48743,9,False
52.08,Finance and Financial Management Services,48026,10,False
52.14,Marketing,44987,11,False
24.01,"Liberal Arts and Sciences, General Studies and Humanities",44225,12,False
45.10,Political Science and Government,43388,13,False
45.06,Economics,40060,14,False
11.01,"Computer and Information Sciences, General",39126,15,False
14.19,Mechanical Engineering,37950,16,True
11.07,Computer Science,35960,17,True
23.01,"English Language and Literature, General",33267,18,False
45.11,Sociology,29514,19,False
54.01,History,26124,20,False
30.99,"Multi/Interdisciplinary Studies, Other",25757,21,False
50.07,Fine and Studio Arts,25733,22,False
52.01,"Business/Commerce, General",24825,23,False
27.01,Mathematics,22092,24,False
44.07,Social Work,21856,25,False
13.13,"Teacher Education and Professional Development, Specific Subject Areas",21124,26,False
50.04,Design and Applied Arts,19679,27,False
51.22,Public Health,18053,28,False
51.07,Health and Medical Administrative Services,18033,29,False
14.10,"Electrical, Electronics and Communications Engineering",17926,30,False
51.00,"Health Services/Allied Health/Health Sciences, General",17660,31,False
03.01,Natural Resources Conservation and Research,17049,32,False
09.09,"Public Relations, Advertising, and Applied Communication",16824,33,False
50.09,Music,15847,34,False
40.05,Chemistry,15402,35,False
14.08,Civil Engineering,15157,36,False
50.05,Drama/Theatre Arts and Stagecraft,13298,37,False
19.07,"Human Development, Family Studies, and Related Services",13297,38,False
42.27,Research and Experimental Psychology,13012,39,False
16.09,"Romance Languages, Literatures, and Linguistics",12451,40,False
26.02,"Biochemistry, Biophysics and Molecular Biology",12313,41,False
09.04,Journalism,12189,42,False
50.06,Film/Video and Photographic Arts,11968,43,False
14.09,Computer Engineering,11531,44,False
52.10,Human Resources Management and Services,11333,45,False
09.07,"Radio, Television, and Digital Communication",11198,46,False
51.02,Communication Disorders Sciences and Services,11073,47,False
14.07,Chemical Engineering,10860,48,False
52.09,Hospitality Administration/Management,10685,49,False
51.09,"Allied Health Diagnostic, Intervention, and Treatment Professions",9987,50,False
52.13,Management Sciences and Quantitative Methods,9956,51,False
11.04,Information Science/Studies,9617,52,False
45.09,International Relations and National Security Studies,9569,53,False
52.12,Management Information Systems and Services,9504,54,False
26.15,Neurobiology and Neurosciences,9341,55,False
45.02,Anthropology,9275,56,False
13.10,Special Education and Teaching,9073,57,False
45.04,Criminology,8852,58,False
11.10,Computer/Information Technology Administration and Management,8575,59,False
40.08,Physics,8538,60,False
