product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Nike,80.59,40.35,16424.08,8174.99,520,125,44,76,275,7304.66,3876.47,0.4977,0.2604,0.2815,0.1462,0.6875,0.0061025,0.0058633,0.0028694,531,487,25,28,55,56,73,63,50,76,73,1534,1384,1460,1321,1169
Alpha Industries,204.86,92.63,13163.17,7202.15,188,58,12,31,87,8183.49,4536.63,0.5471,0.1714,0.3694,0.1649,0.6,0.0048909,0.0051655,0.0010374,80,85,38,34,200,157,314,174,216,66,62,869,1853,603,1076,1994
Champion,35.82,16.19,10673.83,5891.72,1124,304,111,152,557,9239.17,5060.81,0.552,0.2675,0.3128,0.1352,0.6469,0.0039659,0.0042257,0.0062023,1481,1583,50,47,18,14,18,23,19,59,56,805,1350,1091,1520,1693
Hudson,175.32,92.88,10759.54,5042.67,238,59,22,36,121,9975.18,4637.96,0.4687,0.2716,0.2921,0.1513,0.6722,0.0039978,0.0036167,0.0013133,124,81,49,57,147,155,163,147,147,53,61,1890,1334,1311,1241,1291
Sutton Studio,100.0,44.04,11113.33,6103.95,428,115,54,56,203,10428.99,5790.5,0.5492,0.3195,0.3091,0.1308,0.6384,0.0041292,0.0043779,0.0023617,355,419,48,46,74,67,56,91,77,49,46,849,1051,1126,1591,1758
Haggar,51.76,23.14,12529.07,6973.15,868,228,85,115,440,10540.29,5879.88,0.5566,0.2716,0.3028,0.1325,0.6587,0.0046553,0.0050013,0.0047897,1016,1147,42,36,29,28,34,36,28,48,42,741,1334,1191,1575,1605
Icebreaker,107.7,49.13,13391.97,7282.95,446,118,52,50,226,10889.89,5958.82,0.5438,0.3059,0.298,0.1121,0.657,0.0049759,0.0052235,0.0024611,325,348,36,33,69,64,60,106,68,47,41,929,1117,1262,1824,1615
Dickies,41.86,20.18,12172.74,6307.66,1144,276,107,175,586,11380.62,5875.24,0.5182,0.2794,0.2848,0.153,0.6798,0.0045229,0.004524,0.0063127,1293,1309,45,44,17,17,19,17,17,45,43,1259,1291,1434,1223,1237
Jordan,712.87,364.11,13002.76,6657.31,57,19,10,4,24,11798.99,5837.86,0.512,0.3448,0.3585,0.0702,0.5581,0.0048313,0.0047748,0.0003145,3,2,39,42,577,467,370,943,669,44,44,1342,802,668,2163,2248
Woolrich,92.27,43.53,11626.08,6134.65,496,124,47,82,243,12054.34,6338.46,0.5277,0.2749,0.2995,0.1653,0.6621,0.0043198,0.0043999,0.002737,428,424,47,45,61,57,67,59,64,42,38,1149,1307,1250,1073,1583
AG Adriano Goldschmied,158.52,81.45,15325.0,7390.13,353,96,35,43,179,12419.86,6058.66,0.4822,0.2672,0.3097,0.1218,0.6509,0.0056941,0.0053003,0.0019479,149,121,30,30,100,84,102,126,93,40,40,1713,1351,1123,1739,1660
DC,50.94,25.91,14076.31,6883.92,966,263,101,148,454,12578.25,6213.14,0.489,0.2775,0.3215,0.1532,0.6332,0.0052302,0.0049373,0.0053304,1036,990,32,37,25,22,22,24,26,39,39,1628,1299,1027,1219,1811
Not Your Daughter's Jeans,100.85,54.77,16067.86,7332.91,527,157,62,61,247,12591.86,5739.96,0.4564,0.2831,0.3369,0.1157,0.6114,0.0059701,0.0052593,0.002908,351,296,26,32,54,46,49,82,61,38,48,2039,1273,768,1797,1957
Joseph Abboud,173.3,71.4,11656.07,6870.25,298,70,34,37,157,12746.72,7531.64,0.5894,0.3269,0.2682,0.1242,0.6916,0.0043309,0.0049275,0.0016444,128,170,46,38,117,124,107,144,108,37,32,315,1027,1588,1726,1140
O'Neill,48.36,26.32,12853.97,5838.83,1056,266,105,166,519,12805.89,5826.98,0.4542,0.283,0.2989,0.1572,0.6611,0.004776,0.0041877,0.0058271,1121,966,40,49,21,20,20,19,21,36,45,2064,1275,1256,1152,1592
