product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
O'Neill,48.36,26.32,12853.97,5838.83,1056,266,105,166,519,12805.89,5826.98,0.4542,0.283,0.2989,0.1572,0.6611,0.004776,0.0041877,0.0058271,1121,966,40,49,21,20,20,19,21,36,45,2064,1275,1256,1152,1592
Not Your Daughter's Jeans,100.85,54.77,16067.86,7332.91,527,157,62,61,247,12591.86,5739.96,0.4564,0.2831,0.3369,0.1157,0.6114,0.0059701,0.0052593,0.002908,351,296,26,32,54,46,49,82,61,38,48,2039,1273,768,1797,1957
Quiksilver,61.96,33.3,27116.76,12559.81,1714,449,185,258,822,28245.96,13081.14,0.4632,0.2918,0.3084,0.1505,0.6467,0.0100755,0.0090081,0.009458,807,686,8,11,6,6,6,6,7,7,11,1969,1191,1129,1253,1694
Hurley,51.36,27.48,21510.02,9986.41,1580,417,163,218,782,19406.52,9038.59,0.4643,0.281,0.3062,0.138,0.6522,0.0079922,0.0071624,0.0087185,1028,911,15,19,10,8,8,13,9,19,23,1950,1282,1168,1482,1647
Hudson,175.32,92.88,10759.54,5042.67,238,59,22,36,121,9975.18,4637.96,0.4687,0.2716,0.2921,0.1513,0.6722,0.0039978,0.0036167,0.0013133,124,81,49,57,147,155,163,147,147,53,61,1890,1334,1311,1241,1291
Wrangler,42.74,22.6,12444.43,5840.02,1284,293,128,220,643,14851.87,6983.23,0.4693,0.304,0.2754,0.1713,0.687,0.0046238,0.0041886,0.0070852,1272,1178,43,48,14,15,14,12,14,32,34,1880,1126,1522,929,1182
Joe's Jeans,152.57,80.56,24447.28,11502.21,680,161,61,112,346,26495.04,12836.04,0.4705,0.2748,0.2835,0.1647,0.6824,0.0090836,0.0082496,0.0037523,163,127,10,14,42,43,52,38,40,9,13,1861,1308,1444,1079,1212
True Religion,202.86,106.23,41113.02,19519.17,849,195,93,126,435,45038.92,21465.47,0.4748,0.3229,0.2697,0.1484,0.6905,0.0152759,0.0139995,0.0046848,83,51,5,5,32,34,30,32,30,3,4,1810,1044,1573,1285,1144
7 For All Mankind,157.7,82.42,43657.56,20989.88,1108,271,99,168,570,41942.75,19952.86,0.4808,0.2676,0.2883,0.1516,0.6778,0.0162213,0.0150543,0.006114,151,118,3,4,19,18,24,18,18,5,5,1730,1349,1336,1234,1251
Lucky Brand,72.72,37.91,20488.7,9871.63,1073,289,92,157,535,18560.05,8803.71,0.4818,0.2415,0.3155,0.1463,0.6493,0.0076127,0.0070801,0.0059209,631,548,17,21,20,16,31,21,20,21,25,1719,1590,1077,1319,1673
AG Adriano Goldschmied,158.52,81.45,15325.0,7390.13,353,96,35,43,179,12419.86,6058.66,0.4822,0.2672,0.3097,0.1218,0.6509,0.0056941,0.0053003,0.0019479,149,121,30,30,100,84,102,126,93,40,40,1713,1351,1123,1739,1660
DC,50.94,25.91,14076.31,6883.92,966,263,101,148,454,12578.25,6213.14,0.489,0.2775,0.3215,0.1532,0.6332,0.0052302,0.0049373,0.0053304,1036,990,32,37,25,22,22,24,26,39,39,1628,1299,1027,1219,1811
Volcom,59.28,29.98,31207.34,15349.94,1914,521,192,271,930,28218.2,13987.51,0.4919,0.2693,0.3171,0.1416,0.6409,0.0115953,0.0110093,0.0105616,868,801,6,7,5,4,5,5,5,8,8,1601,1341,1058,1448,1747
Nike,80.59,40.35,16424.08,8174.99,520,125,44,76,275,7304.66,3876.47,0.4977,0.2604,0.2815,0.1462,0.6875,0.0061025,0.0058633,0.0028694,531,487,25,28,55,56,73,63,50,76,73,1534,1384,1460,1321,1169
Levi's,50.16,25.28,21140.97,10560.39,1583,418,172,238,755,20050.17,9823.1,0.4995,0.2915,0.3108,0.1503,0.6436,0.0078551,0.0075741,0.0087351,1053,1019,16,16,9,7,7,9,11,18,19,1502,1195,1112,1255,1713
