product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Versace,128.5,57.7,0.0,0.0,1,0,1,0,0,128.5,70.8,,1.0,0.0,0.0,,0.0,0.0,5.5e-06,234,265,2518,2518,2742,2518,1457,2284,2713,1528,1482,2518,1,2518,2284,2743
Hermanny,62.99,25.13,0.0,0.0,1,0,1,0,0,62.99,37.86,,1.0,0.0,0.0,,0.0,0.0,5.5e-06,796,1030,2518,2518,2742,2518,1457,2284,2713,1945,1840,2518,1,2518,2284,2743
Danshuz,12.0,5.23,0.0,0.0,1,0,0,1,0,12.0,6.77,,,,1.0,,0.0,0.0,5.5e-06,2529,2569,2518,2518,2742,2518,2066,1744,2713,2439,2427,2518,2624,2752,1,2743
Soft-Fit,19.99,12.99,0.0,0.0,1,0,0,1,0,19.99,7.0,,,,1.0,,0.0,0.0,5.5e-06,2156,1841,2518,2518,2742,2518,2066,1744,2713,2356,2423,2518,2624,2752,1,2743
Trenway Textiles,5.2,3.28,5.2,1.92,1,1,0,0,0,0.0,0.0,0.3692,0.0,1.0,0.0,0.0,1.9e-06,1.4e-06,5.5e-06,2719,2683,2508,2511,2742,2114,2066,2284,2713,2499,2499,2495,2066,1,2284,2713
TAIGA,80.95,35.21,0.0,0.0,1,0,0,1,0,80.95,45.74,,,,1.0,,0.0,0.0,5.5e-06,530,626,2518,2518,2742,2518,2066,1744,2713,1773,1726,2518,2624,2752,1,2743
NCIS,18.95,7.88,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,2238,2335,2518,2518,2742,2518,2066,2284,2575,2499,2499,2518,2624,2518,2284,1
Steel Paisley,120.0,48.72,120.0,71.28,1,1,0,0,0,0.0,0.0,0.594,0.0,1.0,0.0,0.0,4.46e-05,5.11e-05,5.5e-06,264,351,1535,1448,2742,2114,2066,2284,2713,2499,2499,269,2066,1,2284,2713
marshal,0.02,0.01,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,2755,2755,2518,2518,2742,2518,2066,2284,2575,2499,2499,2518,2624,2518,2284,1
EuroBrand,14.99,7.32,0.0,0.0,1,0,1,0,0,14.99,7.67,,1.0,0.0,0.0,,0.0,0.0,5.5e-06,2395,2393,2518,2518,2742,2518,1457,2284,2713,2410,2411,2518,1,2518,2284,2743
FREEGUN,12.95,6.27,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,2503,2478,2518,2518,2742,2518,2066,2284,2575,2499,2499,2518,2624,2518,2284,1
Easy Expression,29.99,12.39,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,1683,1919,2518,2518,2742,2518,2066,2284,2575,2499,2499,2518,2624,2518,2284,1
VIP FASHION,15.99,6.54,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,2343,2452,2518,2518,2742,2518,2066,2284,2575,2499,2499,2518,2624,2518,2284,1
Xscape,46.46,17.19,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,1163,1490,2518,2518,2742,2518,2066,2284,2575,2499,2499,2518,2624,2518,2284,1
C & C California,44.0,26.58,0.0,0.0,2,0,0,1,1,44.0,17.42,,,0.0,0.5,1.0,0.0,0.0,1.1e-05,1226,955,2518,2518,2686,2518,2066,1744,2575,2127,2219,2518,2624,2518,19,1
