product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Moncler,550.0,238.15,1650.0,935.55,9,3,0,1,5,550.0,311.85,0.567,0.0,0.375,0.1111,0.625,0.0006131,0.000671,4.97e-05,6,6,338,313,1790,1481,2066,1744,1686,744,703,598,2066,548,1827,1843
Oxfords Cashmere,260.25,121.29,1544.0,823.21,16,6,0,3,7,667.0,355.4,0.5332,0.0,0.4615,0.1875,0.5385,0.0005737,0.0005904,8.83e-05,39,37,354,344,1326,1030,2066,1126,1418,658,644,1073,2066,281,766,2301
Skins,96.28,41.5,1249.34,701.49,43,14,0,11,18,996.89,562.31,0.5615,0.0,0.4375,0.2558,0.5625,0.0004642,0.0005031,0.0002373,393,463,419,395,722,586,2066,472,830,503,463,671,2066,314,295,2239
NAU,414.95,146.89,829.9,536.12,6,2,0,0,4,0.0,0.0,0.646,0.0,0.3333,0.0,0.6667,0.0003084,0.0003845,3.31e-05,9,20,560,482,2174,1758,2066,2284,1860,2499,2499,17,2066,773,2284,1312
Klymit,204.95,104.11,819.8,403.34,6,4,0,0,2,0.0,0.0,0.492,0.0,0.6667,0.0,0.3333,0.0003046,0.0002893,3.31e-05,79,55,570,590,2174,1309,2066,2284,2334,2499,2499,1597,2066,40,2284,2625
VIPARO,189.95,85.79,759.8,414.09,12,4,0,4,4,759.8,414.09,0.545,0.0,0.5,0.3333,0.5,0.0002823,0.000297,6.62e-05,104,110,600,580,1567,1309,2066,943,1860,596,582,908,2066,143,121,2349
Scully,149.0,57.81,745.0,455.94,12,5,0,0,7,0.0,0.0,0.612,0.0,0.4167,0.0,0.5833,0.0002768,0.000327,6.62e-05,170,264,611,548,1567,1160,2066,2284,1418,2499,2499,126,2066,384,2284,2122
66 North,146.39,64.5,697.98,379.04,10,5,0,0,5,0.0,0.0,0.5431,0.0,0.5,0.0,0.5,0.0002593,0.0002719,5.52e-05,181,213,639,611,1712,1160,2066,2284,1686,2499,2499,938,2066,143,2284,2349
Krazy,70.61,35.46,689.97,323.15,29,7,0,6,16,378.95,183.56,0.4684,0.0,0.3043,0.2069,0.6957,0.0002564,0.0002318,0.00016,660,621,644,682,963,932,2066,741,904,909,945,1894,2066,1178,569,1104
PEZ Candy,83.18,37.96,662.86,363.31,22,7,0,3,12,232.86,128.84,0.5481,0.0,0.3684,0.1364,0.6316,0.0002463,0.0002606,0.0001214,508,546,666,636,1122,932,2066,1126,1062,1166,1125,857,2066,604,1505,1819
Burk's Bay,149.97,65.39,599.88,338.33,10,4,0,3,3,449.91,253.75,0.564,0.0,0.5714,0.3,0.4286,0.0002229,0.0002427,5.52e-05,169,212,703,662,1712,1309,2066,1126,2082,839,789,631,2066,113,200,2559
Fisherman,149.0,70.63,596.0,313.5,9,4,0,1,4,149.0,78.37,0.526,0.0,0.5,0.1111,0.5,0.0002214,0.0002248,4.97e-05,170,175,705,694,1790,1309,2066,1744,1860,1439,1426,1168,2066,143,1827,2349
Enro,71.92,33.49,583.5,312.51,25,8,0,4,13,278.0,139.83,0.5356,0.0,0.381,0.16,0.619,0.0002168,0.0002241,0.000138,645,680,715,696,1035,858,2066,943,1022,1071,1083,1047,2066,537,1115,1910
Knoles & Carter,144.54,66.58,579.96,314.82,11,4,0,1,6,149.99,86.99,0.5428,0.0,0.4,0.0909,0.6,0.0002155,0.0002258,6.07e-05,186,196,717,691,1626,1309,2066,1744,1551,1425,1355,946,2066,418,2012,1994
Patterson J. Kincaid,128.18,65.74,546.91,255.35,14,4,0,2,8,161.84,84.8,0.4669,0.0,0.3333,0.1429,0.6667,0.0002032,0.0001831,7.73e-05,235,208,739,781,1441,1309,2066,1353,1310,1383,1377,1914,2066,773,1347,1312
