product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Clothing Sets,85.82,52.9,5539.46,2131.98,221,60,24,35,102,4604.36,1726.01,0.3849,0.2857,0.3226,0.1584,0.6296,0.0020582,0.0015291,0.0012195,6,3,26,26,26,26,26,26,26,26,26,26,17,1,1,26
Suits,117.3,70.96,32903.24,13000.36,1123,287,113,167,556,32368.47,12778.14,0.3951,0.2825,0.3002,0.1487,0.6595,0.0122255,0.0093241,0.0061968,3,1,20,21,24,24,24,24,24,21,22,25,18,3,14,24
Socks,21.13,12.76,31572.07,12517.44,6329,1557,636,939,3197,32927.59,13032.11,0.3965,0.29,0.2889,0.1484,0.6725,0.0117309,0.0089777,0.0349238,25,25,21,22,14,14,14,14,14,20,21,24,10,18,18,8
Leggings,26.79,16.07,22032.86,8796.32,3246,804,345,500,1597,22344.1,8926.78,0.3992,0.3003,0.2928,0.154,0.6651,0.0081865,0.0063089,0.0179116,24,23,23,24,21,21,21,21,22,23,24,23,5,13,4,17
Tops & Tees,40.97,22.93,121151.89,53364.7,12000,2960,1292,1783,5965,123378.82,54313.77,0.4405,0.3039,0.2897,0.1486,0.6683,0.045015,0.0382742,0.0662168,20,16,9,14,3,3,3,3,3,9,13,22,2,16,15,13
Jeans,97.76,52.34,308764.08,143520.48,12655,3169,1303,1955,6228,319052.52,148299.49,0.4648,0.2914,0.2962,0.1545,0.6628,0.1147238,0.1029357,0.0698311,4,4,2,2,2,2,2,2,2,2,2,21,9,9,3,20
Intimates,33.75,17.96,118381.2,55321.28,13423,3393,1329,2044,6657,112421.97,52618.74,0.4673,0.2814,0.2982,0.1523,0.6624,0.0439855,0.0396775,0.074069,22,21,10,13,1,1,1,1,1,12,14,20,19,5,9,23
Jumpsuits & Rompers,46.79,24.83,10339.76,4897.93,929,230,86,139,474,9496.98,4463.25,0.4737,0.2722,0.2911,0.1496,0.6733,0.0038418,0.0035129,0.0051263,18,13,25,25,25,25,25,25,25,25,25,19,25,14,12,7
Pants & Capris,55.37,29.2,49331.52,23421.93,3392,864,350,481,1697,41999.86,19777.56,0.4748,0.2883,0.2968,0.1418,0.6626,0.0183295,0.0167987,0.0187173,11,9,18,18,20,20,20,22,20,19,19,18,13,8,26,21
Fashion Hoodies & Sweatshirts,54.02,28.09,155933.0,74918.07,11737,2951,1191,1714,5881,159794.53,76980.63,0.4805,0.2875,0.2944,0.146,0.6659,0.0579382,0.0537327,0.0647655,12,11,5,6,4,4,4,4,4,5,6,17,14,12,23,14
Swim,57.2,28.98,156523.7,76716.71,11246,2772,1143,1660,5671,159217.24,78510.83,0.4901,0.292,0.2892,0.1476,0.6717,0.0581577,0.0550227,0.0620561,10,10,4,5,5,7,5,7,5,6,5,16,7,17,22,10
Plus,39.47,19.84,44807.01,22316.68,4358,1070,436,646,2206,42048.64,21041.57,0.4981,0.2895,0.2883,0.1482,0.6734,0.0166484,0.016006,0.0240477,21,20,19,19,18,18,18,18,18,18,18,15,11,19,19,6
Shorts,47.29,23.69,136510.82,68155.43,11176,2819,1130,1690,5537,134644.7,67078.36,0.4993,0.2861,0.2972,0.1512,0.6626,0.0507217,0.0488824,0.0616699,17,14,7,9,6,5,6,5,7,7,8,14,15,7,10,21
Sleep & Lounge,48.79,23.64,132101.2,68241.52,11071,2737,1128,1645,5561,134573.41,68950.32,0.5166,0.2918,0.2904,0.1486,0.6702,0.0490833,0.0489441,0.0610905,16,15,8,8,8,8,7,8,6,8,7,13,8,15,15,12
Sweaters,75.46,36.32,213600.63,110714.83,11078,2792,1081,1688,5517,208115.59,107697.32,0.5183,0.2791,0.2973,0.1524,0.664,0.0793651,0.0794068,0.0611291,8,7,3,3,7,6,8,6,8,3,3,12,22,6,8,18
