product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Clothing Sets,85.82,52.9,5539.46,2131.98,221,60,24,35,102,4604.36,1726.01,0.3849,0.2857,0.3226,0.1584,0.6296,0.0020582,0.0015291,0.0012195,6,3,26,26,26,26,26,26,26,26,26,26,17,1,1,26
Jumpsuits & Rompers,46.79,24.83,10339.76,4897.93,929,230,86,139,474,9496.98,4463.25,0.4737,0.2722,0.2911,0.1496,0.6733,0.0038418,0.0035129,0.0051263,18,13,25,25,25,25,25,25,25,25,25,19,25,14,12,7
Leggings,26.79,16.07,22032.86,8796.32,3246,804,345,500,1597,22344.1,8926.78,0.3992,0.3003,0.2928,0.154,0.6651,0.0081865,0.0063089,0.0179116,24,23,23,24,21,21,21,21,22,23,24,23,5,13,4,17
Socks & Hosiery,16.81,6.75,15695.27,9398.63,3821,929,372,566,1954,15784.16,9453.9,0.5988,0.2859,0.2854,0.1481,0.6778,0.0058317,0.0067409,0.0210845,26,26,24,23,19,19,19,19,19,24,23,3,16,24,20,3
Socks,21.13,12.76,31572.07,12517.44,6329,1557,636,939,3197,32927.59,13032.11,0.3965,0.29,0.2889,0.1484,0.6725,0.0117309,0.0089777,0.0349238,25,25,21,22,14,14,14,14,14,20,21,24,10,18,18,8
Suits,117.3,70.96,32903.24,13000.36,1123,287,113,167,556,32368.47,12778.14,0.3951,0.2825,0.3002,0.1487,0.6595,0.0122255,0.0093241,0.0061968,3,1,20,21,24,24,24,24,24,21,22,25,18,3,14,24
Skirts,52.13,20.8,26843.42,16061.8,2087,539,208,314,1026,27751.21,16709.53,0.5984,0.2784,0.304,0.1505,0.6556,0.0099739,0.0115198,0.0115162,13,19,22,20,23,23,23,23,23,22,20,4,24,2,11,25
Plus,39.47,19.84,44807.01,22316.68,4358,1070,436,646,2206,42048.64,21041.57,0.4981,0.2895,0.2883,0.1482,0.6734,0.0166484,0.016006,0.0240477,21,20,19,19,18,18,18,18,18,18,18,15,11,19,19,6
Pants & Capris,55.37,29.2,49331.52,23421.93,3392,864,350,481,1697,41999.86,19777.56,0.4748,0.2883,0.2968,0.1418,0.6626,0.0183295,0.0167987,0.0187173,11,9,18,18,20,20,20,22,20,19,19,18,13,8,26,21
Underwear,27.21,12.79,50614.6,26861.36,7505,1886,738,1122,3759,51345.06,27197.18,0.5307,0.2813,0.2955,0.1495,0.6659,0.0188063,0.0192655,0.0414131,23,24,17,17,12,12,12,12,12,17,17,11,20,11,13,14
Maternity,51.5,22.73,63613.6,35563.76,5086,1232,531,741,2582,61413.18,34274.78,0.5591,0.3012,0.2835,0.1457,0.677,0.0236362,0.025507,0.0280649,14,17,16,16,17,17,16,17,17,16,16,7,3,25,25,4
Blazers & Jackets,90.68,34.35,65986.31,40954.92,3194,745,334,506,1609,76039.51,47305.1,0.6207,0.3095,0.2772,0.1584,0.6835,0.0245178,0.0293737,0.0176247,5,8,15,15,22,22,22,20,21,15,15,1,1,26,1,1
Tops & Tees,40.97,22.93,121151.89,53364.7,12000,2960,1292,1783,5965,123378.82,54313.77,0.4405,0.3039,0.2897,0.1486,0.6683,0.045015,0.0382742,0.0662168,20,16,9,14,3,3,3,3,3,9,13,22,2,16,15,13
Intimates,33.75,17.96,118381.2,55321.28,13423,3393,1329,2044,6657,112421.97,52618.74,0.4673,0.2814,0.2982,0.1523,0.6624,0.0439855,0.0396775,0.074069,22,21,10,13,1,1,1,1,1,12,14,20,19,5,9,23
Pants,59.65,27.35,106719.7,57634.8,7239,1823,713,1076,3627,106167.82,57611.26,0.5401,0.2812,0.2958,0.1486,0.6655,0.0396526,0.0413368,0.0399453,9,12,13,12,13,13,13,13,13,13,12,10,21,10,15,16
