product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Outerwear & Coats,146.29,65.02,339222.29,188050.56,9028,2308,862,1318,4540,322743.18,179542.92,0.5544,0.2719,0.2994,0.146,0.663,0.1260408,0.1348735,0.0498171,1,2,1,1,10,10,11,11,10,1,1,8,26,4,23,19
Jumpsuits & Rompers,46.79,24.83,10339.76,4897.93,929,230,86,139,474,9496.98,4463.25,0.4737,0.2722,0.2911,0.1496,0.6733,0.0038418,0.0035129,0.0051263,18,13,25,25,25,25,25,25,25,25,25,19,25,14,12,7
Skirts,52.13,20.8,26843.42,16061.8,2087,539,208,314,1026,27751.21,16709.53,0.5984,0.2784,0.304,0.1505,0.6556,0.0099739,0.0115198,0.0115162,13,19,22,20,23,23,23,23,23,22,20,4,24,2,11,25
Suits & Sport Coats,124.74,50.03,153543.45,92034.55,5176,1255,486,790,2645,160577.15,96066.37,0.5994,0.2791,0.2861,0.1526,0.6782,0.0570503,0.066009,0.0285615,2,5,6,4,16,16,17,16,16,4,4,2,22,23,5,2
Sweaters,75.46,36.32,213600.63,110714.83,11078,2792,1081,1688,5517,208115.59,107697.32,0.5183,0.2791,0.2973,0.1524,0.664,0.0793651,0.0794068,0.0611291,8,7,3,3,7,6,8,6,8,3,3,12,22,6,8,18
Pants,59.65,27.35,106719.7,57634.8,7239,1823,713,1076,3627,106167.82,57611.26,0.5401,0.2812,0.2958,0.1486,0.6655,0.0396526,0.0413368,0.0399453,9,12,13,12,13,13,13,13,13,13,12,10,21,10,15,16
Underwear,27.21,12.79,50614.6,26861.36,7505,1886,738,1122,3759,51345.06,27197.18,0.5307,0.2813,0.2955,0.1495,0.6659,0.0188063,0.0192655,0.0414131,23,24,17,17,12,12,12,12,12,17,17,11,20,11,13,14
Intimates,33.75,17.96,118381.2,55321.28,13423,3393,1329,2044,6657,112421.97,52618.74,0.4673,0.2814,0.2982,0.1523,0.6624,0.0439855,0.0396775,0.074069,22,21,10,13,1,1,1,1,1,12,14,20,19,5,9,23
Suits,117.3,70.96,32903.24,13000.36,1123,287,113,167,556,32368.47,12778.14,0.3951,0.2825,0.3002,0.1487,0.6595,0.0122255,0.0093241,0.0061968,3,1,20,21,24,24,24,24,24,21,22,25,18,3,14,24
Clothing Sets,85.82,52.9,5539.46,2131.98,221,60,24,35,102,4604.36,1726.01,0.3849,0.2857,0.3226,0.1584,0.6296,0.0020582,0.0015291,0.0012195,6,3,26,26,26,26,26,26,26,26,26,26,17,1,1,26
Socks & Hosiery,16.81,6.75,15695.27,9398.63,3821,929,372,566,1954,15784.16,9453.9,0.5988,0.2859,0.2854,0.1481,0.6778,0.0058317,0.0067409,0.0210845,26,26,24,23,19,19,19,19,19,24,23,3,16,24,20,3
Shorts,47.29,23.69,136510.82,68155.43,11176,2819,1130,1690,5537,134644.7,67078.36,0.4993,0.2861,0.2972,0.1512,0.6626,0.0507217,0.0488824,0.0616699,17,14,7,9,6,5,6,5,7,7,8,14,15,7,10,21
Fashion Hoodies & Sweatshirts,54.02,28.09,155933.0,74918.07,11737,2951,1191,1714,5881,159794.53,76980.63,0.4805,0.2875,0.2944,0.146,0.6659,0.0579382,0.0537327,0.0647655,12,11,5,6,4,4,4,4,4,5,6,17,14,12,23,14
Pants & Capris,55.37,29.2,49331.52,23421.93,3392,864,350,481,1697,41999.86,19777.56,0.4748,0.2883,0.2968,0.1418,0.6626,0.0183295,0.0167987,0.0187173,11,9,18,18,20,20,20,22,20,19,19,18,13,8,26,21
Accessories,42.05,16.85,99096.96,59262.83,9813,2384,967,1497,4965,103385.5,62000.28,0.598,0.2886,0.2867,0.1526,0.6756,0.0368203,0.0425044,0.0541488,19,22,14,11,9,9,9,9,9,14,11,5,12,22,5,5
