product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Bottoms Out Men's Plaid Sleep Pant,Bottoms Out,Sleep & Lounge,13.49,5.05,94.43,59.4,25,7,2,4,12,80.94,50.64,0.629,0.2222,0.3333,0.16,0.6316,3.5e-05,4.25e-05,0.0001379,25625,26913,8758,6904,21,33,844,126,37,9890,8299,839,12628,9747,12630,16546
HUGO BOSS Men's Bright Argyle Crew Sock,HUGO BOSS,Socks,9.75,5.68,39.0,15.65,22,4,4,4,10,78.0,32.25,0.4013,0.5,0.2222,0.1818,0.7143,1.44e-05,1.12e-05,0.0001214,27342,26355,16327,17765,43,776,30,126,77,10368,12068,20837,4275,17122,10468,12035
Kenneth Cole REACTION Men's Passcase Wallet,Kenneth Cole REACTION,Accessories,18.91,7.72,152.71,89.4,34,8,4,4,18,150.85,90.57,0.5854,0.3333,0.2667,0.1176,0.6923,5.66e-05,6.39e-05,0.0001876,23389,24481,4958,4188,4,16,30,126,4,5015,4078,3806,8752,14395,15553,12966
Puma Men's Socks,PUMA,Socks,13.0,7.78,90.0,35.98,24,7,1,5,11,78.0,31.36,0.3998,0.125,0.3684,0.2083,0.6111,3.33e-05,2.57e-05,0.0001324,25705,24414,8929,11107,30,33,3978,24,43,10368,12295,20955,13444,9637,8433,16951
New Men's Sexy Center Patch Bikini Swimsuit 3G by Gregg Homme,Gregg Homme,Swim,13.22,7.85,54.6,20.64,25,4,2,5,14,90.3,38.29,0.378,0.3333,0.2,0.2,0.7778,2.02e-05,1.48e-05,0.0001379,25672,24345,13422,15782,21,776,844,24,22,8973,10649,21721,8752,17510,8435,9281
HUGO BOSS Men's Striped Crew Sock,HUGO BOSS,Socks,13.0,8.14,104.0,40.17,24,8,3,4,9,91.0,33.33,0.3863,0.2727,0.4,0.1667,0.5294,3.85e-05,2.87e-05,0.0001324,25705,24062,7764,10157,30,16,151,126,140,8958,11794,21483,11342,7482,10731,19498
Bottoms Out Men's Plaid Sleep Jam,Bottoms Out,Sleep & Lounge,25.0,9.3,125.0,78.03,24,5,2,2,15,100.0,63.2,0.6242,0.2857,0.2273,0.0833,0.75,4.63e-05,5.58e-05,0.0001324,19651,23078,6364,5026,30,251,844,2100,11,7972,6500,1088,11280,17121,17144,9487
Diesel Men's Blade Underpant,Diesel,Underwear,22.14,9.75,122.0,66.53,22,6,0,2,14,43.0,23.83,0.5453,0.0,0.3,0.0909,0.7,4.52e-05,4.75e-05,0.0001214,21886,22702,6504,6114,43,84,13463,2100,22,15676,14732,8115,13463,13033,16872,12849
State O Maine Big and Tall Solid Microfleece Lounge Pant,KNOTHE CORP.,Sleep & Lounge,26.99,10.37,161.94,101.75,24,6,2,2,14,107.96,69.2,0.6283,0.25,0.2727,0.0833,0.7,6e-05,7.27e-05,0.0001324,19125,22140,4586,3491,30,84,844,2100,22,7621,5851,878,11344,14284,17144,12849
Motherhood Maternity: Sports Clip Down Nursing Bra,Motherhood Maternity,Maternity,22.54,10.46,200.82,108.99,25,9,2,3,11,112.9,60.37,0.5427,0.1818,0.4091,0.12,0.55,7.44e-05,7.79e-05,0.0001379,21822,22052,3297,3165,21,5,844,526,43,7249,6811,8373,13193,7481,15549,19449
Hanes Men's 4 Pack Boxer Brief,Hanes,Underwear,25.0,11.52,250.0,133.47,28,10,2,5,11,175.0,92.77,0.5339,0.1667,0.4348,0.1786,0.5238,9.26e-05,9.54e-05,0.0001545,19651,20997,2432,2340,9,4,844,24,43,4152,3935,9232,13196,6738,10715,19500
JiMarti JM01 Sunglasses for Golf Fishing Cycling-Unbreakable-... Frame,JiMarti,Accessories,29.95,11.92,269.55,161.1,22,9,2,2,9,119.8,72.12,0.5977,0.1818,0.45,0.0909,0.5,9.99e-05,0.0001151,0.0001214,18166,20613,2175,1707,43,5,844,2100,140,6868,5540,2758,13193,6490,16872,19501
Tommy Hilfiger Men Classic Fit T-shirt,Tommy Hilfiger,Tops & Tees,21.99,12.22,65.97,28.41,25,3,2,5,15,153.93,70.63,0.4307,0.4,0.15,0.2,0.8333,2.44e-05,2.03e-05,0.0001379,22049,20333,11887,13165,21,2358,844,24,11,4954,5704,18998,8312,20814,8435,6580
Michael Kors Men's 3 Pack Brief,Michael Kors,Underwear,25.99,12.48,130.46,67.73,24,5,5,4,10,232.38,120.98,0.5192,0.5,0.25,0.1667,0.6667,4.83e-05,4.84e-05,0.0001324,19456,20053,6070,5979,30,251,5,126,77,2705,2646,10469,4275,14408,10731,12990
Volcom Juniors Pocket Blocket Long Sleeve Tee,Volcom,Tops & Tees,27.0,15.34,81.0,33.86,21,3,4,5,9,243.0,107.41,0.418,0.5714,0.1875,0.2381,0.75,3e-05,2.42e-05,0.0001158,19072,17500,9846,11622,50,2358,30,24,140,2456,3131,20016,4252,19354,7773,9487
