product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Chaps Big and Tall Solid V-Neck Vest,Chaps,Sweaters,39.88,20.32,279.16,134.91,28,7,4,1,16,199.4,99.06,0.4833,0.3636,0.2593,0.0357,0.6957,0.0001034,9.64e-05,0.0001545,14437,13747,2029,2288,9,33,30,7029,7,3354,3543,14237,8748,14407,17457,12964
Joseph Abboud Men's Two-button Side Vent Sport Coat,Joseph Abboud,Suits & Sport Coats,264.0,101.9,2904.0,1759.82,30,11,2,2,15,1056.0,656.57,0.606,0.1538,0.3929,0.0667,0.5769,0.0010758,0.0012577,0.0001655,430,734,6,5,7,3,844,2100,11,112,91,2144,13388,9081,17408,18610
Joe's Jeans Men's Slim Fit Straight Leg Brixton,Joe's Jeans,Jeans,194.26,102.07,1353.0,647.44,27,7,3,2,15,976.0,458.49,0.4785,0.3,0.28,0.0741,0.6818,0.0005012,0.0004627,0.0001489,992,729,58,76,12,33,151,2100,11,133,207,14773,11276,14282,17370,12986
Dockers Men's Suit Separate Coat,Dockers,Suits & Sport Coats,88.36,33.97,231.12,140.98,27,3,4,2,18,542.11,337.6,0.61,0.5714,0.12,0.0741,0.8571,8.56e-05,0.0001008,0.0001489,5094,7229,2783,2122,12,2358,30,2100,4,542,391,1873,4252,22129,17370,6057
UltraClub Adult Sherpa-Lined Full-Zip Fleece with Hood,UltraClub,Fashion Hoodies & Sweatshirts,51.47,28.47,360.9,161.23,26,7,2,2,15,203.71,91.12,0.4467,0.2222,0.2917,0.0769,0.6818,0.0001337,0.0001152,0.0001434,10603,9302,1222,1705,17,33,844,2100,11,3228,4041,17630,12628,13236,17286,12986
Lucky Brand Mens Men's 361 Vintage Straight Denim Jean,Lucky Brand,Jeans,99.0,52.65,594.0,275.91,25,6,3,2,14,495.0,228.59,0.4645,0.3333,0.2609,0.08,0.7,0.00022,0.0001972,0.0001379,4113,3525,427,608,21,84,151,2100,22,674,896,15993,8752,14406,17285,12849
True Religion Men's Ricky Straight Jean,True Religion,Jeans,246.88,129.05,1366.0,666.07,34,5,4,3,22,1400.0,654.5,0.4876,0.4444,0.1613,0.0882,0.8148,0.000506,0.000476,0.0001876,534,354,56,65,4,251,30,526,3,63,92,13792,8264,20804,17143,7595
HUGO BOSS Men's Long Pant,HUGO BOSS,Sleep & Lounge,74.72,28.3,1033.11,648.16,33,14,0,3,16,233.01,138.21,0.6274,0.0,0.4667,0.0909,0.5333,0.0003827,0.0004632,0.000182,6501,9383,113,75,6,1,13463,526,7,2702,2165,933,13463,6418,16872,19494
Wrangler Men's Wrancher Dress Jean,Wrangler,Jeans,40.4,20.2,242.4,118.65,27,6,2,3,16,202.0,102.05,0.4895,0.25,0.25,0.1111,0.7273,8.98e-05,8.48e-05,0.0001489,13728,13816,2533,2788,12,84,844,526,7,3236,3382,13585,11344,14408,15570,11980
Joe's Jeans Men's Rebel Relaxed Fit Jean,Joe's Jeans,Jeans,139.29,76.13,1296.69,583.03,26,9,0,3,14,339.69,166.11,0.4496,0.0,0.3913,0.1154,0.6087,0.0004803,0.0004167,0.0001434,2334,1721,68,102,17,5,13463,526,22,1403,1558,17357,13463,9082,15567,16952
RVCA Men's Heavy Chev Denim Pant,RVCA,Jeans,77.05,43.62,599.7,260.01,26,8,2,3,13,395.9,171.93,0.4336,0.2,0.3478,0.1154,0.619,0.0002222,0.0001858,0.0001434,6221,4800,406,687,17,16,844,526,31,1032,1457,18759,12637,9743,15567,16938
Wrangler Men's 20x Collection Jean,Wrangler,Jeans,55.0,29.7,440.0,202.51,26,8,2,3,13,275.0,133.27,0.4602,0.2,0.3478,0.1154,0.619,0.000163,0.0001447,0.0001434,9673,8763,847,1122,17,16,844,526,31,2032,2300,16343,12637,9743,15567,16938
Kenneth Cole REACTION Men's Passcase Wallet,Kenneth Cole REACTION,Accessories,18.91,7.72,152.71,89.4,34,8,4,4,18,150.85,90.57,0.5854,0.3333,0.2667,0.1176,0.6923,5.66e-05,6.39e-05,0.0001876,23389,24481,4958,4188,4,16,30,126,4,5015,4078,3806,8752,14395,15553,12966
7 For All Mankind Men's Standard Classic Straight Leg Jean,7 For All Mankind,Jeans,157.45,80.97,1435.0,696.01,42,9,5,5,23,1673.0,844.04,0.485,0.3571,0.2432,0.119,0.7188,0.0005316,0.0004974,0.0002317,1798,1488,46,60,2,5,5,24,2,32,41,14028,8749,17091,15552,12034
Wrangler Men's Sarasota Agility Short,Wrangler,Shorts,33.03,16.36,198.95,101.37,25,6,1,3,15,138.97,68.68,0.5095,0.1429,0.2727,0.12,0.7143,7.37e-05,7.24e-05,0.0001379,16765,16618,3447,3505,21,84,3978,526,11,5758,5901,11606,13389,14284,15549,12035
