product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Kenneth Cole Men's Straight Leg Jean,Kenneth Cole,Jeans,54.25,27.11,54.99,26.89,24,1,7,4,12,632.25,318.8,0.489,0.875,0.05,0.1667,0.9231,2.04e-05,1.92e-05,0.0001324,10100,9920,13356,13628,30,13264,1,126,37,380,462,13602,2795,22531,10731,5642
Lilly Pulitzer Women's Callahan Short,Lilly Pulitzer,Shorts,48.24,24.35,106.11,53.14,24,2,4,5,13,420.02,207.44,0.5008,0.6667,0.1053,0.2083,0.8667,3.93e-05,3.8e-05,0.0001324,11747,11307,7626,7813,30,6114,30,24,31,883,1063,12538,3055,22368,8433,6056
Dockers Men's Suit Separate Coat,Dockers,Suits & Sport Coats,88.36,33.97,231.12,140.98,27,3,4,2,18,542.11,337.6,0.61,0.5714,0.12,0.0741,0.8571,8.56e-05,0.0001008,0.0001489,5094,7229,2783,2122,12,2358,30,2100,4,542,391,1873,4252,22129,17370,6057
Tommy Hilfiger Men Classic Fit T-shirt,Tommy Hilfiger,Tops & Tees,21.99,12.22,65.97,28.41,25,3,2,5,15,153.93,70.63,0.4307,0.4,0.15,0.2,0.8333,2.44e-05,2.03e-05,0.0001379,22049,20333,11887,13165,21,2358,844,24,11,4954,5704,18998,8312,20814,8435,6580
True Religion Men's Ricky Straight Jean,True Religion,Jeans,246.88,129.05,1366.0,666.07,34,5,4,3,22,1400.0,654.5,0.4876,0.4444,0.1613,0.0882,0.8148,0.000506,0.000476,0.0001876,534,354,56,65,4,251,30,526,3,63,92,13792,8264,20804,17143,7595
RSQ London Mens Skinny Jeans,RSQ,Jeans,44.99,24.2,134.97,63.21,21,3,5,3,10,359.92,163.94,0.4683,0.625,0.1667,0.1429,0.7692,5e-05,4.52e-05,0.0001158,12553,11383,5908,6477,50,2358,5,526,77,1228,1608,15636,4099,19436,12706,9471
Volcom Men's Kinkade Jean,Volcom,Jeans,66.67,35.17,269.9,125.86,27,4,3,5,15,538.25,254.63,0.4663,0.4286,0.1818,0.1852,0.7895,0.0001,9e-05,0.0001489,7633,6807,2158,2560,12,776,151,24,11,562,723,15806,8270,19358,10467,9273
Wrangler Men's 20X No. 33 Relaxed Straight Leg Jean,Wrangler,Jeans,55.0,29.66,220.0,100.87,24,4,1,2,17,165.0,74.2,0.4585,0.2,0.1818,0.0833,0.8095,8.15e-05,7.21e-05,0.0001324,9673,8784,2941,3526,30,776,3978,2100,6,4449,5375,16533,12637,19358,17144,7597
Volcom Juniors Pocket Blocket Long Sleeve Tee,Volcom,Tops & Tees,27.0,15.34,81.0,33.86,21,3,4,5,9,243.0,107.41,0.418,0.5714,0.1875,0.2381,0.75,3e-05,2.42e-05,0.0001158,19072,17500,9846,11622,50,2358,30,24,140,2456,3131,20016,4252,19354,7773,9487
RUDE Dark Vintage Skinny Jeans,Hot Topic,Jeans,36.5,19.33,146.0,68.99,24,4,4,3,13,255.5,123.41,0.4725,0.5,0.1905,0.125,0.7647,5.41e-05,4.93e-05,0.0001324,15396,14389,5357,5845,30,776,30,526,31,2306,2570,15319,4275,19353,14338,9484
New Men's Sexy Center Patch Bikini Swimsuit 3G by Gregg Homme,Gregg Homme,Swim,13.22,7.85,54.6,20.64,25,4,2,5,14,90.3,38.29,0.378,0.3333,0.2,0.2,0.7778,2.02e-05,1.48e-05,0.0001379,25672,24345,13422,15782,21,776,844,24,22,8973,10649,21721,8752,17510,8435,9281
Levi's Men's Wool Melton Peacoat,Levi's,Outerwear & Coats,103.99,47.71,415.98,225.14,22,4,3,3,12,623.97,337.71,0.5412,0.4286,0.2105,0.1364,0.75,0.0001541,0.0001609,0.0001214,3776,4133,937,912,43,776,151,526,37,393,389,8481,8270,17508,14315,9487
Nike Classic Fleece Hooded Top,Nike,Active,40.62,16.88,161.76,98.38,21,4,2,2,13,162.86,91.16,0.6082,0.3333,0.2105,0.0952,0.7647,5.99e-05,7.03e-05,0.0001158,13704,16183,4588,3666,50,776,844,2100,31,4548,4039,1985,8752,17508,16870,9484
Lee Men's Relaxed Fit Slightly Tapered Leg Jean,Lee,Jeans,30.99,16.89,122.96,55.54,21,4,5,3,9,248.92,113.31,0.4517,0.5556,0.2222,0.1429,0.6923,4.55e-05,3.97e-05,0.0001158,17446,16178,6481,7447,50,776,5,526,140,2405,2891,17150,4274,17122,12706,12966
HUGO BOSS Men's Bright Argyle Crew Sock,HUGO BOSS,Socks,9.75,5.68,39.0,15.65,22,4,4,4,10,78.0,32.25,0.4013,0.5,0.2222,0.1818,0.7143,1.44e-05,1.12e-05,0.0001214,27342,26355,16327,17765,43,776,30,126,77,10368,12068,20837,4275,17122,10468,12035
