product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Hanes Men's 4 Pack Boxer Brief,Hanes,Underwear,25.0,11.52,250.0,133.47,28,10,2,5,11,175.0,92.77,0.5339,0.1667,0.4348,0.1786,0.5238,9.26e-05,9.54e-05,0.0001545,19651,20997,2432,2340,9,4,844,24,43,4152,3935,9232,13196,6738,10715,19500
HUGO BOSS Men's Long Pant,HUGO BOSS,Sleep & Lounge,74.72,28.3,1033.11,648.16,33,14,0,3,16,233.01,138.21,0.6274,0.0,0.4667,0.0909,0.5333,0.0003827,0.0004632,0.000182,6501,9383,113,75,6,1,13463,526,7,2702,2165,933,13463,6418,16872,19494
Motherhood Maternity: Sports Clip Down Nursing Bra,Motherhood Maternity,Maternity,22.54,10.46,200.82,108.99,25,9,2,3,11,112.9,60.37,0.5427,0.1818,0.4091,0.12,0.55,7.44e-05,7.79e-05,0.0001379,21822,22052,3297,3165,21,5,844,526,43,7249,6811,8373,13193,7481,15549,19449
Joseph Abboud Men's Two-button Side Vent Sport Coat,Joseph Abboud,Suits & Sport Coats,264.0,101.9,2904.0,1759.82,30,11,2,2,15,1056.0,656.57,0.606,0.1538,0.3929,0.0667,0.5769,0.0010758,0.0012577,0.0001655,430,734,6,5,7,3,844,2100,11,112,91,2144,13388,9081,17408,18610
Joe's Jeans Men's Rebel Relaxed Fit Jean,Joe's Jeans,Jeans,139.29,76.13,1296.69,583.03,26,9,0,3,14,339.69,166.11,0.4496,0.0,0.3913,0.1154,0.6087,0.0004803,0.0004167,0.0001434,2334,1721,68,102,17,5,13463,526,22,1403,1558,17357,13463,9082,15567,16952
Wrangler Men's Original Cowboy Cut Relaxed Fit Jean,Wrangler,Jeans,42.99,22.67,228.46,108.63,25,5,5,7,8,493.18,228.73,0.4755,0.5,0.2778,0.28,0.6154,8.46e-05,7.76e-05,0.0001379,13180,12269,2826,3184,21,251,5,2,295,687,895,15040,4275,14283,5404,16940
RVCA Men's Heavy Chev Denim Pant,RVCA,Jeans,77.05,43.62,599.7,260.01,26,8,2,3,13,395.9,171.93,0.4336,0.2,0.3478,0.1154,0.619,0.0002222,0.0001858,0.0001434,6221,4800,406,687,17,16,844,526,31,1032,1457,18759,12637,9743,15567,16938
Wrangler Men's 20x Collection Jean,Wrangler,Jeans,55.0,29.7,440.0,202.51,26,8,2,3,13,275.0,133.27,0.4602,0.2,0.3478,0.1154,0.619,0.000163,0.0001447,0.0001434,9673,8763,847,1122,17,16,844,526,31,2032,2300,16343,12637,9743,15567,16938
Wrangler Men's Rugged Wear Classic Fit Jean,Wrangler,Jeans,40.87,22.23,367.56,169.24,38,9,5,9,15,596.43,273.96,0.4604,0.3571,0.3103,0.2368,0.625,0.0001362,0.000121,0.0002096,13688,12514,1205,1552,3,5,5,1,11,440,628,16340,8749,13014,7776,16547
Bottoms Out Men's Plaid Sleep Pant,Bottoms Out,Sleep & Lounge,13.49,5.05,94.43,59.4,25,7,2,4,12,80.94,50.64,0.629,0.2222,0.3333,0.16,0.6316,3.5e-05,4.25e-05,0.0001379,25625,26913,8758,6904,21,33,844,126,37,9890,8299,839,12628,9747,12630,16546
Volcom Men's Vorta Slim Straight Leg Fit Jean,Volcom,Jeans,73.57,41.13,574.85,249.86,27,8,1,4,14,387.8,166.89,0.4347,0.1111,0.3478,0.1481,0.6364,0.0002129,0.0001786,0.0001489,6603,5251,467,746,12,16,3978,126,22,1091,1537,18678,13456,9743,12705,16487
UltraClub Adult Sherpa-Lined Full-Zip Fleece with Hood,UltraClub,Fashion Hoodies & Sweatshirts,51.47,28.47,360.9,161.23,26,7,2,2,15,203.71,91.12,0.4467,0.2222,0.2917,0.0769,0.6818,0.0001337,0.0001152,0.0001434,10603,9302,1222,1705,17,33,844,2100,11,3228,4041,17630,12628,13236,17286,12986
True Religion Men's Ricky Straight Leg Jean,True Religion,Jeans,227.86,123.14,1452.0,661.01,28,7,1,5,15,1430.0,645.85,0.4552,0.125,0.3043,0.1786,0.6818,0.0005379,0.0004724,0.0001545,646,406,45,69,9,33,3978,24,11,57,95,16801,13444,13032,10715,12986
Joe's Jeans Men's Slim Fit Straight Leg Brixton,Joe's Jeans,Jeans,194.26,102.07,1353.0,647.44,27,7,3,2,15,976.0,458.49,0.4785,0.3,0.28,0.0741,0.6818,0.0005012,0.0004627,0.0001489,992,729,58,76,12,33,151,2100,11,133,207,14773,11276,14282,17370,12986
Kenneth Cole REACTION Men's Passcase Wallet,Kenneth Cole REACTION,Accessories,18.91,7.72,152.71,89.4,34,8,4,4,18,150.85,90.57,0.5854,0.3333,0.2667,0.1176,0.6923,5.66e-05,6.39e-05,0.0001876,23389,24481,4958,4188,4,16,30,126,4,5015,4078,3806,8752,14395,15553,12966
