product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Steinbock Tyrolean Sport Coat,Orvis,Suits & Sport Coats,350.0,154.0,1400.0,784.0,11,4,0,0,7,0.0,0.0,0.56,0.0,0.3636,0.0,0.6364,0.0005186,0.0005603,6.07e-05,180,217,49,48,1161,776,13463,17458,623,22642,22642,6489,13463,9638,17458,16487
The North Face Apex Bionic Soft Shell Jacket - Men's,The North Face,Fashion Hoodies & Sweatshirts,903.0,524.64,1806.0,756.71,6,2,0,0,4,0.0,0.0,0.419,0.0,0.3333,0.0,0.6667,0.000669,0.0005408,3.31e-05,5,3,21,55,12532,6114,13463,17458,6105,22642,22642,19960,13463,9747,17458,12990
Women's Knee Length Overcoat in Pure Cashmere,Cashmere Boutique,Outerwear & Coats,399.0,193.12,1596.0,814.76,9,4,0,0,5,0.0,0.0,0.5105,0.0,0.4444,0.0,0.5556,0.0005912,0.0005823,4.96e-05,115,100,35,40,3355,776,13463,17458,3026,22642,22642,11502,13463,6492,17458,19270
Mountain Hardwear Men's Chillwave Down Parka,Mountain Hardwear,Outerwear & Coats,375.0,176.63,1500.0,793.5,5,4,0,0,1,0.0,0.0,0.529,0.0,0.8,0.0,0.2,0.0005557,0.0005671,2.76e-05,155,135,41,44,16887,776,13463,17458,23197,22642,22642,9645,13463,607,17458,26859
AIR JORDAN DOMINATE SHORTS MENS 465071-100,Jordan,Shorts,903.0,454.21,2709.0,1346.37,5,3,0,0,2,0.0,0.0,0.497,0.0,0.6,0.0,0.4,0.0010035,0.0009622,2.76e-05,5,8,7,9,16887,2358,13463,17458,17069,22642,22642,12874,13463,2189,17458,23875
Quiksilver Men's Rockefeller Walkshort,Quiksilver,Shorts,903.0,472.27,1806.0,861.46,6,2,0,0,4,0.0,0.0,0.477,0.0,0.3333,0.0,0.6667,0.000669,0.0006157,3.31e-05,5,7,21,34,12532,6114,13463,17458,6105,22642,22642,14881,13463,9747,17458,12990
The North Face Nuptse 2 Jacket - Noah Green/TNF Black,The North Face,Outerwear & Coats,903.0,370.23,1806.0,1065.54,8,2,0,0,6,0.0,0.0,0.59,0.0,0.25,0.0,0.75,0.000669,0.0007615,4.41e-05,5,29,21,19,5507,6114,13463,17458,1398,22642,22642,3353,13463,14408,17458,9487
The North Face Denali Down Womens Jacket 2013,The North Face,Active,903.0,395.51,1806.0,1014.97,8,2,0,0,6,0.0,0.0,0.562,0.0,0.25,0.0,0.75,0.000669,0.0007254,4.41e-05,5,20,21,25,5507,6114,13463,17458,1398,22642,22642,6272,13463,14408,17458,9487
HALSTON HERITAGE Women's Sleeveless Ponte Pleated Dress,Halston Heritage,Dresses,357.0,161.36,1428.0,782.54,9,4,0,0,5,0.0,0.0,0.548,0.0,0.4444,0.0,0.5556,0.000529,0.0005593,4.96e-05,172,181,47,49,3355,776,13463,17458,3026,22642,22642,7812,13463,6492,17458,19270
7 For All Mankind Men's Austyn Relaxed Straight Jean,7 For All Mankind,Jeans,197.94,111.63,1399.0,608.64,17,7,0,1,9,189.0,83.35,0.4351,0.0,0.4375,0.0588,0.5625,0.0005182,0.000435,9.38e-05,942,526,50,91,103,33,13463,7029,140,3671,4605,18597,13463,6734,17433,19266
PAIGE Women's Skyline Skinny Jean,PAIGE,Jeans,158.0,90.19,1422.0,608.93,19,9,0,2,8,316.0,135.88,0.4282,0.0,0.5294,0.1053,0.4706,0.0005268,0.0004352,0.0001048,1714,1108,48,90,72,5,13463,2100,295,1575,2230,19172,13463,3268,16363,23444
True Religion Women's Julie Super T Jean,True Religion,Jeans,326.0,172.13,1956.0,923.23,8,6,0,1,1,326.0,153.87,0.472,0.0,0.8571,0.125,0.1429,0.0007246,0.0006598,4.41e-05,233,145,19,31,5507,84,13463,7029,23197,1487,1788,15335,13463,546,14338,27121
Mountain Hardwear Women's Chillwave Down Jacket,Mountain Hardwear,Outerwear & Coats,375.0,179.25,1875.0,978.75,6,5,0,1,0,375.0,195.75,0.522,0.0,1.0,0.1667,0.0,0.0006946,0.0006995,3.31e-05,155,128,20,29,12532,251,13463,7029,27145,1150,1161,10227,13463,1,10731,27145
Barbour Bedale Jacket / Bedale Jacket,Barbour,Outerwear & Coats,379.0,173.96,1516.0,820.16,8,4,0,1,3,379.0,205.04,0.541,0.0,0.5714,0.125,0.4286,0.0005616,0.0005862,4.41e-05,147,142,39,39,5507,776,13463,7029,10869,1133,1085,8491,13463,2847,14338,23541
Barbour Classic Beaufort Jacket / Beaufort Jacket,Barbour,Outerwear & Coats,399.0,193.91,1596.0,820.34,10,4,0,1,5,399.0,205.09,0.514,0.0,0.4444,0.1,0.5556,0.0005912,0.0005863,5.52e-05,115,98,35,38,1962,776,13463,7029,3026,985,1084,11041,13463,6492,16366,19270
