product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
The North Face Apex Bionic Soft Shell Jacket - Men's,The North Face,Fashion Hoodies & Sweatshirts,903.0,524.64,1806.0,756.71,6,2,0,0,4,0.0,0.0,0.419,0.0,0.3333,0.0,0.6667,0.000669,0.0005408,3.31e-05,5,3,21,55,12532,6114,13463,17458,6105,22642,22642,19960,13463,9747,17458,12990
PAIGE Women's Skyline Skinny Jean,PAIGE,Jeans,158.0,90.19,1422.0,608.93,19,9,0,2,8,316.0,135.88,0.4282,0.0,0.5294,0.1053,0.4706,0.0005268,0.0004352,0.0001048,1714,1108,48,90,72,5,13463,2100,295,1575,2230,19172,13463,3268,16363,23444
7 For All Mankind Men's Austyn Relaxed Straight Jean,7 For All Mankind,Jeans,197.94,111.63,1399.0,608.64,17,7,0,1,9,189.0,83.35,0.4351,0.0,0.4375,0.0588,0.5625,0.0005182,0.000435,9.38e-05,942,526,50,91,103,33,13463,7029,140,3671,4605,18597,13463,6734,17433,19266
Catherine Malandrino Women's Stretch Leather Pant,Catherine Malandrino,Leggings,528.81,291.37,1586.43,712.31,5,3,1,0,1,528.81,237.44,0.449,0.25,0.6,0.0,0.25,0.0005877,0.0005091,2.76e-05,68,51,38,59,16887,2358,3978,17458,23197,584,835,17380,11344,2189,17458,26348
True Religion Men's Ricky Straight Leg Jean,True Religion,Jeans,227.86,123.14,1452.0,661.01,28,7,1,5,15,1430.0,645.85,0.4552,0.125,0.3043,0.1786,0.6818,0.0005379,0.0004724,0.0001545,646,406,45,69,9,33,3978,24,11,57,95,16801,13444,13032,10715,12986
Diesel Men's Shioner Skinny Straight Leg Jean,Diesel,Jeans,295.98,157.9,1695.85,779.71,25,6,2,3,14,1431.9,657.85,0.4598,0.25,0.2727,0.12,0.7,0.0006282,0.0005572,0.0001379,318,201,33,50,21,84,844,526,22,56,90,16428,11344,14284,15549,12849
True Religion Women's Julie Super T Jean,True Religion,Jeans,326.0,172.13,1956.0,923.23,8,6,0,1,1,326.0,153.87,0.472,0.0,0.8571,0.125,0.1429,0.0007246,0.0006598,4.41e-05,233,145,19,31,5507,84,13463,7029,23197,1487,1788,15335,13463,546,14338,27121
Quiksilver Men's Rockefeller Walkshort,Quiksilver,Shorts,903.0,472.27,1806.0,861.46,6,2,0,0,4,0.0,0.0,0.477,0.0,0.3333,0.0,0.6667,0.000669,0.0006157,3.31e-05,5,7,21,34,12532,6114,13463,17458,6105,22642,22642,14881,13463,9747,17458,12990
7 For All Mankind Men's Standard Classic Straight Leg Jean,7 For All Mankind,Jeans,157.45,80.97,1435.0,696.01,42,9,5,5,23,1673.0,844.04,0.485,0.3571,0.2432,0.119,0.7188,0.0005316,0.0004974,0.0002317,1798,1488,46,60,2,5,5,24,2,32,41,14028,8749,17091,15552,12034
AIR JORDAN DOMINATE SHORTS MENS 465071-100,Jordan,Shorts,903.0,454.21,2709.0,1346.37,5,3,0,0,2,0.0,0.0,0.497,0.0,0.6,0.0,0.4,0.0010035,0.0009622,2.76e-05,5,8,7,9,16887,2358,13463,17458,17069,22642,22642,12874,13463,2189,17458,23875
Canada Goose Women's Expedition Parka,Canada Goose,Outerwear & Coats,795.0,395.91,2385.0,1197.27,4,3,0,1,0,795.0,399.09,0.502,0.0,1.0,0.25,0.0,0.0008835,0.0008557,2.21e-05,33,19,10,13,21053,2358,13463,7029,27145,230,277,12357,13463,1,5542,27145
Arc'teryx Moray Jacket - Women's,Arc'teryx,Outerwear & Coats,699.0,343.91,2097.0,1065.28,9,3,0,3,3,2097.0,1065.28,0.508,0.0,0.5,0.3333,0.5,0.0007768,0.0007613,4.96e-05,41,36,15,20,3355,2358,13463,526,10869,11,22,11720,13463,3269,2619,19501
Barbour Sapper Jacket,Barbour,Outerwear & Coats,429.0,210.21,2145.0,1093.95,10,5,1,1,3,858.0,437.58,0.51,0.1667,0.5556,0.1,0.375,0.0007946,0.0007818,5.52e-05,94,81,14,18,1962,251,3978,7029,10869,185,233,11510,13196,3151,16366,24717
Women's Knee Length Overcoat in Pure Cashmere,Cashmere Boutique,Outerwear & Coats,399.0,193.12,1596.0,814.76,9,4,0,0,5,0.0,0.0,0.5105,0.0,0.4444,0.0,0.5556,0.0005912,0.0005823,4.96e-05,115,100,35,40,3355,776,13463,17458,3026,22642,22642,11502,13463,6492,17458,19270
Barbour Classic Beaufort Jacket / Beaufort Jacket,Barbour,Outerwear & Coats,399.0,193.91,1596.0,820.34,10,4,0,1,5,399.0,205.09,0.514,0.0,0.4444,0.1,0.5556,0.0005912,0.0005863,5.52e-05,115,98,35,38,1962,776,13463,7029,3026,985,1084,11041,13463,6492,16366,19270
