product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
HUGO BOSS Men's Bright Argyle Crew Sock,HUGO BOSS,Socks,9.75,5.68,39.0,15.65,22,4,4,4,10,78.0,32.25,0.4013,0.5,0.2222,0.1818,0.7143,1.44e-05,1.12e-05,0.0001214,27342,26355,16327,17765,43,776,30,126,77,10368,12068,20837,4275,17122,10468,12035
New Men's Sexy Center Patch Bikini Swimsuit 3G by Gregg Homme,Gregg Homme,Swim,13.22,7.85,54.6,20.64,25,4,2,5,14,90.3,38.29,0.378,0.3333,0.2,0.2,0.7778,2.02e-05,1.48e-05,0.0001379,25672,24345,13422,15782,21,776,844,24,22,8973,10649,21721,8752,17510,8435,9281
Kenneth Cole Men's Straight Leg Jean,Kenneth Cole,Jeans,54.25,27.11,54.99,26.89,24,1,7,4,12,632.25,318.8,0.489,0.875,0.05,0.1667,0.9231,2.04e-05,1.92e-05,0.0001324,10100,9920,13356,13628,30,13264,1,126,37,380,462,13602,2795,22531,10731,5642
Tommy Hilfiger Men Classic Fit T-shirt,Tommy Hilfiger,Tops & Tees,21.99,12.22,65.97,28.41,25,3,2,5,15,153.93,70.63,0.4307,0.4,0.15,0.2,0.8333,2.44e-05,2.03e-05,0.0001379,22049,20333,11887,13165,21,2358,844,24,11,4954,5704,18998,8312,20814,8435,6580
Volcom Juniors Pocket Blocket Long Sleeve Tee,Volcom,Tops & Tees,27.0,15.34,81.0,33.86,21,3,4,5,9,243.0,107.41,0.418,0.5714,0.1875,0.2381,0.75,3e-05,2.42e-05,0.0001158,19072,17500,9846,11622,50,2358,30,24,140,2456,3131,20016,4252,19354,7773,9487
Puma Men's Socks,PUMA,Socks,13.0,7.78,90.0,35.98,24,7,1,5,11,78.0,31.36,0.3998,0.125,0.3684,0.2083,0.6111,3.33e-05,2.57e-05,0.0001324,25705,24414,8929,11107,30,33,3978,24,43,10368,12295,20955,13444,9637,8433,16951
HUGO BOSS Men's Striped Crew Sock,HUGO BOSS,Socks,13.0,8.14,104.0,40.17,24,8,3,4,9,91.0,33.33,0.3863,0.2727,0.4,0.1667,0.5294,3.85e-05,2.87e-05,0.0001324,25705,24062,7764,10157,30,16,151,126,140,8958,11794,21483,11342,7482,10731,19498
Lilly Pulitzer Women's Callahan Short,Lilly Pulitzer,Shorts,48.24,24.35,106.11,53.14,24,2,4,5,13,420.02,207.44,0.5008,0.6667,0.1053,0.2083,0.8667,3.93e-05,3.8e-05,0.0001324,11747,11307,7626,7813,30,6114,30,24,31,883,1063,12538,3055,22368,8433,6056
Lee Men's Relaxed Fit Slightly Tapered Leg Jean,Lee,Jeans,30.99,16.89,122.96,55.54,21,4,5,3,9,248.92,113.31,0.4517,0.5556,0.2222,0.1429,0.6923,4.55e-05,3.97e-05,0.0001158,17446,16178,6481,7447,50,776,5,526,140,2405,2891,17150,4274,17122,12706,12966
Bottoms Out Men's Plaid Sleep Pant,Bottoms Out,Sleep & Lounge,13.49,5.05,94.43,59.4,25,7,2,4,12,80.94,50.64,0.629,0.2222,0.3333,0.16,0.6316,3.5e-05,4.25e-05,0.0001379,25625,26913,8758,6904,21,33,844,126,37,9890,8299,839,12628,9747,12630,16546
RSQ London Mens Skinny Jeans,RSQ,Jeans,44.99,24.2,134.97,63.21,21,3,5,3,10,359.92,163.94,0.4683,0.625,0.1667,0.1429,0.7692,5e-05,4.52e-05,0.0001158,12553,11383,5908,6477,50,2358,5,526,77,1228,1608,15636,4099,19436,12706,9471
Diesel Men's Blade Underpant,Diesel,Underwear,22.14,9.75,122.0,66.53,22,6,0,2,14,43.0,23.83,0.5453,0.0,0.3,0.0909,0.7,4.52e-05,4.75e-05,0.0001214,21886,22702,6504,6114,43,84,13463,2100,22,15676,14732,8115,13463,13033,16872,12849
Michael Kors Men's 3 Pack Brief,Michael Kors,Underwear,25.99,12.48,130.46,67.73,24,5,5,4,10,232.38,120.98,0.5192,0.5,0.25,0.1667,0.6667,4.83e-05,4.84e-05,0.0001324,19456,20053,6070,5979,30,251,5,126,77,2705,2646,10469,4275,14408,10731,12990
RUDE Dark Vintage Skinny Jeans,Hot Topic,Jeans,36.5,19.33,146.0,68.99,24,4,4,3,13,255.5,123.41,0.4725,0.5,0.1905,0.125,0.7647,5.41e-05,4.93e-05,0.0001324,15396,14389,5357,5845,30,776,30,526,31,2306,2570,15319,4275,19353,14338,9484
Bottoms Out Men's Plaid Sleep Jam,Bottoms Out,Sleep & Lounge,25.0,9.3,125.0,78.03,24,5,2,2,15,100.0,63.2,0.6242,0.2857,0.2273,0.0833,0.75,4.63e-05,5.58e-05,0.0001324,19651,23078,6364,5026,30,251,844,2100,11,7972,6500,1088,11280,17121,17144,9487
