product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
AIR JORDAN DOMINATE SHORTS MENS 465071-100,Jordan,Shorts,903.0,454.21,2709.0,1346.37,5,3,0,0,2,0.0,0.0,0.497,0.0,0.6,0.0,0.4,0.0010035,0.0009622,2.76e-05,5,8,7,9,16887,2358,13463,17458,17069,22642,22642,12874,13463,2189,17458,23875
Canada Goose Women's Expedition Parka,Canada Goose,Outerwear & Coats,795.0,395.91,2385.0,1197.27,4,3,0,1,0,795.0,399.09,0.502,0.0,1.0,0.25,0.0,0.0008835,0.0008557,2.21e-05,33,19,10,13,21053,2358,13463,7029,27145,230,277,12357,13463,1,5542,27145
True Religion Women's Julie Super T Jean,True Religion,Jeans,326.0,172.13,1956.0,923.23,8,6,0,1,1,326.0,153.87,0.472,0.0,0.8571,0.125,0.1429,0.0007246,0.0006598,4.41e-05,233,145,19,31,5507,84,13463,7029,23197,1487,1788,15335,13463,546,14338,27121
Mountain Hardwear Women's Chillwave Down Jacket,Mountain Hardwear,Outerwear & Coats,375.0,179.25,1875.0,978.75,6,5,0,1,0,375.0,195.75,0.522,0.0,1.0,0.1667,0.0,0.0006946,0.0006995,3.31e-05,155,128,20,29,12532,251,13463,7029,27145,1150,1161,10227,13463,1,10731,27145
Canada Goose Women's Solaris,Canada Goose,Outerwear & Coats,695.0,296.76,2085.0,1194.71,6,3,0,2,1,1390.0,796.47,0.573,0.0,0.75,0.3333,0.25,0.0007724,0.0008538,3.31e-05,46,48,17,14,12532,2358,13463,2100,23197,67,52,5041,13463,746,2619,26348
ASCIS Cushion Low Socks (Pack of 3),ASICS,Active,903.0,373.84,3612.0,2116.63,11,4,0,1,6,903.0,529.16,0.586,0.0,0.4,0.0909,0.6,0.001338,0.0015127,6.07e-05,5,28,1,1,1161,776,13463,7029,1398,155,142,3719,13463,7482,16872,16953
Arc'teryx Moray Jacket - Women's,Arc'teryx,Outerwear & Coats,699.0,343.91,2097.0,1065.28,9,3,0,3,3,2097.0,1065.28,0.508,0.0,0.5,0.3333,0.5,0.0007768,0.0007613,4.96e-05,41,36,15,20,3355,2358,13463,526,10869,11,22,11720,13463,3269,2619,19501
Men's Classic Sheepskin B-3 Bomber Jacket,Overland Sheepskin Co,Outerwear & Coats,595.0,270.73,2380.0,1297.1,13,4,0,2,7,1190.0,648.55,0.545,0.0,0.3636,0.1538,0.6364,0.0008816,0.000927,7.17e-05,60,55,12,11,423,776,13463,2100,623,95,94,8121,13463,9638,12634,16487
Michael Kors Men's Marlow Wool-Blend Single-Breasted Fitted Top Coat,Michael Kors,Outerwear & Coats,255.0,102.26,2295.0,1374.7,15,9,1,2,3,765.0,458.23,0.599,0.1,0.6923,0.1333,0.25,0.0008502,0.0009825,8.27e-05,469,728,13,8,187,5,3978,2100,10869,252,208,2612,13461,1184,14317,26348
Joseph Abboud Men's Two-button Side Vent Sport Coat,Joseph Abboud,Suits & Sport Coats,264.0,101.9,2904.0,1759.82,30,11,2,2,15,1056.0,656.57,0.606,0.1538,0.3929,0.0667,0.5769,0.0010758,0.0012577,0.0001655,430,734,6,5,7,3,844,2100,11,112,91,2144,13388,9081,17408,18610
Barbour Sapper Jacket,Barbour,Outerwear & Coats,429.0,210.21,2145.0,1093.95,10,5,1,1,3,858.0,437.58,0.51,0.1667,0.5556,0.1,0.375,0.0007946,0.0007818,5.52e-05,94,81,14,18,1962,251,3978,7029,10869,185,233,11510,13196,3151,16366,24717
Diesel Men's Lagnum Leather Jacket,Diesel,Outerwear & Coats,598.0,267.9,2392.0,1320.38,7,4,1,1,1,1196.0,660.19,0.552,0.2,0.6667,0.1429,0.2,0.0008861,0.0009437,3.86e-05,57,56,9,10,8625,776,3978,7029,23197,92,89,7373,12637,1185,12706,26859
The North Face Women's S-XL Oso Jacket,The North Face,Outerwear & Coats,903.0,378.36,3612.0,2098.57,10,4,1,1,4,1806.0,1049.29,0.581,0.2,0.4444,0.1,0.5,0.001338,0.0014998,5.52e-05,5,25,1,2,1962,776,3978,7029,6105,22,24,4209,12637,6492,16366,19501
Bergama Natural Raccoon Hooded Stroller - - Multicolor,Bergama,Outerwear & Coats,749.99,306.75,2999.96,1772.98,10,4,1,0,5,749.99,443.24,0.591,0.2,0.4,0.0,0.5556,0.0011113,0.0012671,5.52e-05,40,43,4,3,1962,776,3978,17458,3026,267,224,3279,12637,7482,17458,19270
Diesel Men's Jimeneo Jacket,Diesel,Suits & Sport Coats,698.0,304.33,2094.0,1181.02,13,3,1,1,8,1396.0,787.34,0.564,0.25,0.25,0.0769,0.7273,0.0007757,0.0008441,7.17e-05,43,46,16,16,423,2358,3978,7029,295,65,54,6066,11344,14408,17286,11980
