product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Marc Ecko Cut & Sew Men's Pinstripe and Plaid Pieced Vest,Marc Ecko Cut & Sew,Suits & Sport Coats,47.43,17.83,0.0,0.0,10,0,0,3,7,142.29,88.79,,,0.0,0.3,1.0,0.0,0.0,5.52e-05,12005,15475,22532,22532,1962,22532,13463,526,623,5528,4189,22532,25326,22532,4443,1
Dexter's Wings - Dexter T-shirt,Dexter,Tops & Tees,19.95,11.11,0.0,0.0,5,0,1,1,3,39.9,17.68,,1.0,0.0,0.2,1.0,0.0,0.0,2.76e-05,23040,21439,22532,22532,16887,22532,3978,7029,10869,16370,17124,22532,1,22532,8435,1
RSQ Miami Womens Jeggings,RSQ,Pants & Capris,39.99,22.07,0.0,0.0,4,0,1,1,2,79.98,35.83,,1.0,0.0,0.25,1.0,0.0,0.0,2.21e-05,13925,12599,22532,22532,21053,22532,3978,7029,17069,10039,11208,22532,1,22532,5542,1
Medela Sleep Bra Nude Large,Medela,Maternity,15.99,6.88,0.0,0.0,7,0,3,1,3,63.96,36.46,,1.0,0.0,0.1429,1.0,0.0,0.0,3.86e-05,24393,25240,22532,22532,8625,22532,151,7029,10869,12226,11055,22532,1,22532,12706,1
Diesel Women's Louvboot Slim Flare Jean,Diesel,Jeans,198.0,97.61,0.0,0.0,4,0,0,2,2,396.0,200.77,,,0.0,0.5,1.0,0.0,0.0,2.21e-05,875,836,22532,22532,21053,22532,13463,2100,17069,1005,1124,22532,25326,22532,477,1
SockGuy Men's Wooligan Socks,SockGuy,Socks,12.95,7.33,0.0,0.0,4,0,0,2,2,25.9,11.24,,,0.0,0.5,1.0,0.0,0.0,2.21e-05,25924,24844,22532,22532,21053,22532,13463,2100,17069,19080,19933,22532,25326,22532,477,1
Allegra K Mens Casual Vertical Stripes Pattern Decor NEW Stylish Short Trousers Deep Beige W31,Allegra K,Shorts,15.95,7.99,0.0,0.0,6,0,1,0,5,15.95,7.96,,1.0,0.0,0.0,1.0,0.0,0.0,3.31e-05,24488,24197,22532,22532,12532,22532,3978,17458,3026,21250,21221,22532,1,22532,17458,1
Southpole Men's Angled Cross With Shadowed Background Print Fashion T-Shirt,Southpole,Tops & Tees,25.0,13.52,0.0,0.0,6,0,0,1,5,25.0,11.48,,,0.0,0.1667,1.0,0.0,0.0,3.31e-05,19651,19040,22532,22532,12532,22532,13463,7029,3026,19164,19837,22532,25326,22532,10731,1
Brushed-Back Satin Pajamas - Women's Sizes,Carol Wright Gifts,Sleep & Lounge,24.99,15.07,0.0,0.0,3,0,1,0,2,24.99,9.92,,1.0,0.0,0.0,1.0,0.0,0.0,1.65e-05,20698,17708,22532,22532,24645,22532,3978,17458,17069,19500,20477,22532,1,22532,17458,1
Tommy Hilfiger Men's Tommy Tartan Boxer,Tommy Hilfiger,Underwear,18.0,8.69,0.0,0.0,5,0,1,1,3,36.0,18.61,,1.0,0.0,0.2,1.0,0.0,0.0,2.76e-05,23512,23579,22532,22532,16887,22532,3978,7029,10869,16903,16747,22532,1,22532,8435,1
One Pair MarcolianiMen's Italian Cashmere and Silk Over-the-Calf Fancy Argyle Socks,Marcoliani Milano,Socks,89.5,49.58,0.0,0.0,2,0,1,0,1,89.5,39.92,,1.0,0.0,0.0,1.0,0.0,0.0,1.1e-05,4936,3880,22532,22532,26863,22532,3978,17458,23197,9283,10290,22532,1,22532,17458,1
Allegra K Ladies Dotted Double V Neck Banded Dress Pink White M,Allegra K,Dresses,10.15,4.83,0.0,0.0,5,0,0,0,5,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,2.76e-05,26937,27097,22532,22532,16887,22532,13463,17458,3026,22642,22642,22532,25326,22532,17458,1
7 For All Mankind Women's Relaxed Mid Roll Up Short Authentic Nakita,7 For All Mankind,Shorts,178.0,82.95,0.0,0.0,6,0,2,1,3,534.0,285.16,,1.0,0.0,0.1667,1.0,0.0,0.0,3.31e-05,1246,1403,22532,22532,12532,22532,844,7029,10869,570,582,22532,1,22532,10731,1
Fox Men's Essex Short,Fox,Shorts,42.5,19.51,0.0,0.0,3,0,0,1,2,42.5,22.99,,,0.0,0.3333,1.0,0.0,0.0,1.65e-05,13301,14268,22532,22532,24645,22532,13463,7029,17069,15731,15034,22532,25326,22532,2619,1
Motherhood Maternity: Plus Size Secret Fit Belly(r) Boot Cut Maternity Jeans,Motherhood Maternity,Maternity,34.98,15.74,0.0,0.0,3,0,0,0,3,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.65e-05,16197,17160,22532,22532,24645,22532,13463,17458,10869,22642,22642,22532,25326,22532,17458,1
