product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Ulla Popken Plus Size Sequined Swing Jacket,Ulla Popken,Blazers & Jackets,169.0,62.7,0.0,0.0,1,0,0,1,0,169.0,106.3,,,,1.0,,0.0,0.0,5.5e-06,1446,2577,22532,22532,27983,22532,13463,7029,27145,4331,3178,22532,25326,28303,1,28172
Carhartt Women's Wylie Flannel Hoodie,Carhartt,Fashion Hoodies & Sweatshirts,59.95,27.76,59.95,32.19,1,1,0,0,0,0.0,0.0,0.5369,0.0,1.0,0.0,0.0,2.22e-05,2.3e-05,5.5e-06,8808,9607,12711,12060,27983,13264,13463,17458,27145,22642,22642,8960,13463,1,17458,27145
Lucky Brand Mens 361 Vintage Straight Leg Jean,Lucky Brand,Jeans,61.99,35.27,61.99,26.72,1,1,0,0,0,0.0,0.0,0.431,0.0,1.0,0.0,0.0,2.3e-05,1.91e-05,5.5e-06,8368,6768,12308,13690,27983,13264,13463,17458,27145,22642,22642,18935,13463,1,17458,27145
Solid Series Silk Scarves,Wolfmark,Accessories,18.0,7.56,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,23512,24629,22532,22532,27983,22532,13463,17458,23197,22642,22642,22532,25326,22532,17458,1
Bottoms Out - Mens Microfleece Lounge Pant Burgundy 23439,Bottoms Out,Sleep & Lounge,13.75,5.71,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,25545,26326,22532,22532,27983,22532,13463,17458,23197,22642,22642,22532,25326,22532,17458,1
Acid Wash Jean Dark Leggings,Yelete,Leggings,15.99,9.35,0.0,0.0,1,0,1,0,0,15.99,6.64,,1.0,0.0,0.0,,0.0,0.0,5.5e-06,24393,23040,22532,22532,27983,22532,3978,17458,27145,21199,21673,22532,1,22532,17458,28172
Corset-story WT-066 waist training corset,Corset-story,Intimates,100.0,54.1,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,3867,3383,22532,22532,27983,22532,13463,17458,23197,22642,22642,22532,25326,22532,17458,1
prAna Women's Diva Vest,prAna,Active,119.0,51.53,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,3169,3649,22532,22532,27983,22532,13463,17458,23197,22642,22642,22532,25326,22532,17458,1
adidas Women's Pursuit Pant,adidas,Active,50.0,18.65,0.0,0.0,1,0,0,1,0,50.0,31.35,,,,1.0,,0.0,0.0,5.5e-06,10696,14839,22532,22532,27983,22532,13463,7029,27145,14018,12300,22532,25326,28303,1,28172
Volcom Juniors Frochickie 2 1/2 Inch Plain Front Short,Volcom,Shorts,39.5,21.17,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,14466,13153,22532,22532,27983,22532,13463,17458,23197,22642,22642,22532,25326,22532,17458,1
Nautica Mens 3 Pack Performance Casual Crew Track Socks,Nautica,Socks,14.4,8.12,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,25223,24070,22532,22532,27983,22532,13463,17458,23197,22642,22642,22532,25326,22532,17458,1
TAUPE PALAZZO PANT SPLIT SKIRT GAUCHO - FITS (ONE SIZE) - L XL 1X 2X - U652S - LOTUSTRADERS,LOTUSTRADERS,Pants & Capris,42.99,21.92,42.99,21.07,1,1,0,0,0,0.0,0.0,0.4901,0.0,1.0,0.0,0.0,1.59e-05,1.51e-05,5.5e-06,13180,12697,15536,15631,27983,13264,13463,17458,27145,22642,22642,13507,13463,1,17458,27145
Arena Men's Satamis Race Xtra Life Lycra Solid Brief Swimsuit,Arena,Swim,24.95,15.17,0.0,0.0,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,5.5e-06,21005,17618,22532,22532,27983,22532,13463,17458,23197,22642,22642,22532,25326,22532,17458,1
Le Suit Safari Nights Jacket Dress,Le Suit,Suits,141.62,83.84,0.0,0.0,1,0,0,1,0,141.62,57.78,,,,1.0,,0.0,0.0,5.5e-06,2207,1356,22532,22532,27983,22532,13463,7029,27145,5534,7190,22532,25326,28303,1,28172
Trina Turk Women's Pasha Pant,Trina Turk,Pants & Capris,288.0,162.72,288.0,125.28,1,1,0,0,0,0.0,0.0,0.435,0.0,1.0,0.0,0.0,0.0001067,8.95e-05,5.5e-06,338,178,1925,2574,27983,13264,13463,17458,27145,22642,22642,18613,13463,1,17458,27145
