product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
State O Maine Big and Tall Fashion Flannel Pajama,KNOTHE CORP.,Sleep & Lounge,36.88,15.59,331.92,192.51,21,9,5,1,6,221.28,127.31,0.58,0.3571,0.45,0.0476,0.4,0.000123,0.0001376,0.0001158,15350,17283,1492,1214,50,5,5,7029,1398,2854,2454,4293,8749,6490,17453,23875
Chaps Big and Tall Solid V-Neck Vest,Chaps,Sweaters,39.88,20.32,279.16,134.91,28,7,4,1,16,199.4,99.06,0.4833,0.3636,0.2593,0.0357,0.6957,0.0001034,9.64e-05,0.0001545,14437,13747,2029,2288,9,33,30,7029,7,3354,3543,14237,8748,14407,17457,12964
TapouT Men's Lock Up Hoodie,TapouT,Fashion Hoodies & Sweatshirts,36.61,20.6,229.12,103.62,23,7,0,1,15,39.6,16.16,0.4523,0.0,0.3182,0.0435,0.6818,8.49e-05,7.41e-05,0.0001269,15388,13556,2822,3414,41,33,13463,7029,11,16416,17785,17057,13463,13008,17454,12986
Fred Perry Men's Crew Neck Sweater,Fred Perry,Sweaters,104.69,54.65,815.72,392.52,24,8,1,1,14,214.74,106.77,0.4812,0.1111,0.3478,0.0417,0.6364,0.0003022,0.0002805,0.0001324,3741,3335,188,264,30,16,3978,7029,22,3010,3162,14461,13456,9743,17456,16487
KAMALIKULTURE Women's Long Sleeve Side Draped Dress,KAMALIKULTURE,Dresses,83.65,40.23,467.96,240.96,23,6,2,1,14,233.98,119.93,0.5149,0.25,0.2727,0.0435,0.7,0.0001734,0.0001722,0.0001269,5490,5477,768,793,41,84,844,7029,22,2696,2677,11003,11344,14284,17454,12849
Nike Classic Fleece Hooded Top,Nike,Active,40.62,16.88,161.76,98.38,21,4,2,2,13,162.86,91.16,0.6082,0.3333,0.2105,0.0952,0.7647,5.99e-05,7.03e-05,0.0001158,13704,16183,4588,3666,50,776,844,2100,31,4548,4039,1985,8752,17508,16870,9484
UltraClub Adult Sherpa-Lined Full-Zip Fleece with Hood,UltraClub,Fashion Hoodies & Sweatshirts,51.47,28.47,360.9,161.23,26,7,2,2,15,203.71,91.12,0.4467,0.2222,0.2917,0.0769,0.6818,0.0001337,0.0001152,0.0001434,10603,9302,1222,1705,17,33,844,2100,11,3228,4041,17630,12628,13236,17286,12986
Joseph Abboud Men's Two-button Side Vent Sport Coat,Joseph Abboud,Suits & Sport Coats,264.0,101.9,2904.0,1759.82,30,11,2,2,15,1056.0,656.57,0.606,0.1538,0.3929,0.0667,0.5769,0.0010758,0.0012577,0.0001655,430,734,6,5,7,3,844,2100,11,112,91,2144,13388,9081,17408,18610
State O Maine Big and Tall Solid Microfleece Lounge Pant,KNOTHE CORP.,Sleep & Lounge,26.99,10.37,161.94,101.75,24,6,2,2,14,107.96,69.2,0.6283,0.25,0.2727,0.0833,0.7,6e-05,7.27e-05,0.0001324,19125,22140,4586,3491,30,84,844,2100,22,7621,5851,878,11344,14284,17144,12849
Lucky Brand Mens Men's 361 Vintage Straight Denim Jean,Lucky Brand,Jeans,99.0,52.65,594.0,275.91,25,6,3,2,14,495.0,228.59,0.4645,0.3333,0.2609,0.08,0.7,0.00022,0.0001972,0.0001379,4113,3525,427,608,21,84,151,2100,22,674,896,15993,8752,14406,17285,12849
Joe's Jeans Men's Slim Fit Straight Leg Brixton,Joe's Jeans,Jeans,194.26,102.07,1353.0,647.44,27,7,3,2,15,976.0,458.49,0.4785,0.3,0.28,0.0741,0.6818,0.0005012,0.0004627,0.0001489,992,729,58,76,12,33,151,2100,11,133,207,14773,11276,14282,17370,12986
Rusty Men's Goombah Too Boardshort,Rusty,Swim,54.5,32.55,272.5,108.89,21,5,3,2,11,272.5,107.04,0.3996,0.375,0.2632,0.0952,0.6875,0.0001009,7.78e-05,0.0001158,10044,7672,2094,3171,50,251,151,2100,43,2048,3147,20957,8725,14405,16870,12983
Van Heusen Men's Tall Wrinkle Free Poplin Long Sleeve Shirt,Van Heusen,Tops & Tees,36.73,20.07,225.42,102.03,22,6,3,2,11,192.47,86.91,0.4526,0.3333,0.3,0.0909,0.6471,8.35e-05,7.29e-05,0.0001214,15384,13898,2852,3476,43,84,151,2100,43,3601,4316,17055,8752,13033,16872,16473
Diesel Men's Blade Underpant,Diesel,Underwear,22.14,9.75,122.0,66.53,22,6,0,2,14,43.0,23.83,0.5453,0.0,0.3,0.0909,0.7,4.52e-05,4.75e-05,0.0001214,21886,22702,6504,6114,43,84,13463,2100,22,15676,14732,8115,13463,13033,16872,12849
Dockers Men's Suit Separate Coat,Dockers,Suits & Sport Coats,88.36,33.97,231.12,140.98,27,3,4,2,18,542.11,337.6,0.61,0.5714,0.12,0.0741,0.8571,8.56e-05,0.0001008,0.0001489,5094,7229,2783,2122,12,2358,30,2100,4,542,391,1873,4252,22129,17370,6057
