product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
State O Maine Big and Tall Fashion Flannel Pajama,KNOTHE CORP.,Sleep & Lounge,36.88,15.59,331.92,192.51,21,9,5,1,6,221.28,127.31,0.58,0.3571,0.45,0.0476,0.4,0.000123,0.0001376,0.0001158,15350,17283,1492,1214,50,5,5,7029,1398,2854,2454,4293,8749,6490,17453,23875
Levi's Women's Demi Curve Slim Fit Jean,Levi's,Jeans,44.99,25.36,359.92,158.59,22,8,5,3,6,359.92,157.29,0.4406,0.3846,0.4211,0.1364,0.4286,0.0001333,0.0001133,0.0001214,12553,10773,1272,1757,43,16,5,526,1398,1228,1730,18170,8724,7452,14315,23541
7 For All Mankind Women's Roxanne Slim Fit Jean,7 For All Mankind,Jeans,173.19,90.65,863.98,407.88,21,5,4,5,7,1495.96,719.25,0.4721,0.4444,0.3125,0.2381,0.5833,0.0003201,0.0002915,0.0001158,1348,1093,169,237,50,251,30,24,623,48,67,15325,8264,13009,7773,18592
Original Penguin Men's Volley Swim Short,Original Penguin,Swim,69.0,42.12,483.0,190.09,21,7,3,3,8,414.0,160.42,0.3936,0.3,0.3889,0.1429,0.5333,0.0001789,0.0001359,0.0001158,7231,5048,713,1236,50,33,151,526,295,914,1664,21241,11276,9083,12706,19494
Wrangler Men's Original Cowboy Cut Relaxed Fit Jean,Wrangler,Jeans,42.99,22.67,228.46,108.63,25,5,5,7,8,493.18,228.73,0.4755,0.5,0.2778,0.28,0.6154,8.46e-05,7.76e-05,0.0001379,13180,12269,2826,3184,21,251,5,2,295,687,895,15040,4275,14283,5404,16940
Volcom Juniors Pocket Blocket Long Sleeve Tee,Volcom,Tops & Tees,27.0,15.34,81.0,33.86,21,3,4,5,9,243.0,107.41,0.418,0.5714,0.1875,0.2381,0.75,3e-05,2.42e-05,0.0001158,19072,17500,9846,11622,50,2358,30,24,140,2456,3131,20016,4252,19354,7773,9487
HUGO BOSS Men's Striped Crew Sock,HUGO BOSS,Socks,13.0,8.14,104.0,40.17,24,8,3,4,9,91.0,33.33,0.3863,0.2727,0.4,0.1667,0.5294,3.85e-05,2.87e-05,0.0001324,25705,24062,7764,10157,30,16,151,126,140,8958,11794,21483,11342,7482,10731,19498
7 For All Mankind Men's The Straight Modern Jean,7 For All Mankind,Jeans,175.57,89.48,575.0,267.13,21,4,3,5,9,1447.0,714.47,0.4646,0.4286,0.25,0.2381,0.6923,0.000213,0.0001909,0.0001158,1310,1144,466,647,50,776,151,24,140,54,70,15992,8270,14408,7773,12966
JiMarti JM01 Sunglasses for Golf Fishing Cycling-Unbreakable-... Frame,JiMarti,Accessories,29.95,11.92,269.55,161.1,22,9,2,2,9,119.8,72.12,0.5977,0.1818,0.45,0.0909,0.5,9.99e-05,0.0001151,0.0001214,18166,20613,2175,1707,43,5,844,2100,140,6868,5540,2758,13193,6490,16872,19501
Lee Men's Relaxed Fit Slightly Tapered Leg Jean,Lee,Jeans,30.99,16.89,122.96,55.54,21,4,5,3,9,248.92,113.31,0.4517,0.5556,0.2222,0.1429,0.6923,4.55e-05,3.97e-05,0.0001158,17446,16178,6481,7447,50,776,5,526,140,2405,2891,17150,4274,17122,12706,12966
RSQ London Mens Skinny Jeans,RSQ,Jeans,44.99,24.2,134.97,63.21,21,3,5,3,10,359.92,163.94,0.4683,0.625,0.1667,0.1429,0.7692,5e-05,4.52e-05,0.0001158,12553,11383,5908,6477,50,2358,5,526,77,1228,1608,15636,4099,19436,12706,9471
HUGO BOSS Men's Bright Argyle Crew Sock,HUGO BOSS,Socks,9.75,5.68,39.0,15.65,22,4,4,4,10,78.0,32.25,0.4013,0.5,0.2222,0.1818,0.7143,1.44e-05,1.12e-05,0.0001214,27342,26355,16327,17765,43,776,30,126,77,10368,12068,20837,4275,17122,10468,12035
Michael Kors Men's 3 Pack Brief,Michael Kors,Underwear,25.99,12.48,130.46,67.73,24,5,5,4,10,232.38,120.98,0.5192,0.5,0.25,0.1667,0.6667,4.83e-05,4.84e-05,0.0001324,19456,20053,6070,5979,30,251,5,126,77,2705,2646,10469,4275,14408,10731,12990
Ray-Ban Women's 4101 Jackie Ohh Sunglasses,Ray-Ban,Accessories,97.5,41.94,486.16,280.13,22,5,1,5,11,586.32,330.97,0.5762,0.1667,0.2941,0.2273,0.6875,0.0001801,0.0002002,0.0001214,4451,5084,706,587,43,251,3978,24,43,472,408,4708,13196,13232,7836,12983
Motherhood Maternity: Sports Clip Down Nursing Bra,Motherhood Maternity,Maternity,22.54,10.46,200.82,108.99,25,9,2,3,11,112.9,60.37,0.5427,0.1818,0.4091,0.12,0.55,7.44e-05,7.79e-05,0.0001379,21822,22052,3297,3165,21,5,844,526,43,7249,6811,8373,13193,7481,15549,19449
