product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
TapouT Men's Lock Up Hoodie,TapouT,Fashion Hoodies & Sweatshirts,36.61,20.6,229.12,103.62,23,7,0,1,15,39.6,16.16,0.4523,0.0,0.3182,0.0435,0.6818,8.49e-05,7.41e-05,0.0001269,15388,13556,2822,3414,41,33,13463,7029,11,16416,17785,17057,13463,13008,17454,12986
HUGO BOSS Men's Long Pant,HUGO BOSS,Sleep & Lounge,74.72,28.3,1033.11,648.16,33,14,0,3,16,233.01,138.21,0.6274,0.0,0.4667,0.0909,0.5333,0.0003827,0.0004632,0.000182,6501,9383,113,75,6,1,13463,526,7,2702,2165,933,13463,6418,16872,19494
Joe's Jeans Men's Rebel Relaxed Fit Jean,Joe's Jeans,Jeans,139.29,76.13,1296.69,583.03,26,9,0,3,14,339.69,166.11,0.4496,0.0,0.3913,0.1154,0.6087,0.0004803,0.0004167,0.0001434,2334,1721,68,102,17,5,13463,526,22,1403,1558,17357,13463,9082,15567,16952
Diesel Men's Blade Underpant,Diesel,Underwear,22.14,9.75,122.0,66.53,22,6,0,2,14,43.0,23.83,0.5453,0.0,0.3,0.0909,0.7,4.52e-05,4.75e-05,0.0001214,21886,22702,6504,6114,43,84,13463,2100,22,15676,14732,8115,13463,13033,16872,12849
Ray-Ban Women's 4101 Jackie Ohh Sunglasses,Ray-Ban,Accessories,97.5,41.94,486.16,280.13,22,5,1,5,11,586.32,330.97,0.5762,0.1667,0.2941,0.2273,0.6875,0.0001801,0.0002002,0.0001214,4451,5084,706,587,43,251,3978,24,43,472,408,4708,13196,13232,7836,12983
Wrangler Men's 20X No. 33 Relaxed Straight Leg Jean,Wrangler,Jeans,55.0,29.66,220.0,100.87,24,4,1,2,17,165.0,74.2,0.4585,0.2,0.1818,0.0833,0.8095,8.15e-05,7.21e-05,0.0001324,9673,8784,2941,3526,30,776,3978,2100,6,4449,5375,16533,12637,19358,17144,7597
Wrangler Men's Sarasota Agility Short,Wrangler,Shorts,33.03,16.36,198.95,101.37,25,6,1,3,15,138.97,68.68,0.5095,0.1429,0.2727,0.12,0.7143,7.37e-05,7.24e-05,0.0001379,16765,16618,3447,3505,21,84,3978,526,11,5758,5901,11606,13389,14284,15549,12035
True Religion Men's Ricky Straight Leg Jean,True Religion,Jeans,227.86,123.14,1452.0,661.01,28,7,1,5,15,1430.0,645.85,0.4552,0.125,0.3043,0.1786,0.6818,0.0005379,0.0004724,0.0001545,646,406,45,69,9,33,3978,24,11,57,95,16801,13444,13032,10715,12986
Fred Perry Men's Crew Neck Sweater,Fred Perry,Sweaters,104.69,54.65,815.72,392.52,24,8,1,1,14,214.74,106.77,0.4812,0.1111,0.3478,0.0417,0.6364,0.0003022,0.0002805,0.0001324,3741,3335,188,264,30,16,3978,7029,22,3010,3162,14461,13456,9743,17456,16487
Volcom Men's Vorta Slim Straight Leg Fit Jean,Volcom,Jeans,73.57,41.13,574.85,249.86,27,8,1,4,14,387.8,166.89,0.4347,0.1111,0.3478,0.1481,0.6364,0.0002129,0.0001786,0.0001489,6603,5251,467,746,12,16,3978,126,22,1091,1537,18678,13456,9743,12705,16487
Puma Men's Socks,PUMA,Socks,13.0,7.78,90.0,35.98,24,7,1,5,11,78.0,31.36,0.3998,0.125,0.3684,0.2083,0.6111,3.33e-05,2.57e-05,0.0001324,25705,24414,8929,11107,30,33,3978,24,43,10368,12295,20955,13444,9637,8433,16951
Wrangler Men's Genuine Tampa Cargo Short,Wrangler,Shorts,31.37,15.61,229.94,116.44,29,7,1,5,16,179.94,90.54,0.5064,0.125,0.2917,0.1724,0.6957,8.52e-05,8.32e-05,0.00016,17403,17266,2818,2869,8,33,3978,24,7,3935,4081,11924,13444,13236,10730,12964
Bottoms Out Men's Plaid Sleep Pant,Bottoms Out,Sleep & Lounge,13.49,5.05,94.43,59.4,25,7,2,4,12,80.94,50.64,0.629,0.2222,0.3333,0.16,0.6316,3.5e-05,4.25e-05,0.0001379,25625,26913,8758,6904,21,33,844,126,37,9890,8299,839,12628,9747,12630,16546
JiMarti JM01 Sunglasses for Golf Fishing Cycling-Unbreakable-... Frame,JiMarti,Accessories,29.95,11.92,269.55,161.1,22,9,2,2,9,119.8,72.12,0.5977,0.1818,0.45,0.0909,0.5,9.99e-05,0.0001151,0.0001214,18166,20613,2175,1707,43,5,844,2100,140,6868,5540,2758,13193,6490,16872,19501
Wrangler Men's Premium Performance Cowboy Cut Jean,Wrangler,Jeans,47.45,25.88,570.83,264.22,58,12,2,7,37,417.81,189.65,0.4629,0.1429,0.2353,0.1207,0.7551,0.0002115,0.0001888,0.00032,12004,10508,470,662,1,2,844,2,1,905,1224,16149,13389,17092,15548,9486
