country,num_customers,units_sold,revenue,profit
China,22412,46162,2748111.08,1425885.25
United States,14926,30626,1824282.8,944656.58
Brasil,9618,19902,1186881.13,616746.55
South Korea,3433,7038,412219.82,213576.53
France,3137,6402,382581.48,198723.99
United Kingdom,3038,6343,376944.04,195623.13
Germany,2807,5713,348155.95,180505.4
Spain,2745,5541,334100.88,173307.63
Japan,1552,3153,188862.22,97987.7
Australia,1450,2967,177458.55,92306.6
Belgium,767,1666,96644.64,50128.32
Poland,155,301,16104.04,8341.83
Colombia,7,14,843.29,462.26
Austria,1,2,21.63,12.09
España,1,1,19.98,10.75
