distribution_center,total_units,revenue,profit,processing_pct
Memphis TN,24282,1417936.76,742425.78,20.27
Chicago IL,23835,1321943.15,692110.99,19.83
Houston TX,22829,1600413.73,853992.03,19.59
Mobile AL,18515,1242396.82,634302.9,20.18
Los Angeles CA,17274,949866.99,489442.35,19.71
Charleston SC,16636,662246.68,334984.25,19.85
Philadelphia PA,16568,1065642.92,542109.66,19.58
Port Authority of New York/New Jersey NY/NJ,16388,933800.14,483299.71,20.23
New Orleans LA,12816,786466.54,414082.5,19.47
Savannah GA,11954,799532.26,405281.54,20.25
