product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Nobis,830.0,364.74,3210.0,1698.17,28,4,2,4,18,4865.0,2693.66,0.529,0.3333,0.1667,0.1429,0.8182,0.0011891,0.0012137,0.0001545,1,1,168,169,975,1282,1096,936,811,109,98,1172,813,2308,1334,360
Bergama,749.99,306.75,2999.96,1772.98,10,4,1,0,5,749.99,443.24,0.591,0.2,0.4,0.0,0.5556,0.0011113,0.0012671,5.52e-05,2,2,186,156,1691,1282,1458,2294,1643,603,550,319,1728,437,2294,2215
Jordan,569.34,288.65,5818.48,2896.09,40,12,4,3,21,4655.25,2421.06,0.4977,0.25,0.3243,0.075,0.6364,0.0021554,0.0020698,0.0002207,5,3,91,92,759,663,744,1116,725,115,113,1567,1436,1022,2164,1709
The Harris Tweed Of Scotland,600.0,256.2,600.0,343.8,5,1,2,0,2,1200.0,687.6,0.573,0.6667,0.2,0.0,0.6667,0.0002223,0.0002457,2.76e-05,3,4,703,660,2360,2144,1096,2294,2343,435,405,517,116,2132,2294,1291
Canada Goose,577.82,249.06,12909.93,7257.7,115,22,15,21,57,22479.93,12816.81,0.5622,0.4054,0.234,0.1826,0.7215,0.0047824,0.005187,0.0006344,4,5,36,34,337,412,261,265,329,14,11,672,572,1980,814,871
Moncler,550.0,238.15,0.0,0.0,7,0,1,2,4,1650.0,935.55,,1.0,0.0,0.2857,1.0,0.0,0.0,3.86e-05,6,6,2543,2543,2030,2543,1458,1375,1842,341,318,2543,1,2543,248,1
Sandals Cay,499.99,217.0,499.99,282.99,10,1,0,1,8,499.99,282.99,0.566,0.0,0.1111,0.1,0.8889,0.0001852,0.0002022,5.52e-05,7,7,794,747,1691,2144,2057,1743,1317,787,744,606,2057,2485,1944,223
Andrew Marc,479.0,205.97,958.0,546.06,4,2,0,1,1,479.0,273.03,0.57,0.0,0.6667,0.25,0.3333,0.0003549,0.0003903,2.21e-05,8,8,511,480,2496,1775,2057,1743,2563,809,765,555,2057,45,321,2597
The North Face,440.81,197.82,25174.88,13719.13,233,61,20,36,116,21048.75,11669.08,0.545,0.2469,0.3096,0.1545,0.6554,0.0093258,0.0098049,0.0012853,9,9,11,10,153,152,182,151,153,16,16,962,1608,1153,1181,1574
Evisu,349.17,180.52,349.17,168.65,4,1,2,0,1,698.34,337.3,0.483,0.6667,0.25,0.0,0.5,0.0001293,0.0001205,2.21e-05,18,10,959,986,2496,2144,1096,2294,2563,639,662,1728,116,1726,2294,2310
Spyder,397.8,180.45,4049.8,2209.64,23,9,5,0,9,2749.95,1494.97,0.5456,0.3571,0.3913,0.0,0.5,0.0015002,0.0015792,0.0001269,11,11,124,120,1085,805,632,2294,1236,210,203,955,752,545,2294,2310
Rebecca Taylor,377.83,176.62,1495.0,787.67,23,4,1,4,14,1960.0,1045.27,0.5269,0.2,0.2105,0.1739,0.7778,0.0005538,0.0005629,0.0001269,15,12,367,362,1085,1282,1458,936,953,291,290,1204,1728,2106,898,511
Halston Heritage,378.45,172.58,4260.81,2307.75,43,12,2,6,23,3089.83,1680.27,0.5416,0.1429,0.3243,0.1395,0.6571,0.0015784,0.0016493,0.0002372,14,13,119,114,715,663,1096,727,681,181,170,1003,1948,1022,1471,1564
Magaschoni,395.0,172.26,3824.0,2101.08,38,11,3,6,18,4260.0,2511.17,0.5494,0.2143,0.3438,0.1579,0.6207,0.0014166,0.0015016,0.0002096,13,14,130,127,782,707,888,727,811,122,109,891,1701,773,1135,1857
Overland Sheepskin Co,371.2,169.6,3925.0,2159.72,40,11,4,6,19,3696.0,1989.97,0.5502,0.2667,0.3235,0.15,0.6333,0.001454,0.0015435,0.0002207,16,15,126,123,759,707,744,727,777,138,139,876,1364,1029,1245,1749
