product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
O'Neill,49.54,26.78,12231.28,5601.92,1000,246,99,186,469,14381.28,6653.61,0.458,0.287,0.3022,0.186,0.6559,0.004531,0.0040036,0.0055165,1102,935,39,47,23,25,26,18,24,33,37,2033,1217,1218,797,1572
Motherhood Maternity,30.41,13.46,7912.62,4410.77,1110,273,111,192,534,9477.12,5279.86,0.5574,0.2891,0.2974,0.173,0.6617,0.0029312,0.0031523,0.0061233,1673,1806,70,65,19,19,18,14,21,58,53,743,1211,1287,906,1537
Fox,52.92,27.56,11484.98,5467.43,876,217,88,148,423,12247.57,5918.66,0.4761,0.2885,0.2981,0.1689,0.6609,0.0042545,0.0039075,0.0048325,983,911,43,49,28,30,31,24,31,42,45,1812,1213,1283,941,1543
True Religion,196.17,101.7,43598.78,21127.8,879,225,84,146,424,43136.54,20619.76,0.4846,0.2718,0.307,0.1661,0.6533,0.0161508,0.0150998,0.004849,91,64,4,4,27,28,33,25,29,4,5,1705,1347,1186,1064,1592
Columbia,69.37,31.72,26587.28,14439.48,1529,374,135,252,768,26842.48,14585.03,0.5431,0.2652,0.2929,0.1648,0.6725,0.009849,0.0103197,0.0084347,687,737,8,6,11,11,13,9,11,8,7,987,1379,1340,1067,1270
7 For All Mankind,155.67,81.33,39429.55,18708.21,1086,254,108,179,545,44113.73,21179.32,0.4745,0.2983,0.28,0.1648,0.6821,0.0146063,0.0133705,0.0059909,156,123,5,5,20,24,19,19,20,3,4,1826,1168,1503,1067,1192
Dickies,40.19,19.51,11280.31,5811.09,1139,276,118,187,558,11942.83,6160.0,0.5152,0.2995,0.2899,0.1642,0.6691,0.0041787,0.0041531,0.0062833,1331,1360,44,42,17,18,17,17,18,45,42,1355,1163,1362,1073,1284
Fruit of the Loom,17.8,8.71,3598.46,1822.47,858,204,93,137,424,4113.8,2115.63,0.5065,0.3131,0.2829,0.1597,0.6752,0.001333,0.0013025,0.0047332,2284,2262,145,152,30,33,29,28,29,127,132,1465,1078,1482,1116,1249
American Apparel,37.49,18.04,10780.0,5628.61,1204,290,120,191,603,11807.99,6094.43,0.5221,0.2927,0.2863,0.1586,0.6753,0.0039934,0.0040227,0.0066419,1437,1442,47,46,15,16,16,15,15,46,43,1265,1194,1389,1126,1247
Quiksilver,57.01,30.91,27609.19,12579.68,1873,471,202,297,903,26410.17,12067.7,0.4556,0.3001,0.2989,0.1586,0.6572,0.0102276,0.0089905,0.0103324,903,764,7,14,6,6,5,4,7,10,14,2066,1129,1275,1126,1563
FineBrandShop,21.28,9.66,5198.85,2814.5,990,255,106,156,473,5944.2,3265.8,0.5414,0.2936,0.3058,0.1576,0.6497,0.0019259,0.0020115,0.0054613,2119,2178,101,97,24,23,20,23,23,87,81,1007,1191,1191,1148,1622
Tommy Hilfiger,71.62,32.46,26074.49,14100.38,1615,404,162,254,795,29731.26,16179.42,0.5408,0.2862,0.2968,0.1573,0.6631,0.0096591,0.0100774,0.0089092,649,706,9,7,8,8,10,8,9,6,6,1021,1218,1294,1152,1525
Dockers,41.44,19.27,14602.39,7836.27,1499,358,164,234,743,16357.14,8732.29,0.5366,0.3142,0.283,0.1561,0.6748,0.0054093,0.0056005,0.0082692,1312,1369,31,29,12,13,9,10,12,25,25,1079,1077,1480,1167,1254
Allegra K,14.35,6.76,20908.12,11061.0,6057,1467,610,943,3037,22396.3,11874.9,0.529,0.2937,0.2869,0.1557,0.6743,0.0077452,0.0079052,0.0334135,2442,2434,16,16,1,1,1,1,1,15,15,1172,1190,1384,1170,1255
Volcom,58.67,29.91,28804.39,14059.0,1893,482,182,294,935,26458.99,12887.05,0.4881,0.2741,0.3014,0.1553,0.6598,0.0106703,0.0100478,0.0104428,877,805,6,8,5,4,7,5,5,9,10,1663,1320,1223,1174,1547
