product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
DC,50.44,25.74,13881.94,6768.3,950,266,100,140,444,12138.03,5895.25,0.4876,0.2732,0.3284,0.1474,0.6254,0.0051424,0.0048372,0.0052407,1052,989,32,37,25,21,24,26,26,44,46,1673,1321,1007,1293,1787
SmartWool,52.45,25.25,14631.58,7604.44,1026,282,100,140,504,12160.44,6170.81,0.5197,0.2618,0.3183,0.1365,0.6412,0.0054201,0.0054348,0.0056599,993,1015,30,33,22,17,24,26,22,43,41,1284,1404,1069,1507,1685
Carhartt,68.41,32.02,44947.96,23945.23,2509,663,251,366,1229,41134.22,22022.28,0.5327,0.2746,0.3094,0.1459,0.6496,0.0166506,0.0171134,0.0138409,703,724,3,3,3,3,3,3,3,5,3,1132,1317,1155,1311,1623
True Religion,196.17,101.7,43598.78,21127.8,879,225,84,146,424,43136.54,20619.76,0.4846,0.2718,0.307,0.1661,0.6533,0.0161508,0.0150998,0.004849,91,64,4,4,27,28,33,25,29,4,5,1705,1347,1186,1064,1592
FineBrandShop,21.28,9.66,5198.85,2814.5,990,255,106,156,473,5944.2,3265.8,0.5414,0.2936,0.3058,0.1576,0.6497,0.0019259,0.0020115,0.0054613,2119,2178,101,97,24,23,20,23,23,87,81,1007,1191,1191,1148,1622
Calvin Klein,62.49,29.31,53041.76,28267.04,3180,820,322,471,1567,48698.1,25795.42,0.5329,0.282,0.3027,0.1481,0.6565,0.0196488,0.0202021,0.0175425,805,836,2,1,2,2,2,2,2,2,1,1128,1282,1212,1270,1568
O'Neill,49.54,26.78,12231.28,5601.92,1000,246,99,186,469,14381.28,6653.61,0.458,0.287,0.3022,0.186,0.6559,0.004531,0.0040036,0.0055165,1102,935,39,47,23,25,26,18,24,33,37,2033,1217,1218,797,1572
Diesel,138.24,68.92,53774.81,27000.8,1466,378,143,213,732,49754.6,24735.41,0.5021,0.2745,0.3017,0.1453,0.6595,0.0199204,0.0192971,0.0080872,205,184,1,2,13,10,12,13,13,1,2,1502,1319,1221,1318,1552
Speedo,51.0,24.98,15357.4,7698.19,1176,302,135,174,565,15950.94,8214.56,0.5013,0.3089,0.3014,0.148,0.6517,0.005689,0.0055018,0.0064874,1034,1038,28,31,16,14,13,20,17,26,28,1514,1099,1223,1287,1606
Volcom,58.67,29.91,28804.39,14059.0,1893,482,182,294,935,26458.99,12887.05,0.4881,0.2741,0.3014,0.1553,0.6598,0.0106703,0.0100478,0.0104428,877,805,6,8,5,4,7,5,5,9,10,1663,1320,1223,1174,1547
Oakley,110.41,49.26,24423.2,13410.52,866,225,90,118,433,23073.48,12801.68,0.5491,0.2857,0.3008,0.1363,0.6581,0.0090474,0.0095843,0.0047773,316,355,14,13,29,28,30,33,27,12,12,896,1219,1227,1522,1556
Quiksilver,57.01,30.91,27609.19,12579.68,1873,471,202,297,903,26410.17,12067.7,0.4556,0.3001,0.2989,0.1586,0.6572,0.0102276,0.0089905,0.0103324,903,764,7,14,6,6,5,4,7,10,14,2066,1129,1275,1126,1563
Fox,52.92,27.56,11484.98,5467.43,876,217,88,148,423,12247.57,5918.66,0.4761,0.2885,0.2981,0.1689,0.6609,0.0042545,0.0039075,0.0048325,983,911,43,49,28,30,31,24,31,42,45,1812,1213,1283,941,1543
Motherhood Maternity,30.41,13.46,7912.62,4410.77,1110,273,111,192,534,9477.12,5279.86,0.5574,0.2891,0.2974,0.173,0.6617,0.0029312,0.0031523,0.0061233,1673,1806,70,65,19,19,18,14,21,58,53,743,1211,1287,906,1537
Tommy Hilfiger,71.62,32.46,26074.49,14100.38,1615,404,162,254,795,29731.26,16179.42,0.5408,0.2862,0.2968,0.1573,0.6631,0.0096591,0.0100774,0.0089092,649,706,9,7,8,8,10,8,9,6,6,1021,1218,1294,1152,1525
