product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Ray-Ban,118.89,50.08,23852.78,13833.41,798,206,78,131,383,25134.08,14434.77,0.5799,0.2746,0.3088,0.1642,0.6503,0.008836,0.0098866,0.0044022,278,346,15,9,34,32,35,30,37,11,8,437,1317,1160,1073,1612
Paul Fredrick,150.52,65.49,17954.0,10251.08,445,112,42,56,235,15161.0,8567.86,0.571,0.2727,0.2879,0.1258,0.6772,0.0066509,0.0073263,0.0024548,171,209,24,18,68,70,84,91,65,28,26,538,1322,1379,1628,1232
Jones New York,100.52,45.47,24723.78,13604.24,846,230,96,114,406,20262.41,10960.83,0.5502,0.2945,0.3142,0.1348,0.6384,0.0091587,0.0097228,0.004667,361,403,13,11,32,27,27,34,33,18,18,876,1178,1106,1532,1701
Oakley,110.41,49.26,24423.2,13410.52,866,225,90,118,433,23073.48,12801.68,0.5491,0.2857,0.3008,0.1363,0.6581,0.0090474,0.0095843,0.0047773,316,355,14,13,29,28,30,33,27,12,12,896,1219,1227,1522,1556
Mountain Hardwear,170.78,76.25,19859.63,10859.12,425,116,34,64,211,16634.22,9313.3,0.5468,0.2267,0.3213,0.1506,0.6453,0.0073568,0.0077609,0.0023445,131,154,17,17,77,66,106,76,72,24,22,934,1666,1047,1241,1651
Arc'teryx,323.7,146.18,18141.7,9908.14,271,56,22,41,152,22880.85,12500.89,0.5462,0.2821,0.2435,0.1513,0.7308,0.0067204,0.0070812,0.001495,22,20,22,19,132,169,161,132,118,13,13,943,1281,1928,1234,808
The North Face,440.81,197.82,25174.88,13719.13,233,61,20,36,116,21048.75,11669.08,0.545,0.2469,0.3096,0.1545,0.6554,0.0093258,0.0098049,0.0012853,9,9,11,10,153,152,182,151,153,16,16,962,1608,1153,1181,1574
Columbia,69.37,31.72,26587.28,14439.48,1529,374,135,252,768,26842.48,14585.03,0.5431,0.2652,0.2929,0.1648,0.6725,0.009849,0.0103197,0.0084347,687,737,8,6,11,11,13,9,11,8,7,987,1379,1340,1067,1270
Tommy Hilfiger,71.62,32.46,26074.49,14100.38,1615,404,162,254,795,29731.26,16179.42,0.5408,0.2862,0.2968,0.1573,0.6631,0.0096591,0.0100774,0.0089092,649,706,9,7,8,8,10,8,9,6,6,1021,1218,1294,1152,1525
Kenneth Cole,84.27,39.03,15734.23,8442.44,775,189,79,111,396,15627.95,8304.84,0.5366,0.2948,0.2846,0.1432,0.6769,0.0058286,0.0060337,0.0042753,499,528,27,26,36,36,34,35,35,27,27,1079,1177,1464,1333,1235
Orvis,128.92,60.07,25260.0,13494.35,721,186,65,102,368,21012.0,11275.59,0.5342,0.259,0.3005,0.1415,0.6643,0.0093573,0.0096442,0.0039774,239,245,10,12,39,39,47,44,38,17,17,1110,1416,1228,1453,1519
Calvin Klein,62.49,29.31,53041.76,28267.04,3180,820,322,471,1567,48698.1,25795.42,0.5329,0.282,0.3027,0.1481,0.6565,0.0196488,0.0202021,0.0175425,805,836,2,1,2,2,2,2,2,2,1,1128,1282,1212,1270,1568
Carhartt,68.41,32.02,44947.96,23945.23,2509,663,251,366,1229,41134.22,22022.28,0.5327,0.2746,0.3094,0.1459,0.6496,0.0166506,0.0171134,0.0138409,703,724,3,3,3,3,3,3,3,5,3,1132,1317,1155,1311,1623
Ralph Lauren,86.37,40.49,16195.65,8604.78,760,188,67,107,398,15089.08,8150.14,0.5313,0.2627,0.2879,0.1408,0.6792,0.0059995,0.0061497,0.0041925,487,491,26,24,37,37,44,38,34,29,29,1150,1396,1379,1459,1221
Allegra K,14.35,6.76,20908.12,11061.0,6057,1467,610,943,3037,22396.3,11874.9,0.529,0.2937,0.2869,0.1557,0.6743,0.0077452,0.0079052,0.0334135,2442,2434,16,16,1,1,1,1,1,15,15,1172,1190,1384,1170,1255
