product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Calvin Klein,62.49,29.31,53041.76,28267.04,3180,820,322,471,1567,48698.1,25795.42,0.5329,0.282,0.3027,0.1481,0.6565,0.0196488,0.0202021,0.0175425,805,836,2,1,2,2,2,2,2,2,1,1128,1282,1212,1270,1568
Diesel,138.24,68.92,53774.81,27000.8,1466,378,143,213,732,49754.6,24735.41,0.5021,0.2745,0.3017,0.1453,0.6595,0.0199204,0.0192971,0.0080872,205,184,1,2,13,10,12,13,13,1,2,1502,1319,1221,1318,1552
Carhartt,68.41,32.02,44947.96,23945.23,2509,663,251,366,1229,41134.22,22022.28,0.5327,0.2746,0.3094,0.1459,0.6496,0.0166506,0.0171134,0.0138409,703,724,3,3,3,3,3,3,3,5,3,1132,1317,1155,1311,1623
True Religion,196.17,101.7,43598.78,21127.8,879,225,84,146,424,43136.54,20619.76,0.4846,0.2718,0.307,0.1661,0.6533,0.0161508,0.0150998,0.004849,91,64,4,4,27,28,33,25,29,4,5,1705,1347,1186,1064,1592
7 For All Mankind,155.67,81.33,39429.55,18708.21,1086,254,108,179,545,44113.73,21179.32,0.4745,0.2983,0.28,0.1648,0.6821,0.0146063,0.0133705,0.0059909,156,123,5,5,20,24,19,19,20,3,4,1826,1168,1503,1067,1192
Columbia,69.37,31.72,26587.28,14439.48,1529,374,135,252,768,26842.48,14585.03,0.5431,0.2652,0.2929,0.1648,0.6725,0.009849,0.0103197,0.0084347,687,737,8,6,11,11,13,9,11,8,7,987,1379,1340,1067,1270
Tommy Hilfiger,71.62,32.46,26074.49,14100.38,1615,404,162,254,795,29731.26,16179.42,0.5408,0.2862,0.2968,0.1573,0.6631,0.0096591,0.0100774,0.0089092,649,706,9,7,8,8,10,8,9,6,6,1021,1218,1294,1152,1525
Volcom,58.67,29.91,28804.39,14059.0,1893,482,182,294,935,26458.99,12887.05,0.4881,0.2741,0.3014,0.1553,0.6598,0.0106703,0.0100478,0.0104428,877,805,6,8,5,4,7,5,5,9,10,1663,1320,1223,1174,1547
Ray-Ban,118.89,50.08,23852.78,13833.41,798,206,78,131,383,25134.08,14434.77,0.5799,0.2746,0.3088,0.1642,0.6503,0.008836,0.0098866,0.0044022,278,346,15,9,34,32,35,30,37,11,8,437,1317,1160,1073,1612
The North Face,440.81,197.82,25174.88,13719.13,233,61,20,36,116,21048.75,11669.08,0.545,0.2469,0.3096,0.1545,0.6554,0.0093258,0.0098049,0.0012853,9,9,11,10,153,152,182,151,153,16,16,962,1608,1153,1181,1574
Jones New York,100.52,45.47,24723.78,13604.24,846,230,96,114,406,20262.41,10960.83,0.5502,0.2945,0.3142,0.1348,0.6384,0.0091587,0.0097228,0.004667,361,403,13,11,32,27,27,34,33,18,18,876,1178,1106,1532,1701
Orvis,128.92,60.07,25260.0,13494.35,721,186,65,102,368,21012.0,11275.59,0.5342,0.259,0.3005,0.1415,0.6643,0.0093573,0.0096442,0.0039774,239,245,10,12,39,39,47,44,38,17,17,1110,1416,1228,1453,1519
Oakley,110.41,49.26,24423.2,13410.52,866,225,90,118,433,23073.48,12801.68,0.5491,0.2857,0.3008,0.1363,0.6581,0.0090474,0.0095843,0.0047773,316,355,14,13,29,28,30,33,27,12,12,896,1219,1227,1522,1556
Quiksilver,57.01,30.91,27609.19,12579.68,1873,471,202,297,903,26410.17,12067.7,0.4556,0.3001,0.2989,0.1586,0.6572,0.0102276,0.0089905,0.0103324,903,764,7,14,6,6,5,4,7,10,14,2066,1129,1275,1126,1563
Joe's Jeans,152.81,80.23,25134.81,11891.96,697,169,76,99,353,27326.02,13164.83,0.4731,0.3102,0.2826,0.142,0.6762,0.009311,0.008499,0.003845,163,133,12,15,41,42,38,47,41,7,9,1850,1094,1486,1448,1239
