product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Hanes,20.0,9.63,9350.02,4878.18,1966,473,225,275,993,10001.01,5127.51,0.5217,0.3223,0.2797,0.1399,0.6774,0.0034636,0.0034864,0.0108455,2145,2182,59,58,4,5,4,6,4,54,56,1270,1053,1511,1469,1230
Dockers,41.44,19.27,14602.39,7836.27,1499,358,164,234,743,16357.14,8732.29,0.5366,0.3142,0.283,0.1561,0.6748,0.0054093,0.0056005,0.0082692,1312,1369,31,29,12,13,9,10,12,25,25,1079,1077,1480,1167,1254
Fruit of the Loom,17.8,8.71,3598.46,1822.47,858,204,93,137,424,4113.8,2115.63,0.5065,0.3131,0.2829,0.1597,0.6752,0.001333,0.0013025,0.0047332,2284,2262,145,152,30,33,29,28,29,127,132,1465,1078,1482,1116,1249
Levi's,49.38,25.11,18282.06,8881.53,1555,380,170,226,779,19255.96,9460.87,0.4858,0.3091,0.2859,0.1453,0.6721,0.0067724,0.0063475,0.0085782,1107,1028,20,23,9,9,8,11,10,20,21,1691,1097,1390,1318,1273
Speedo,51.0,24.98,15357.4,7698.19,1176,302,135,174,565,15950.94,8214.56,0.5013,0.3089,0.3014,0.148,0.6517,0.005689,0.0055018,0.0064874,1034,1038,28,31,16,14,13,20,17,26,28,1514,1099,1223,1287,1606
HUGO BOSS,41.95,18.49,9749.08,5443.79,928,235,102,130,461,10857.69,6091.93,0.5584,0.3027,0.2945,0.1401,0.6624,0.0036115,0.0038906,0.0051193,1300,1413,54,53,26,26,22,31,25,48,44,723,1124,1313,1468,1530
Quiksilver,57.01,30.91,27609.19,12579.68,1873,471,202,297,903,26410.17,12067.7,0.4556,0.3001,0.2989,0.1586,0.6572,0.0102276,0.0089905,0.0103324,903,764,7,14,6,6,5,4,7,10,14,2066,1129,1275,1126,1563
Dickies,40.19,19.51,11280.31,5811.09,1139,276,118,187,558,11942.83,6160.0,0.5152,0.2995,0.2899,0.1642,0.6691,0.0041787,0.0041531,0.0062833,1331,1360,44,42,17,18,17,17,18,45,42,1355,1163,1362,1073,1284
Wrangler,42.55,22.53,12679.57,5981.86,1287,301,128,191,667,13499.91,6413.97,0.4718,0.2984,0.2746,0.1484,0.689,0.004697,0.0042752,0.0070997,1285,1187,37,41,14,15,15,15,14,35,39,1871,1167,1548,1267,1132
7 For All Mankind,155.67,81.33,39429.55,18708.21,1086,254,108,179,545,44113.73,21179.32,0.4745,0.2983,0.28,0.1648,0.6821,0.0146063,0.0133705,0.0059909,156,123,5,5,20,24,19,19,20,3,4,1826,1168,1503,1067,1192
Allegra K,14.35,6.76,20908.12,11061.0,6057,1467,610,943,3037,22396.3,11874.9,0.529,0.2937,0.2869,0.1557,0.6743,0.0077452,0.0079052,0.0334135,2442,2434,16,16,1,1,1,1,1,15,15,1172,1190,1384,1170,1255
FineBrandShop,21.28,9.66,5198.85,2814.5,990,255,106,156,473,5944.2,3265.8,0.5414,0.2936,0.3058,0.1576,0.6497,0.0019259,0.0020115,0.0054613,2119,2178,101,97,24,23,20,23,23,87,81,1007,1191,1191,1148,1622
American Apparel,37.49,18.04,10780.0,5628.61,1204,290,120,191,603,11807.99,6094.43,0.5221,0.2927,0.2863,0.1586,0.6753,0.0039934,0.0040227,0.0066419,1437,1442,47,46,15,16,16,15,15,46,43,1265,1194,1389,1126,1247
Hurley,50.65,26.84,18145.13,8556.32,1546,361,149,223,813,19565.08,9135.89,0.4715,0.2922,0.2729,0.1442,0.6925,0.0067217,0.0061151,0.0085285,1044,932,21,25,10,12,11,12,8,19,23,1875,1197,1555,1327,1091
Nautica,41.7,20.24,18412.72,9492.15,1827,451,185,266,925,18833.69,9728.4,0.5155,0.2909,0.2889,0.1456,0.6722,0.0068208,0.0067839,0.0100787,1306,1314,19,20,7,7,6,7,6,22,19,1351,1204,1371,1315,1272
