product_brand,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Allegra K,14.35,6.76,20908.12,11061.0,6057,1467,610,943,3037,22396.3,11874.9,0.529,0.2937,0.2869,0.1557,0.6743,0.0077452,0.0079052,0.0334135,2442,2434,16,16,1,1,1,1,1,15,15,1172,1190,1384,1170,1255
Calvin Klein,62.49,29.31,53041.76,28267.04,3180,820,322,471,1567,48698.1,25795.42,0.5329,0.282,0.3027,0.1481,0.6565,0.0196488,0.0202021,0.0175425,805,836,2,1,2,2,2,2,2,2,1,1128,1282,1212,1270,1568
Carhartt,68.41,32.02,44947.96,23945.23,2509,663,251,366,1229,41134.22,22022.28,0.5327,0.2746,0.3094,0.1459,0.6496,0.0166506,0.0171134,0.0138409,703,724,3,3,3,3,3,3,3,5,3,1132,1317,1155,1311,1623
Quiksilver,57.01,30.91,27609.19,12579.68,1873,471,202,297,903,26410.17,12067.7,0.4556,0.3001,0.2989,0.1586,0.6572,0.0102276,0.0089905,0.0103324,903,764,7,14,6,6,5,4,7,10,14,2066,1129,1275,1126,1563
Volcom,58.67,29.91,28804.39,14059.0,1893,482,182,294,935,26458.99,12887.05,0.4881,0.2741,0.3014,0.1553,0.6598,0.0106703,0.0100478,0.0104428,877,805,6,8,5,4,7,5,5,9,10,1663,1320,1223,1174,1547
Hanes,20.0,9.63,9350.02,4878.18,1966,473,225,275,993,10001.01,5127.51,0.5217,0.3223,0.2797,0.1399,0.6774,0.0034636,0.0034864,0.0108455,2145,2182,59,58,4,5,4,6,4,54,56,1270,1053,1511,1469,1230
Nautica,41.7,20.24,18412.72,9492.15,1827,451,185,266,925,18833.69,9728.4,0.5155,0.2909,0.2889,0.1456,0.6722,0.0068208,0.0067839,0.0100787,1306,1314,19,20,7,7,6,7,6,22,19,1351,1204,1371,1315,1272
Tommy Hilfiger,71.62,32.46,26074.49,14100.38,1615,404,162,254,795,29731.26,16179.42,0.5408,0.2862,0.2968,0.1573,0.6631,0.0096591,0.0100774,0.0089092,649,706,9,7,8,8,10,8,9,6,6,1021,1218,1294,1152,1525
Columbia,69.37,31.72,26587.28,14439.48,1529,374,135,252,768,26842.48,14585.03,0.5431,0.2652,0.2929,0.1648,0.6725,0.009849,0.0103197,0.0084347,687,737,8,6,11,11,13,9,11,8,7,987,1379,1340,1067,1270
Dockers,41.44,19.27,14602.39,7836.27,1499,358,164,234,743,16357.14,8732.29,0.5366,0.3142,0.283,0.1561,0.6748,0.0054093,0.0056005,0.0082692,1312,1369,31,29,12,13,9,10,12,25,25,1079,1077,1480,1167,1254
Levi's,49.38,25.11,18282.06,8881.53,1555,380,170,226,779,19255.96,9460.87,0.4858,0.3091,0.2859,0.1453,0.6721,0.0067724,0.0063475,0.0085782,1107,1028,20,23,9,9,8,11,10,20,21,1691,1097,1390,1318,1273
Hurley,50.65,26.84,18145.13,8556.32,1546,361,149,223,813,19565.08,9135.89,0.4715,0.2922,0.2729,0.1442,0.6925,0.0067217,0.0061151,0.0085285,1044,932,21,25,10,12,11,12,8,19,23,1875,1197,1555,1327,1091
Diesel,138.24,68.92,53774.81,27000.8,1466,378,143,213,732,49754.6,24735.41,0.5021,0.2745,0.3017,0.1453,0.6595,0.0199204,0.0192971,0.0080872,205,184,1,2,13,10,12,13,13,1,2,1502,1319,1221,1318,1552
Motherhood Maternity,30.41,13.46,7912.62,4410.77,1110,273,111,192,534,9477.12,5279.86,0.5574,0.2891,0.2974,0.173,0.6617,0.0029312,0.0031523,0.0061233,1673,1806,70,65,19,19,18,14,21,58,53,743,1211,1287,906,1537
Wrangler,42.55,22.53,12679.57,5981.86,1287,301,128,191,667,13499.91,6413.97,0.4718,0.2984,0.2746,0.1484,0.689,0.004697,0.0042752,0.0070997,1285,1187,37,41,14,15,15,15,14,35,39,1871,1167,1548,1267,1132
