product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Outerwear & Coats,146.29,65.02,339222.29,188050.56,9028,2308,862,1318,4540,322743.18,179542.92,0.5544,0.2719,0.2994,0.146,0.663,0.1260408,0.1348735,0.0498171,1,2,1,1,10,10,11,11,10,1,1,8,26,4,23,19
Jeans,97.76,52.34,308764.08,143520.48,12655,3169,1303,1955,6228,319052.52,148299.49,0.4648,0.2914,0.2962,0.1545,0.6628,0.1147238,0.1029357,0.0698311,4,4,2,2,2,2,2,2,2,2,2,21,9,9,3,20
Sweaters,75.46,36.32,213600.63,110714.83,11078,2792,1081,1688,5517,208115.59,107697.32,0.5183,0.2791,0.2973,0.1524,0.664,0.0793651,0.0794068,0.0611291,8,7,3,3,7,6,8,6,8,3,3,12,22,6,8,18
Suits & Sport Coats,124.74,50.03,153543.45,92034.55,5176,1255,486,790,2645,160577.15,96066.37,0.5994,0.2791,0.2861,0.1526,0.6782,0.0570503,0.066009,0.0285615,2,5,6,4,16,16,17,16,16,4,4,2,22,23,5,2
Fashion Hoodies & Sweatshirts,54.02,28.09,155933.0,74918.07,11737,2951,1191,1714,5881,159794.53,76980.63,0.4805,0.2875,0.2944,0.146,0.6659,0.0579382,0.0537327,0.0647655,12,11,5,6,4,4,4,4,4,5,6,17,14,12,23,14
Swim,57.2,28.98,156523.7,76716.71,11246,2772,1143,1660,5671,159217.24,78510.83,0.4901,0.292,0.2892,0.1476,0.6717,0.0581577,0.0550227,0.0620561,10,10,4,5,5,7,5,7,5,6,5,16,7,17,22,10
Shorts,47.29,23.69,136510.82,68155.43,11176,2819,1130,1690,5537,134644.7,67078.36,0.4993,0.2861,0.2972,0.1512,0.6626,0.0507217,0.0488824,0.0616699,17,14,7,9,6,5,6,5,7,7,8,14,15,7,10,21
Sleep & Lounge,48.79,23.64,132101.2,68241.52,11071,2737,1128,1645,5561,134573.41,68950.32,0.5166,0.2918,0.2904,0.1486,0.6702,0.0490833,0.0489441,0.0610905,16,15,8,8,8,8,7,8,6,8,7,13,8,15,15,12
Tops & Tees,40.97,22.93,121151.89,53364.7,12000,2960,1292,1783,5965,123378.82,54313.77,0.4405,0.3039,0.2897,0.1486,0.6683,0.045015,0.0382742,0.0662168,20,16,9,14,3,3,3,3,3,9,13,22,2,16,15,13
Active,50.94,21.35,117645.45,68332.26,8932,2180,938,1362,4452,113272.89,66015.46,0.5808,0.3008,0.288,0.1525,0.6713,0.0437121,0.0490092,0.0492873,15,18,11,7,11,11,10,10,11,10,9,6,4,21,7,11
Dresses,84.24,37.9,112895.24,62082.56,5358,1316,549,792,2701,113022.02,62283.44,0.5499,0.2944,0.2882,0.1478,0.6724,0.0419471,0.0445268,0.0295658,7,6,12,10,15,15,15,15,15,11,10,9,6,20,21,9
Intimates,33.75,17.96,118381.2,55321.28,13423,3393,1329,2044,6657,112421.97,52618.74,0.4673,0.2814,0.2982,0.1523,0.6624,0.0439855,0.0396775,0.074069,22,21,10,13,1,1,1,1,1,12,14,20,19,5,9,23
Pants,59.65,27.35,106719.7,57634.8,7239,1823,713,1076,3627,106167.82,57611.26,0.5401,0.2812,0.2958,0.1486,0.6655,0.0396526,0.0413368,0.0399453,9,12,13,12,13,13,13,13,13,13,12,10,21,10,15,16
Accessories,42.05,16.85,99096.96,59262.83,9813,2384,967,1497,4965,103385.5,62000.28,0.598,0.2886,0.2867,0.1526,0.6756,0.0368203,0.0425044,0.0541488,19,22,14,11,9,9,9,9,9,14,11,5,12,22,5,5
Blazers & Jackets,90.68,34.35,65986.31,40954.92,3194,745,334,506,1609,76039.51,47305.1,0.6207,0.3095,0.2772,0.1584,0.6835,0.0245178,0.0293737,0.0176247,5,8,15,15,22,22,22,20,21,15,15,1,1,26,1,1
