product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Blazers & Jackets,90.68,34.35,65986.31,40954.92,3194,745,334,506,1609,76039.51,47305.1,0.6207,0.3095,0.2772,0.1584,0.6835,0.0245178,0.0293737,0.0176247,5,8,15,15,22,22,22,20,21,15,15,1,1,26,1,1
Suits & Sport Coats,124.74,50.03,153543.45,92034.55,5176,1255,486,790,2645,160577.15,96066.37,0.5994,0.2791,0.2861,0.1526,0.6782,0.0570503,0.066009,0.0285615,2,5,6,4,16,16,17,16,16,4,4,2,22,23,5,2
Socks & Hosiery,16.81,6.75,15695.27,9398.63,3821,929,372,566,1954,15784.16,9453.9,0.5988,0.2859,0.2854,0.1481,0.6778,0.0058317,0.0067409,0.0210845,26,26,24,23,19,19,19,19,19,24,23,3,16,24,20,3
Skirts,52.13,20.8,26843.42,16061.8,2087,539,208,314,1026,27751.21,16709.53,0.5984,0.2784,0.304,0.1505,0.6556,0.0099739,0.0115198,0.0115162,13,19,22,20,23,23,23,23,23,22,20,4,24,2,11,25
Accessories,42.05,16.85,99096.96,59262.83,9813,2384,967,1497,4965,103385.5,62000.28,0.598,0.2886,0.2867,0.1526,0.6756,0.0368203,0.0425044,0.0541488,19,22,14,11,9,9,9,9,9,14,11,5,12,22,5,5
Active,50.94,21.35,117645.45,68332.26,8932,2180,938,1362,4452,113272.89,66015.46,0.5808,0.3008,0.288,0.1525,0.6713,0.0437121,0.0490092,0.0492873,15,18,11,7,11,11,10,10,11,10,9,6,4,21,7,11
Maternity,51.5,22.73,63613.6,35563.76,5086,1232,531,741,2582,61413.18,34274.78,0.5591,0.3012,0.2835,0.1457,0.677,0.0236362,0.025507,0.0280649,14,17,16,16,17,17,16,17,17,16,16,7,3,25,25,4
Outerwear & Coats,146.29,65.02,339222.29,188050.56,9028,2308,862,1318,4540,322743.18,179542.92,0.5544,0.2719,0.2994,0.146,0.663,0.1260408,0.1348735,0.0498171,1,2,1,1,10,10,11,11,10,1,1,8,26,4,23,19
Dresses,84.24,37.9,112895.24,62082.56,5358,1316,549,792,2701,113022.02,62283.44,0.5499,0.2944,0.2882,0.1478,0.6724,0.0419471,0.0445268,0.0295658,7,6,12,10,15,15,15,15,15,11,10,9,6,20,21,9
Pants,59.65,27.35,106719.7,57634.8,7239,1823,713,1076,3627,106167.82,57611.26,0.5401,0.2812,0.2958,0.1486,0.6655,0.0396526,0.0413368,0.0399453,9,12,13,12,13,13,13,13,13,13,12,10,21,10,15,16
Underwear,27.21,12.79,50614.6,26861.36,7505,1886,738,1122,3759,51345.06,27197.18,0.5307,0.2813,0.2955,0.1495,0.6659,0.0188063,0.0192655,0.0414131,23,24,17,17,12,12,12,12,12,17,17,11,20,11,13,14
Sweaters,75.46,36.32,213600.63,110714.83,11078,2792,1081,1688,5517,208115.59,107697.32,0.5183,0.2791,0.2973,0.1524,0.664,0.0793651,0.0794068,0.0611291,8,7,3,3,7,6,8,6,8,3,3,12,22,6,8,18
Sleep & Lounge,48.79,23.64,132101.2,68241.52,11071,2737,1128,1645,5561,134573.41,68950.32,0.5166,0.2918,0.2904,0.1486,0.6702,0.0490833,0.0489441,0.0610905,16,15,8,8,8,8,7,8,6,8,7,13,8,15,15,12
Shorts,47.29,23.69,136510.82,68155.43,11176,2819,1130,1690,5537,134644.7,67078.36,0.4993,0.2861,0.2972,0.1512,0.6626,0.0507217,0.0488824,0.0616699,17,14,7,9,6,5,6,5,7,7,8,14,15,7,10,21
Plus,39.47,19.84,44807.01,22316.68,4358,1070,436,646,2206,42048.64,21041.57,0.4981,0.2895,0.2883,0.1482,0.6734,0.0166484,0.016006,0.0240477,21,20,19,19,18,18,18,18,18,18,18,15,11,19,19,6
