product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Blazers & Jackets,90.68,34.35,65986.31,40954.92,3194,745,334,506,1609,76039.51,47305.1,0.6207,0.3095,0.2772,0.1584,0.6835,0.0245178,0.0293737,0.0176247,5,8,15,15,22,22,22,20,21,15,15,1,1,26,1,1
Tops & Tees,40.97,22.93,121151.89,53364.7,12000,2960,1292,1783,5965,123378.82,54313.77,0.4405,0.3039,0.2897,0.1486,0.6683,0.045015,0.0382742,0.0662168,20,16,9,14,3,3,3,3,3,9,13,22,2,16,15,13
Maternity,51.5,22.73,63613.6,35563.76,5086,1232,531,741,2582,61413.18,34274.78,0.5591,0.3012,0.2835,0.1457,0.677,0.0236362,0.025507,0.0280649,14,17,16,16,17,17,16,17,17,16,16,7,3,25,25,4
Active,50.94,21.35,117645.45,68332.26,8932,2180,938,1362,4452,113272.89,66015.46,0.5808,0.3008,0.288,0.1525,0.6713,0.0437121,0.0490092,0.0492873,15,18,11,7,11,11,10,10,11,10,9,6,4,21,7,11
Leggings,26.79,16.07,22032.86,8796.32,3246,804,345,500,1597,22344.1,8926.78,0.3992,0.3003,0.2928,0.154,0.6651,0.0081865,0.0063089,0.0179116,24,23,23,24,21,21,21,21,22,23,24,23,5,13,4,17
Dresses,84.24,37.9,112895.24,62082.56,5358,1316,549,792,2701,113022.02,62283.44,0.5499,0.2944,0.2882,0.1478,0.6724,0.0419471,0.0445268,0.0295658,7,6,12,10,15,15,15,15,15,11,10,9,6,20,21,9
Swim,57.2,28.98,156523.7,76716.71,11246,2772,1143,1660,5671,159217.24,78510.83,0.4901,0.292,0.2892,0.1476,0.6717,0.0581577,0.0550227,0.0620561,10,10,4,5,5,7,5,7,5,6,5,16,7,17,22,10
Sleep & Lounge,48.79,23.64,132101.2,68241.52,11071,2737,1128,1645,5561,134573.41,68950.32,0.5166,0.2918,0.2904,0.1486,0.6702,0.0490833,0.0489441,0.0610905,16,15,8,8,8,8,7,8,6,8,7,13,8,15,15,12
Jeans,97.76,52.34,308764.08,143520.48,12655,3169,1303,1955,6228,319052.52,148299.49,0.4648,0.2914,0.2962,0.1545,0.6628,0.1147238,0.1029357,0.0698311,4,4,2,2,2,2,2,2,2,2,2,21,9,9,3,20
Socks,21.13,12.76,31572.07,12517.44,6329,1557,636,939,3197,32927.59,13032.11,0.3965,0.29,0.2889,0.1484,0.6725,0.0117309,0.0089777,0.0349238,25,25,21,22,14,14,14,14,14,20,21,24,10,18,18,8
Plus,39.47,19.84,44807.01,22316.68,4358,1070,436,646,2206,42048.64,21041.57,0.4981,0.2895,0.2883,0.1482,0.6734,0.0166484,0.016006,0.0240477,21,20,19,19,18,18,18,18,18,18,18,15,11,19,19,6
Accessories,42.05,16.85,99096.96,59262.83,9813,2384,967,1497,4965,103385.5,62000.28,0.598,0.2886,0.2867,0.1526,0.6756,0.0368203,0.0425044,0.0541488,19,22,14,11,9,9,9,9,9,14,11,5,12,22,5,5
Pants & Capris,55.37,29.2,49331.52,23421.93,3392,864,350,481,1697,41999.86,19777.56,0.4748,0.2883,0.2968,0.1418,0.6626,0.0183295,0.0167987,0.0187173,11,9,18,18,20,20,20,22,20,19,19,18,13,8,26,21
Fashion Hoodies & Sweatshirts,54.02,28.09,155933.0,74918.07,11737,2951,1191,1714,5881,159794.53,76980.63,0.4805,0.2875,0.2944,0.146,0.6659,0.0579382,0.0537327,0.0647655,12,11,5,6,4,4,4,4,4,5,6,17,14,12,23,14
Shorts,47.29,23.69,136510.82,68155.43,11176,2819,1130,1690,5537,134644.7,67078.36,0.4993,0.2861,0.2972,0.1512,0.6626,0.0507217,0.0488824,0.0616699,17,14,7,9,6,5,6,5,7,7,8,14,15,7,10,21
