customer_id,generated_revenue,generated_profit,num_items_ordered,num_orders,num_returned_items,num_completed_items,num_cancelled_items,num_completed_orders,first_order,last_order,avg_order_value,avg_order_size,return_rate,lifetime_days,revenue_rank,profit_rank,num_items_ordered_rank,num_orders_rank,num_returned_items_rank,num_completed_items_rank,num_cancelled_items_rank,num_completed_orders_rank,first_order_rank,last_order_rank,avg_order_value_rank,avg_order_size_rank,return_rate_rank,lifetime_days_rank
41791,1487.0,884.96,3,1,0,3,0,1,2022-09-28 04:15:35.000000 UTC,2022-09-28 04:15:35.000000 UTC,1487.0,3.0,0.0,0,1,1,15410,30074,12023,2050,17392,3350,62938,70428,1,2670,12023,29774
6721,1303.55,708.33,6,3,0,5,0,2,2025-06-17 16:41:11.000000 UTC,2026-02-18 00:34:38.000000 UTC,651.77,2.0,0.0,246,4,2,2025,5093,12023,144,17392,299,23890,8652,100,8103,12023,18441
9608,1348.98,703.94,9,4,0,4,4,2,2022-06-02 13:50:09.000000 UTC,2025-04-28 20:40:37.000000 UTC,674.49,2.25,0.0,1061,2,3,148,1,12023,435,164,299,65844,37422,96,7921,12023,4750
58672,1327.33,688.92,6,2,0,4,0,1,2021-12-10 12:12:04.000000 UTC,2025-09-11 22:33:43.000000 UTC,1327.33,3.0,0.0,1371,3,4,2025,10016,12023,435,17392,3350,69626,27098,2,2670,12023,2338
41139,1170.01,645.44,4,1,0,4,0,1,2025-08-23 10:04:29.000000 UTC,2025-08-23 10:04:29.000000 UTC,1170.01,4.0,0.0,0,5,5,8057,30074,12023,435,17392,3350,19645,28833,3,1,12023,29774
31261,1079.88,634.52,4,1,0,4,0,1,2025-11-10 19:44:29.000000 UTC,2025-11-10 19:44:29.000000 UTC,1079.88,4.0,0.0,0,11,6,8057,30074,12023,435,17392,3350,14129,21355,8,1,12023,29774
90530,1039.66,618.49,7,4,0,4,1,1,2025-01-12 02:14:23.000000 UTC,2025-11-14 14:49:28.000000 UTC,1039.66,1.75,0.0,306,15,7,887,1,12023,435,6078,3350,32497,20944,11,21174,12023,16753
96233,1142.38,614.03,7,3,0,4,0,1,2025-09-02 02:54:09.000000 UTC,2025-10-28 15:36:32.000000 UTC,1142.38,2.33,0.0,56,6,8,887,5093,12023,435,17392,3350,19003,22776,4,7675,12023,25645
99402,1095.49,605.27,4,2,0,3,0,1,2024-06-22 08:20:14.000000 UTC,2025-07-10 07:07:30.000000 UTC,1095.49,2.0,0.0,383,9,9,8057,10016,12023,2050,17392,3350,41884,32315,6,8103,12023,14818
84673,1025.41,599.53,4,1,0,4,0,1,2025-08-04 04:24:13.000000 UTC,2025-08-04 04:24:13.000000 UTC,1025.41,4.0,0.0,0,21,10,8057,30074,12023,435,17392,3350,20891,30370,16,1,12023,29774
3450,999.0,594.4,1,1,0,1,0,1,2026-03-15 16:39:41.000000 UTC,2026-03-15 16:39:41.000000 UTC,999.0,1.0,0.0,0,26,11,44959,30074,12023,10609,17392,3350,2807,3594,21,32299,12023,29774
95653,999.0,594.4,5,4,0,1,0,1,2026-03-06 10:36:13.000000 UTC,2026-03-19 12:12:08.000000 UTC,999.0,1.25,0.0,13,26,11,4060,1,12023,10609,17392,3350,3948,1914,21,30873,12023,28153
83506,981.99,577.49,3,1,0,3,0,1,2026-03-10 22:20:15.000000 UTC,2026-03-10 22:20:15.000000 UTC,981.99,3.0,0.0,0,33,13,15410,30074,12023,2050,17392,3350,3422,4690,27,2670,12023,29774
89840,1103.0,576.93,4,2,0,3,0,1,2024-12-07 22:57:33.000000 UTC,2026-02-12 19:45:20.000000 UTC,1103.0,2.0,0.0,432,8,14,8057,10016,12023,2050,17392,3350,34223,9545,5,8103,12023,13731
31643,1001.52,572.46,4,1,0,4,0,1,2025-10-07 02:30:03.000000 UTC,2025-10-07 02:30:03.000000 UTC,1001.52,4.0,0.0,0,25,15,8057,30074,12023,435,17392,3350,16629,24783,20,1,12023,29774
