customer_id,generated_revenue,generated_profit,num_items_ordered,num_orders,num_returned_items,num_completed_items,num_cancelled_items,num_completed_orders,first_order,last_order,avg_order_value,avg_order_size,return_rate,lifetime_days,revenue_rank,profit_rank,num_items_ordered_rank,num_orders_rank,num_returned_items_rank,num_completed_items_rank,num_cancelled_items_rank,num_completed_orders_rank,first_order_rank,last_order_rank,avg_order_value_rank,avg_order_size_rank,return_rate_rank,lifetime_days_rank
41791,1487.0,884.96,3,1,0,3,0,1,2022-09-28 04:15:35.000000 UTC,2022-09-28 04:15:35.000000 UTC,1487.0,3.0,0.0,0,1,1,15410,30074,12023,2050,17392,3350,62938,70428,1,2670,12023,29774
9608,1348.98,703.94,9,4,0,4,4,2,2022-06-02 13:50:09.000000 UTC,2025-04-28 20:40:37.000000 UTC,674.49,2.25,0.0,1061,2,3,148,1,12023,435,164,299,65844,37422,96,7921,12023,4750
58672,1327.33,688.92,6,2,0,4,0,1,2021-12-10 12:12:04.000000 UTC,2025-09-11 22:33:43.000000 UTC,1327.33,3.0,0.0,1371,3,4,2025,10016,12023,435,17392,3350,69626,27098,2,2670,12023,2338
6721,1303.55,708.33,6,3,0,5,0,2,2025-06-17 16:41:11.000000 UTC,2026-02-18 00:34:38.000000 UTC,651.77,2.0,0.0,246,4,2,2025,5093,12023,144,17392,299,23890,8652,100,8103,12023,18441
41139,1170.01,645.44,4,1,0,4,0,1,2025-08-23 10:04:29.000000 UTC,2025-08-23 10:04:29.000000 UTC,1170.01,4.0,0.0,0,5,5,8057,30074,12023,435,17392,3350,19645,28833,3,1,12023,29774
96233,1142.38,614.03,7,3,0,4,0,1,2025-09-02 02:54:09.000000 UTC,2025-10-28 15:36:32.000000 UTC,1142.38,2.33,0.0,56,6,8,887,5093,12023,435,17392,3350,19003,22776,4,7675,12023,25645
10218,1120.4,468.69,6,3,1,5,0,2,2026-02-22 01:11:21.000000 UTC,2026-03-16 03:41:47.000000 UTC,560.2,2.0,0.1667,22,7,67,2025,5093,4008,144,17392,299,5328,3464,128,8103,11983,27583
89840,1103.0,576.93,4,2,0,3,0,1,2024-12-07 22:57:33.000000 UTC,2026-02-12 19:45:20.000000 UTC,1103.0,2.0,0.0,432,8,14,8057,10016,12023,2050,17392,3350,34223,9545,5,8103,12023,13731
99402,1095.49,605.27,4,2,0,3,0,1,2024-06-22 08:20:14.000000 UTC,2025-07-10 07:07:30.000000 UTC,1095.49,2.0,0.0,383,9,9,8057,10016,12023,2050,17392,3350,41884,32315,6,8103,12023,14818
72421,1090.96,566.27,5,2,0,4,1,1,2023-09-13 12:47:43.000000 UTC,2025-10-01 00:04:09.000000 UTC,1090.96,2.5,0.0,749,10,16,4060,10016,12023,435,6078,3350,52560,25388,7,5779,12023,8282
31261,1079.88,634.52,4,1,0,4,0,1,2025-11-10 19:44:29.000000 UTC,2025-11-10 19:44:29.000000 UTC,1079.88,4.0,0.0,0,11,6,8057,30074,12023,435,17392,3350,14129,21355,8,1,12023,29774
92743,1072.99,563.61,2,1,0,2,0,1,2019-05-26 14:46:36.000000 UTC,2019-05-26 14:46:36.000000 UTC,1072.99,2.0,0.0,0,12,17,25303,30074,12023,4241,17392,3350,79749,79862,9,8103,12023,29774
58269,1061.94,515.49,5,3,0,4,1,2,2023-10-25 12:15:17.000000 UTC,2025-10-24 12:12:28.000000 UTC,530.97,1.67,0.0,730,13,42,4060,5093,12023,435,6078,299,51108,23151,143,21954,12023,8531
31221,1046.99,467.51,5,2,0,4,0,1,2023-09-22 16:05:02.000000 UTC,2024-09-30 17:07:31.000000 UTC,1046.99,2.5,0.0,374,14,68,4060,10016,12023,435,17392,3350,52246,49093,10,5779,12023,15040
90530,1039.66,618.49,7,4,0,4,1,1,2025-01-12 02:14:23.000000 UTC,2025-11-14 14:49:28.000000 UTC,1039.66,1.75,0.0,306,15,7,887,1,12023,435,6078,3350,32497,20944,11,21174,12023,16753
