customer_id,generated_revenue,generated_profit,num_items_ordered,num_orders,num_returned_items,num_completed_items,num_cancelled_items,num_completed_orders,first_order,last_order,avg_order_value,avg_order_size,return_rate,lifetime_days,revenue_rank,profit_rank,num_items_ordered_rank,num_orders_rank,num_returned_items_rank,num_completed_items_rank,num_cancelled_items_rank,num_completed_orders_rank,first_order_rank,last_order_rank,avg_order_value_rank,avg_order_size_rank,return_rate_rank,lifetime_days_rank
21593,21.75,11.01,6,4,1,1,3,1,2019-02-09 09:42:27.000000 UTC,2025-12-31 05:35:38.000000 UTC,21.75,1.5,0.5,2517,23873,23588,2025,1,4008,10609,1133,3350,79950,15640,23719,22716,10028,1
2629,7.0,4.14,2,2,0,1,1,1,2019-03-29 20:39:47.000000 UTC,2026-02-08 04:40:28.000000 UTC,7.0,1.0,0.0,2508,27297,27115,25303,10016,12023,10609,6078,3350,79881,10316,27297,32299,12023,2
56521,59.5,27.25,2,2,0,1,0,1,2019-05-09 07:19:27.000000 UTC,2026-03-17 14:13:55.000000 UTC,59.5,1.0,0.0,2504,14449,15408,25303,10016,12023,10609,17392,3350,79788,2974,13387,32299,12023,3
85000,12.0,4.38,2,2,0,1,0,1,2019-03-31 14:19:41.000000 UTC,2026-02-01 14:48:34.000000 UTC,12.0,1.0,0.0,2499,26255,27038,25303,10016,12023,10609,17392,3350,79877,11253,26238,32299,12023,4
13335,141.68,77.89,5,4,0,2,1,1,2019-04-22 16:08:39.000000 UTC,2026-02-19 18:18:55.000000 UTC,141.68,1.25,0.0,2495,5933,5418,4060,1,12023,4241,6078,3350,79838,8366,4718,30873,12023,5
40414,18.96,8.93,2,2,0,1,0,1,2019-04-28 01:01:56.000000 UTC,2026-02-23 07:48:50.000000 UTC,18.96,1.0,0.0,2493,24568,24785,25303,10016,12023,10609,17392,3350,79817,7756,24470,32299,12023,6
10484,0.0,0.0,5,4,1,0,1,0,2019-04-17 06:55:59.000000 UTC,2026-02-07 23:25:44.000000 UTC,,1.25,1.0,2488,27532,27532,4060,1,4008,27532,6078,27532,79846,10346,27532,30873,1,7
5544,257.5,122.04,5,4,0,2,1,1,2019-04-30 06:07:29.000000 UTC,2026-02-20 08:31:48.000000 UTC,257.5,1.25,0.0,2488,1832,2330,4060,1,12023,4241,6078,3350,79811,8261,1273,30873,12023,7
85692,243.9,103.99,6,4,0,3,0,2,2019-05-20 18:07:33.000000 UTC,2026-03-11 06:42:46.000000 UTC,121.95,1.5,0.0,2487,2105,3263,2025,1,12023,2050,17392,299,79774,4610,5997,22716,12023,9
76311,0.0,0.0,7,4,0,0,2,0,2019-05-30 16:34:10.000000 UTC,2026-03-19 17:50:58.000000 UTC,,1.75,,2485,27532,27532,887,1,12023,27532,2345,27532,79734,1713,27532,21174,36927,10
9842,50.0,29.0,7,4,0,1,4,1,2019-05-28 14:07:40.000000 UTC,2026-03-12 17:50:30.000000 UTC,50.0,1.75,0.0,2480,16021,14730,887,1,12023,10609,164,3350,79741,4287,15152,21174,12023,11
1380,0.0,0.0,5,3,1,0,4,0,2019-06-13 06:04:10.000000 UTC,2026-03-17 23:02:23.000000 UTC,,1.67,1.0,2469,27532,27532,4060,5093,4008,27532,164,27532,79699,2816,27532,21954,1,12
23520,0.0,0.0,8,4,2,0,5,0,2019-03-14 17:25:45.000000 UTC,2025-12-15 19:07:17.000000 UTC,,2.0,1.0,2468,27532,27532,364,1,1439,27532,47,27532,79916,17464,27532,8103,1,13
98794,0.0,0.0,6,4,0,0,2,0,2019-07-02 17:21:36.000000 UTC,2026-03-19 04:33:52.000000 UTC,,1.5,,2452,27532,27532,2025,1,12023,27532,2345,27532,79639,2156,27532,22716,36927,14
7650,0.0,0.0,2,2,0,0,1,0,2019-03-21 00:28:49.000000 UTC,2025-11-27 19:11:31.000000 UTC,,1.0,,2443,27532,27532,25303,10016,12023,27532,6078,27532,79903,19528,27532,32299,36927,15
