customer_id,generated_revenue,generated_profit,num_items_ordered,num_orders,num_returned_items,num_completed_items,num_cancelled_items,num_completed_orders,first_order,last_order,avg_order_value,avg_order_size,return_rate,lifetime_days,revenue_rank,profit_rank,num_items_ordered_rank,num_orders_rank,num_returned_items_rank,num_completed_items_rank,num_cancelled_items_rank,num_completed_orders_rank,first_order_rank,last_order_rank,avg_order_value_rank,avg_order_size_rank,return_rate_rank,lifetime_days_rank
52450,0.0,0.0,10,4,2,0,8,0,2022-03-11 13:56:16.000000 UTC,2024-02-04 12:21:46.000000 UTC,,2.5,1.0,695,27532,27532,49,1,1439,27532,1,27532,67677,58458,27532,5779,1,9009
888,0.0,0.0,8,3,0,0,8,0,2024-06-16 06:47:35.000000 UTC,2026-03-07 11:36:20.000000 UTC,,2.67,,629,27532,27532,364,5093,12023,27532,1,27532,42169,5387,27532,5697,36927,10055
66118,0.0,0.0,8,2,0,0,8,0,2021-01-07 00:01:40.000000 UTC,2025-04-19 10:09:06.000000 UTC,,4.0,,1563,27532,27532,364,10016,12023,27532,1,27532,75145,38045,27532,1,36927,1430
56460,0.0,0.0,8,2,0,0,8,0,2023-12-21 22:29:09.000000 UTC,2025-10-05 22:53:44.000000 UTC,,4.0,,654,27532,27532,364,10016,12023,27532,1,27532,49020,24914,27532,1,36927,9616
88430,16.0,8.67,8,4,0,1,7,1,2025-01-31 20:12:54.000000 UTC,2026-02-09 12:48:47.000000 UTC,16.0,2.0,0.0,374,25144,24938,364,1,12023,10609,5,3350,31481,10094,25091,8103,12023,15040
76677,0.0,0.0,7,2,0,0,7,0,2019-03-21 01:21:25.000000 UTC,2020-11-24 22:01:33.000000 UTC,,3.5,,614,27532,27532,887,10016,12023,27532,5,27532,79902,77969,27532,2545,36927,10299
35419,12.95,6.29,9,4,0,1,7,1,2022-07-02 09:04:30.000000 UTC,2025-05-10 12:07:44.000000 UTC,12.95,2.25,0.0,1043,26101,26081,148,1,12023,10609,5,3350,65171,36648,26077,7921,12023,4923
50844,0.0,0.0,9,4,0,0,7,0,2022-09-13 18:27:12.000000 UTC,2025-05-23 12:09:09.000000 UTC,,2.25,,983,27532,27532,148,1,12023,27532,5,27532,63329,35759,27532,7921,36927,5453
6014,147.97,88.15,10,4,0,2,7,1,2024-09-30 18:03:34.000000 UTC,2026-03-02 09:47:36.000000 UTC,147.97,2.5,0.0,518,5625,4405,49,1,12023,4241,5,3350,37438,6389,4439,5779,12023,11983
20234,0.0,0.0,7,2,0,0,7,0,2024-11-03 06:08:40.000000 UTC,2025-09-13 09:32:50.000000 UTC,,3.5,,314,27532,27532,887,10016,12023,27532,5,27532,35827,26962,27532,2545,36927,16548
51664,0.0,0.0,8,4,1,0,7,0,2019-12-14 08:09:34.000000 UTC,2025-03-09 18:05:06.000000 UTC,,2.0,1.0,1912,27532,27532,364,1,4008,27532,5,27532,78884,40590,27532,8103,1,433
61360,0.0,0.0,8,4,0,0,7,0,2023-03-30 09:36:45.000000 UTC,2025-04-21 01:54:53.000000 UTC,,2.0,,753,27532,27532,364,1,12023,27532,5,27532,57877,37937,27532,8103,36927,8228
89403,0.0,0.0,7,4,0,0,7,0,2024-01-08 04:53:32.000000 UTC,2025-03-18 04:13:22.000000 UTC,,1.75,,435,27532,27532,887,1,12023,27532,5,27532,48359,40060,27532,21174,36927,13677
4384,0.0,0.0,7,3,0,0,6,0,2021-11-10 18:10:24.000000 UTC,2023-09-13 17:23:58.000000 UTC,,2.33,,672,27532,27532,887,5093,12023,27532,14,27532,70211,62732,27532,7675,36927,9363
89847,286.0,155.13,9,4,0,2,6,1,2022-10-25 12:13:38.000000 UTC,2026-01-14 13:40:30.000000 UTC,286.0,2.25,0.0,1177,1398,1324,148,1,12023,4241,14,3350,62260,13811,957,7921,12023,3692
