customer_id,generated_revenue,generated_profit,num_items_ordered,num_orders,num_returned_items,num_completed_items,num_cancelled_items,num_completed_orders,first_order,last_order,avg_order_value,avg_order_size,return_rate,lifetime_days,revenue_rank,profit_rank,num_items_ordered_rank,num_orders_rank,num_returned_items_rank,num_completed_items_rank,num_cancelled_items_rank,num_completed_orders_rank,first_order_rank,last_order_rank,avg_order_value_rank,avg_order_size_rank,return_rate_rank,lifetime_days_rank
50358,0.0,0.0,13,4,0,0,4,0,2020-04-06 11:47:15.000000 UTC,2024-06-20 12:43:58.000000 UTC,,3.25,,1536,27532,27532,1,1,12023,27532,164,27532,78071,53463,27532,2669,36927,1564
26807,289.42,151.0,12,4,0,8,2,2,2025-07-01 22:52:38.000000 UTC,2026-02-28 04:27:15.000000 UTC,144.71,3.0,0.0,242,1351,1411,2,1,12023,3,2345,299,23029,6821,4585,2670,12023,18572
49539,142.97,69.84,12,4,0,4,5,1,2022-12-29 08:39:56.000000 UTC,2025-12-30 08:46:59.000000 UTC,142.97,3.0,0.0,1097,5871,6315,2,1,12023,435,47,3350,60512,15764,4653,2670,12023,4394
19412,15.0,7.44,12,4,4,1,0,1,2024-01-14 18:04:56.000000 UTC,2025-12-19 17:16:33.000000 UTC,15.0,3.0,0.8,705,25366,25547,2,1,77,10609,17392,3350,48138,16998,25322,2670,9402,8870
26964,219.97,120.47,12,4,3,5,0,2,2022-12-08 23:26:00.000000 UTC,2025-03-01 03:22:51.000000 UTC,109.98,3.0,0.375,814,2665,2410,2,1,715,144,17392,299,61069,41119,6911,2670,11253,7453
30487,360.62,190.94,12,4,0,4,0,1,2025-02-04 18:25:16.000000 UTC,2025-11-24 14:33:51.000000 UTC,360.62,3.0,0.0,293,711,716,2,1,12023,435,17392,3350,31267,19903,477,2670,12023,17110
7251,61.99,33.46,12,4,2,2,0,1,2022-03-19 18:28:23.000000 UTC,2024-12-27 03:48:57.000000 UTC,61.99,3.0,0.5,1014,13977,13246,2,1,1439,4241,17392,3350,67511,44691,12889,2670,10028,5176
50553,0.0,0.0,11,4,0,0,4,0,2023-11-27 05:07:46.000000 UTC,2024-08-27 08:33:03.000000 UTC,,2.75,,274,27532,27532,8,1,12023,27532,164,27532,49889,50633,27532,5658,36927,17606
35024,155.66,67.13,11,4,0,4,4,1,2023-05-02 16:38:49.000000 UTC,2026-03-18 23:40:22.000000 UTC,155.66,2.75,0.0,1051,5158,6641,8,1,12023,435,164,3350,56901,2269,4013,5658,12023,4847
19105,249.55,136.38,11,4,0,6,0,2,2022-03-31 16:31:39.000000 UTC,2025-03-11 16:32:39.000000 UTC,124.78,2.75,0.0,1076,1994,1811,8,1,12023,41,17392,299,67257,40472,5842,5658,12023,4611
89231,69.0,39.74,11,4,4,1,2,1,2025-10-11 18:13:51.000000 UTC,2026-03-12 16:56:11.000000 UTC,69.0,2.75,0.8,152,12837,11643,8,1,77,10609,2345,3350,16298,4296,11659,5658,9402,21589
24294,0.0,0.0,11,4,4,0,3,0,2019-07-28 10:26:40.000000 UTC,2025-02-13 09:42:17.000000 UTC,,2.75,1.0,2027,27532,27532,8,1,77,27532,1133,27532,79546,42048,27532,5658,1,266
75994,365.25,187.72,11,4,0,5,4,2,2024-11-09 13:54:59.000000 UTC,2026-01-05 02:12:35.000000 UTC,182.63,2.75,0.0,422,687,753,8,1,12023,144,164,299,35549,15065,2937,5658,12023,13948
56718,167.3,84.9,11,3,4,4,0,1,2021-12-01 03:13:24.000000 UTC,2024-06-19 08:28:19.000000 UTC,167.3,3.67,0.5,931,4638,4690,8,5093,77,435,17392,3350,69815,53509,3560,2543,10028,6027
39235,0.0,0.0,11,4,0,0,4,0,2025-08-16 22:48:53.000000 UTC,2026-03-06 04:49:00.000000 UTC,,2.75,,202,27532,27532,8,1,12023,27532,164,27532,20052,5679,27532,5658,36927,19846
