customer_id,generated_revenue,generated_profit,num_items_ordered,num_orders,num_returned_items,num_completed_items,num_cancelled_items,num_completed_orders,first_order,last_order,avg_order_value,avg_order_size,return_rate,lifetime_days,revenue_rank,profit_rank,num_items_ordered_rank,num_orders_rank,num_returned_items_rank,num_completed_items_rank,num_cancelled_items_rank,num_completed_orders_rank,first_order_rank,last_order_rank,avg_order_value_rank,avg_order_size_rank,return_rate_rank,lifetime_days_rank
82006,41.57,19.76,7,4,4,2,1,2,2019-12-22 03:50:49.000000 UTC,2023-11-25 09:42:04.000000 UTC,20.79,1.75,0.6667,1434,18224,18704,887,1,77,4241,6078,299,78818,60612,23868,21174,9573,2016
5570,127.5,70.16,8,4,0,2,4,1,2020-09-24 16:25:48.000000 UTC,2025-09-29 08:49:48.000000 UTC,127.5,2.0,0.0,1831,6924,6273,364,1,12023,4241,164,3350,76388,25511,5631,8103,12023,618
81271,184.49,100.8,5,4,0,2,0,2,2020-09-29 15:33:54.000000 UTC,2024-06-11 15:18:03.000000 UTC,92.25,1.25,0.0,1351,3875,3473,4060,1,12023,4241,17392,299,76326,53853,8564,30873,12023,2453
24922,79.95,51.25,4,4,1,1,1,1,2021-11-19 18:54:38.000000 UTC,2026-03-04 07:51:19.000000 UTC,79.95,1.0,0.5,1566,11314,9090,8057,1,4008,10609,6078,3350,70031,6028,10026,32299,10028,1415
1284,29.5,14.63,4,4,0,1,0,1,2021-01-29 14:45:09.000000 UTC,2025-11-30 15:17:14.000000 UTC,29.5,1.0,0.0,1766,21440,21450,8057,1,12023,10609,17392,3350,74863,19192,21079,32299,12023,774
45906,116.63,58.69,5,4,1,2,0,1,2021-04-09 07:04:02.000000 UTC,2025-03-19 13:36:35.000000 UTC,116.63,1.25,0.3333,1440,7725,7846,4060,1,4008,4241,17392,3350,73869,39969,6426,30873,11257,1988
33893,129.7,70.76,6,4,0,3,1,1,2022-02-17 10:57:23.000000 UTC,2024-11-25 03:46:52.000000 UTC,129.7,1.5,0.0,1012,6740,6200,2025,1,12023,2050,6078,3350,68156,46375,5457,22716,12023,5193
1199,0.0,0.0,5,4,2,0,0,0,2023-02-19 09:15:41.000000 UTC,2025-12-06 06:12:55.000000 UTC,,1.25,1.0,1021,27532,27532,4060,1,1439,27532,17392,27532,59011,18552,27532,30873,1,5110
30389,0.0,0.0,4,4,1,0,1,0,2021-10-27 07:13:37.000000 UTC,2024-10-12 17:03:14.000000 UTC,,1.0,1.0,1081,27532,27532,8057,1,4008,27532,6078,27532,70474,48470,27532,32299,1,4566
24237,0.0,0.0,6,4,1,0,0,0,2020-02-04 20:12:52.000000 UTC,2024-09-19 22:46:09.000000 UTC,,1.5,1.0,1689,27532,27532,2025,1,4008,27532,17392,27532,78551,49576,27532,22716,1,988
43298,0.0,0.0,7,4,1,0,0,0,2021-10-22 16:09:02.000000 UTC,2026-01-14 12:24:02.000000 UTC,,1.75,1.0,1545,27532,27532,887,1,4008,27532,17392,27532,70578,13821,27532,21174,1,1512
95470,222.43,129.79,7,4,0,5,0,2,2022-12-12 18:47:31.000000 UTC,2025-10-19 12:15:13.000000 UTC,111.22,1.75,0.0,1042,2602,2039,887,1,12023,144,17392,299,60971,23635,6746,21174,12023,4931
18930,41.99,21.79,5,4,1,1,0,1,2019-12-27 22:41:54.000000 UTC,2025-10-23 08:27:54.000000 UTC,41.99,1.25,0.5,2127,18130,17718,4060,1,4008,10609,17392,3350,78792,23269,17443,30873,10028,162
40252,53.45,25.85,4,4,0,2,0,2,2020-01-27 14:41:04.000000 UTC,2025-08-20 18:07:50.000000 UTC,26.73,1.0,0.0,2032,15634,15962,8057,1,12023,4241,17392,299,78608,29053,21737,32299,12023,259
43911,0.0,0.0,5,4,0,0,1,0,2020-11-19 03:44:57.000000 UTC,2024-12-06 15:26:31.000000 UTC,,1.25,,1478,27532,27532,4060,1,12023,27532,6078,27532,75771,45798,27532,30873,36927,1821
