customer_id,generated_revenue,generated_profit,num_items_ordered,num_orders,num_returned_items,num_completed_items,num_cancelled_items,num_completed_orders,first_order,last_order,avg_order_value,avg_order_size,return_rate,lifetime_days,revenue_rank,profit_rank,num_items_ordered_rank,num_orders_rank,num_returned_items_rank,num_completed_items_rank,num_cancelled_items_rank,num_completed_orders_rank,first_order_rank,last_order_rank,avg_order_value_rank,avg_order_size_rank,return_rate_rank,lifetime_days_rank
60297,0.0,0.0,10,4,9,0,0,0,2025-08-28 17:11:07.000000 UTC,2026-02-12 16:17:59.000000 UTC,,2.5,1.0,168,27532,27532,49,1,1,27532,17392,27532,19285,9566,27532,5779,1,21006
46813,79.99,35.84,9,4,8,1,0,1,2022-07-24 19:23:52.000000 UTC,2025-11-07 02:23:59.000000 UTC,79.99,2.25,0.8889,1202,11217,12592,148,1,2,10609,17392,3350,64638,21752,9931,7921,9396,3508
39503,0.0,0.0,7,2,7,0,0,0,2025-08-17 14:33:03.000000 UTC,2025-11-29 10:13:11.000000 UTC,,3.5,1.0,104,27532,27532,887,10016,3,27532,17392,27532,20014,19331,27532,2545,1,23415
11354,0.0,0.0,7,2,7,0,0,0,2024-08-21 15:42:09.000000 UTC,2025-02-19 20:37:16.000000 UTC,,3.5,1.0,182,27532,27532,887,10016,3,27532,17392,27532,39264,41703,27532,2545,1,20515
59640,0.0,0.0,7,2,7,0,0,0,2025-09-07 15:46:55.000000 UTC,2025-11-24 02:27:39.000000 UTC,,3.5,1.0,78,27532,27532,887,10016,3,27532,17392,27532,18632,19949,27532,2545,1,24594
60349,0.0,0.0,7,2,7,0,0,0,2021-11-13 11:06:48.000000 UTC,2023-12-12 18:26:45.000000 UTC,,3.5,1.0,759,27532,27532,887,10016,3,27532,17392,27532,70167,60101,27532,2545,1,8144
87895,0.0,0.0,9,4,6,0,0,0,2023-06-22 14:54:45.000000 UTC,2026-02-07 09:40:03.000000 UTC,,2.25,1.0,961,27532,27532,148,1,7,27532,17392,27532,55359,10438,27532,7921,1,5677
18146,0.0,0.0,6,3,6,0,0,0,2026-02-12 09:30:34.000000 UTC,2026-03-14 14:52:21.000000 UTC,,2.0,1.0,30,27532,27532,2025,5093,7,27532,17392,27532,6345,3842,27532,8103,1,27027
27201,42.16,19.31,8,4,6,1,1,1,2021-09-25 19:13:29.000000 UTC,2026-01-30 16:52:20.000000 UTC,42.16,2.0,0.8571,1588,18016,18948,364,1,7,10609,6078,3350,71073,11557,17326,8103,9397,1335
89971,0.0,0.0,6,2,6,0,0,0,2024-07-22 10:51:16.000000 UTC,2025-04-03 13:12:55.000000 UTC,,3.0,1.0,255,27532,27532,2025,10016,7,27532,17392,27532,40553,39024,27532,2670,1,18195
39197,0.0,0.0,6,2,6,0,0,0,2025-06-13 09:18:02.000000 UTC,2026-03-03 06:26:24.000000 UTC,,3.0,1.0,263,27532,27532,2025,10016,7,27532,17392,27532,24144,6230,27532,2670,1,17965
29308,0.0,0.0,6,2,6,0,0,0,2026-03-19 11:15:45.276157 UTC,2026-03-19 12:01:06.276157 UTC,,3.0,1.0,0,27532,27532,2025,10016,7,27532,17392,27532,1361,1921,27532,2670,1,29774
15921,0.0,0.0,6,3,6,0,0,0,2023-10-07 02:25:11.000000 UTC,2025-07-06 23:31:11.000000 UTC,,2.0,1.0,638,27532,27532,2025,5093,7,27532,17392,27532,51754,32558,27532,8103,1,9887
99384,0.0,0.0,7,4,6,0,0,0,2023-06-13 07:11:13.000000 UTC,2025-09-14 09:21:52.000000 UTC,,1.75,1.0,824,27532,27532,887,1,7,27532,17392,27532,55640,26886,27532,21174,1,7337
50833,0.0,0.0,6,2,6,0,0,0,2020-06-11 20:41:30.000000 UTC,2024-11-29 01:34:57.000000 UTC,,3.0,1.0,1632,27532,27532,2025,10016,7,27532,17392,27532,77512,46165,27532,2670,1,1171
