product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Nike Jordan Retro 11 Bred Bootie Socks,Jordan,Socks,903.0,557.15,903.0,345.85,7,1,0,1,5,903.0,345.85,0.383,0.0,0.1667,0.1429,0.8333,0.0003345,0.0002472,3.86e-05,5,1,149,356,8625,13264,13463,7029,3026,155,367,21586,13463,19436,12706,6580
Jordan Low Quarter Sock Style # 427411,Nike,Socks,903.0,537.29,903.0,365.71,7,1,0,1,5,903.0,365.71,0.405,0.0,0.1667,0.1429,0.8333,0.0003345,0.0002614,3.86e-05,5,2,149,311,8625,13264,13463,7029,3026,155,323,20649,13463,19436,12706,6580
The North Face Apex Bionic Soft Shell Jacket - Men's,The North Face,Fashion Hoodies & Sweatshirts,903.0,524.64,1806.0,756.71,6,2,0,0,4,0.0,0.0,0.419,0.0,0.3333,0.0,0.6667,0.000669,0.0005408,3.31e-05,5,3,21,55,12532,6114,13463,17458,6105,22642,22642,19960,13463,9747,17458,12990
NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Nike,Intimates,903.0,512.0,0.0,0.0,4,0,0,3,1,2709.0,1173.0,,,0.0,0.75,1.0,0.0,0.0,2.21e-05,5,4,22532,22532,21053,22532,13463,526,23197,5,15,22532,25326,22532,109,1
Alpha Industries Rip Stop Short,Alpha Industries,Shorts,999.0,482.52,999.0,516.48,8,1,1,1,5,1998.0,1032.97,0.517,0.5,0.1429,0.125,0.8333,0.0003701,0.0003691,4.41e-05,1,5,120,134,5507,13264,3978,7029,3026,14,25,10735,4275,20815,14338,6580
Woolrich Arctic Parka DF,Woolrich,Outerwear & Coats,990.0,478.17,2970.0,1535.49,12,3,2,1,6,2970.0,1535.49,0.517,0.4,0.2727,0.0833,0.6667,0.0011002,0.0010974,6.62e-05,3,6,5,6,694,2358,844,7029,1398,4,4,10735,8312,14284,17144,12990
Quiksilver Men's Rockefeller Walkshort,Quiksilver,Shorts,903.0,472.27,1806.0,861.46,6,2,0,0,4,0.0,0.0,0.477,0.0,0.3333,0.0,0.6667,0.000669,0.0006157,3.31e-05,5,7,21,34,12532,6114,13463,17458,6105,22642,22642,14881,13463,9747,17458,12990
AIR JORDAN DOMINATE SHORTS MENS 465071-100,Jordan,Shorts,903.0,454.21,2709.0,1346.37,5,3,0,0,2,0.0,0.0,0.497,0.0,0.6,0.0,0.4,0.0010035,0.0009622,2.76e-05,5,8,7,9,16887,2358,13463,17458,17069,22642,22642,12874,13463,2189,17458,23875
The North Face Denali Down Womens Jacket 2013,The North Face,Outerwear & Coats,903.0,437.05,903.0,465.95,5,1,0,1,3,903.0,465.95,0.516,0.0,0.25,0.2,0.75,0.0003345,0.000333,2.76e-05,5,9,149,173,16887,13264,13463,7029,10869,155,198,10830,13463,14408,8435,9487
The North Face Denali Down Mens Jacket 2013,The North Face,Outerwear & Coats,903.0,436.15,2709.0,1400.55,13,3,2,2,6,3612.0,1867.4,0.517,0.4,0.2727,0.1538,0.6667,0.0010035,0.001001,7.17e-05,5,10,7,7,423,2358,844,2100,1398,2,3,10735,8312,14284,12634,12990
Catherine Malandrino Women's Skinny Stretch Leather Pant,Catherine Malandrino,Pants & Capris,895.0,434.07,895.0,460.93,7,1,1,1,4,1790.0,921.85,0.515,0.5,0.1667,0.1429,0.8,0.0003315,0.0003294,3.86e-05,29,11,162,180,8625,13264,3978,7029,6105,29,33,10918,4275,19436,12706,7598
NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Nike,Plus,903.0,420.8,0.0,0.0,5,0,1,0,4,903.0,482.2,,1.0,0.0,0.0,1.0,0.0,0.0,2.76e-05,5,12,22532,22532,16887,22532,3978,17458,6105,155,177,22532,1,22532,17458,1
The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,The North Face,Outerwear & Coats,903.0,419.9,1806.0,966.21,7,2,1,1,3,1806.0,966.21,0.535,0.3333,0.3333,0.1429,0.6,0.000669,0.0006905,3.86e-05,5,13,21,30,8625,6114,3978,7029,10869,22,30,9071,8752,9747,12706,16953
Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,Jordan,Outerwear & Coats,903.0,409.06,903.0,493.94,8,1,2,1,4,2709.0,1481.82,0.547,0.6667,0.1429,0.125,0.8,0.0003345,0.000353,4.41e-05,5,14,149,153,5507,13264,844,7029,6105,5,6,7915,3055,20815,14338,7598
Diesel Men's Lophophora Leather Jacket,Diesel,Outerwear & Coats,898.0,408.59,1796.0,978.82,5,2,0,2,1,1796.0,978.82,0.545,0.0,0.6667,0.4,0.3333,0.0006653,0.0006996,2.76e-05,28,15,29,28,16887,6114,13463,2100,23197,28,29,8121,13463,1185,1689,24854
