product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Alpha Industries Rip Stop Short,Alpha Industries,Shorts,999.0,482.52,999.0,516.48,8,1,1,1,5,1998.0,1032.97,0.517,0.5,0.1429,0.125,0.8333,0.0003701,0.0003691,4.41e-05,1,5,120,134,5507,13264,3978,7029,3026,14,25,10735,4275,20815,14338,6580
Darla,Alpha Industries,Outerwear & Coats,999.0,404.6,1998.0,1188.81,7,2,2,0,3,1998.0,1188.81,0.595,0.5,0.2857,0.0,0.6,0.0007401,0.0008496,3.86e-05,1,16,18,15,8625,6114,844,17458,10869,14,14,2925,4275,13238,17458,16953
Woolrich Arctic Parka DF,Woolrich,Outerwear & Coats,990.0,478.17,2970.0,1535.49,12,3,2,1,6,2970.0,1535.49,0.517,0.4,0.2727,0.0833,0.6667,0.0011002,0.0010974,6.62e-05,3,6,5,6,694,2358,844,7029,1398,4,4,10735,8312,14284,17144,12990
Nobis Yatesy Parka,Nobis,Outerwear & Coats,950.0,381.9,0.0,0.0,7,0,0,1,6,950.0,568.1,,,0.0,0.1429,1.0,0.0,0.0,3.86e-05,4,24,22532,22532,8625,22532,13463,7029,1398,141,114,22532,25326,22532,12706,1
The North Face Denali Down Womens Jacket 2013,The North Face,Active,903.0,395.51,1806.0,1014.97,8,2,0,0,6,0.0,0.0,0.562,0.0,0.25,0.0,0.75,0.000669,0.0007254,4.41e-05,5,20,21,25,5507,6114,13463,17458,1398,22642,22642,6272,13463,14408,17458,9487
The North Face Freedom Mens Ski Pants 2013,The North Face,Outerwear & Coats,903.0,369.33,903.0,533.67,5,1,0,2,2,1806.0,1067.35,0.591,0.0,0.3333,0.4,0.6667,0.0003345,0.0003814,2.76e-05,5,31,149,122,16887,13264,13463,2100,17069,22,21,3279,13463,9747,1689,12990
The North Face Women's S-XL Oso Jacket,The North Face,Outerwear & Coats,903.0,378.36,3612.0,2098.57,10,4,1,1,4,1806.0,1049.29,0.581,0.2,0.4444,0.1,0.5,0.001338,0.0014998,5.52e-05,5,25,1,2,1962,776,3978,7029,6105,22,24,4209,12637,6492,16366,19501
JORDAN DURASHEEN SHORT MENS 404309-109,Jordan,Active,903.0,370.23,903.0,532.77,4,1,1,0,2,903.0,532.77,0.59,0.5,0.25,0.0,0.6667,0.0003345,0.0003808,2.21e-05,5,29,149,123,21053,13264,3978,17458,17069,155,138,3353,4275,14408,17458,12990
Nike Jordan Retro 11 Bred Bootie Socks,Jordan,Socks,903.0,557.15,903.0,345.85,7,1,0,1,5,903.0,345.85,0.383,0.0,0.1667,0.1429,0.8333,0.0003345,0.0002472,3.86e-05,5,1,149,356,8625,13264,13463,7029,3026,155,367,21586,13463,19436,12706,6580
The North Face Apex Bionic Soft Shell Jacket - Men's,The North Face,Outerwear & Coats,903.0,363.01,0.0,0.0,4,0,1,0,3,903.0,539.99,,1.0,0.0,0.0,1.0,0.0,0.0,2.21e-05,5,34,22532,22532,21053,22532,3978,17458,10869,155,126,22532,1,22532,17458,1
NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Nike,Plus,903.0,420.8,0.0,0.0,5,0,1,0,4,903.0,482.2,,1.0,0.0,0.0,1.0,0.0,0.0,2.76e-05,5,12,22532,22532,16887,22532,3978,17458,6105,155,177,22532,1,22532,17458,1
The North Face Nuptse 2 Jacket - Noah Green/TNF Black,The North Face,Outerwear & Coats,903.0,370.23,1806.0,1065.54,8,2,0,0,6,0.0,0.0,0.59,0.0,0.25,0.0,0.75,0.000669,0.0007615,4.41e-05,5,29,21,19,5507,6114,13463,17458,1398,22642,22642,3353,13463,14408,17458,9487
NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Nike,Active,903.0,403.64,903.0,499.36,5,1,2,0,2,1806.0,998.72,0.553,0.6667,0.2,0.0,0.6667,0.0003345,0.0003569,2.76e-05,5,17,149,146,16887,13264,844,17458,17069,22,28,7266,3055,17510,17458,12990
NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Nike,Intimates,903.0,512.0,0.0,0.0,4,0,0,3,1,2709.0,1173.0,,,0.0,0.75,1.0,0.0,0.0,2.21e-05,5,4,22532,22532,21053,22532,13463,526,23197,5,15,22532,25326,22532,109,1
The North Face Denali Down Mens Jacket 2013,The North Face,Outerwear & Coats,903.0,436.15,2709.0,1400.55,13,3,2,2,6,3612.0,1867.4,0.517,0.4,0.2727,0.1538,0.6667,0.0010035,0.001001,7.17e-05,5,10,7,7,423,2358,844,2100,1398,2,3,10735,8312,14284,12634,12990
