product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
HUGO BOSS Men's Long Pant,HUGO BOSS,Sleep & Lounge,74.72,28.3,1033.11,648.16,33,14,0,3,16,233.01,138.21,0.6274,0.0,0.4667,0.0909,0.5333,0.0003827,0.0004632,0.000182,6501,9383,113,75,6,1,13463,526,7,2702,2165,933,13463,6418,16872,19494
Hanes Men's 4 Pack Boxer Brief,Hanes,Underwear,25.0,11.52,250.0,133.47,28,10,2,5,11,175.0,92.77,0.5339,0.1667,0.4348,0.1786,0.5238,9.26e-05,9.54e-05,0.0001545,19651,20997,2432,2340,9,4,844,24,43,4152,3935,9232,13196,6738,10715,19500
Joseph Abboud Men's Two-button Side Vent Sport Coat,Joseph Abboud,Suits & Sport Coats,264.0,101.9,2904.0,1759.82,30,11,2,2,15,1056.0,656.57,0.606,0.1538,0.3929,0.0667,0.5769,0.0010758,0.0012577,0.0001655,430,734,6,5,7,3,844,2100,11,112,91,2144,13388,9081,17408,18610
Volcom Men's Vorta Slim Straight Leg Fit Jean,Volcom,Jeans,73.57,41.13,574.85,249.86,27,8,1,4,14,387.8,166.89,0.4347,0.1111,0.3478,0.1481,0.6364,0.0002129,0.0001786,0.0001489,6603,5251,467,746,12,16,3978,126,22,1091,1537,18678,13456,9743,12705,16487
Wrangler Men's Rugged Wear Classic Fit Jean,Wrangler,Jeans,40.87,22.23,367.56,169.24,38,9,5,9,15,596.43,273.96,0.4604,0.3571,0.3103,0.2368,0.625,0.0001362,0.000121,0.0002096,13688,12514,1205,1552,3,5,5,1,11,440,628,16340,8749,13014,7776,16547
True Religion Men's Ricky Straight Leg Jean,True Religion,Jeans,227.86,123.14,1452.0,661.01,28,7,1,5,15,1430.0,645.85,0.4552,0.125,0.3043,0.1786,0.6818,0.0005379,0.0004724,0.0001545,646,406,45,69,9,33,3978,24,11,57,95,16801,13444,13032,10715,12986
Wrangler Men's Genuine Tampa Cargo Short,Wrangler,Shorts,31.37,15.61,229.94,116.44,29,7,1,5,16,179.94,90.54,0.5064,0.125,0.2917,0.1724,0.6957,8.52e-05,8.32e-05,0.00016,17403,17266,2818,2869,8,33,3978,24,7,3935,4081,11924,13444,13236,10730,12964
Joe's Jeans Men's Slim Fit Straight Leg Brixton,Joe's Jeans,Jeans,194.26,102.07,1353.0,647.44,27,7,3,2,15,976.0,458.49,0.4785,0.3,0.28,0.0741,0.6818,0.0005012,0.0004627,0.0001489,992,729,58,76,12,33,151,2100,11,133,207,14773,11276,14282,17370,12986
Kenneth Cole REACTION Men's Passcase Wallet,Kenneth Cole REACTION,Accessories,18.91,7.72,152.71,89.4,34,8,4,4,18,150.85,90.57,0.5854,0.3333,0.2667,0.1176,0.6923,5.66e-05,6.39e-05,0.0001876,23389,24481,4958,4188,4,16,30,126,4,5015,4078,3806,8752,14395,15553,12966
Chaps Big and Tall Solid V-Neck Vest,Chaps,Sweaters,39.88,20.32,279.16,134.91,28,7,4,1,16,199.4,99.06,0.4833,0.3636,0.2593,0.0357,0.6957,0.0001034,9.64e-05,0.0001545,14437,13747,2029,2288,9,33,30,7029,7,3354,3543,14237,8748,14407,17457,12964
Wrangler Men's Wrancher Dress Jean,Wrangler,Jeans,40.4,20.2,242.4,118.65,27,6,2,3,16,202.0,102.05,0.4895,0.25,0.25,0.1111,0.7273,8.98e-05,8.48e-05,0.0001489,13728,13816,2533,2788,12,84,844,526,7,3236,3382,13585,11344,14408,15570,11980
7 For All Mankind Men's Standard Classic Straight Leg Jean,7 For All Mankind,Jeans,157.45,80.97,1435.0,696.01,42,9,5,5,23,1673.0,844.04,0.485,0.3571,0.2432,0.119,0.7188,0.0005316,0.0004974,0.0002317,1798,1488,46,60,2,5,5,24,2,32,41,14028,8749,17091,15552,12034
Wrangler Men's Premium Performance Cowboy Cut Jean,Wrangler,Jeans,47.45,25.88,570.83,264.22,58,12,2,7,37,417.81,189.65,0.4629,0.1429,0.2353,0.1207,0.7551,0.0002115,0.0001888,0.00032,12004,10508,470,662,1,2,844,2,1,905,1224,16149,13389,17092,15548,9486
Volcom Men's Kinkade Jean,Volcom,Jeans,66.67,35.17,269.9,125.86,27,4,3,5,15,538.25,254.63,0.4663,0.4286,0.1818,0.1852,0.7895,0.0001,9e-05,0.0001489,7633,6807,2158,2560,12,776,151,24,11,562,723,15806,8270,19358,10467,9273
True Religion Men's Ricky Straight Jean,True Religion,Jeans,246.88,129.05,1366.0,666.07,34,5,4,3,22,1400.0,654.5,0.4876,0.4444,0.1613,0.0882,0.8148,0.000506,0.000476,0.0001876,534,354,56,65,4,251,30,526,3,63,92,13792,8264,20804,17143,7595
