product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Canada Goose Men's The Chateau Jacket,Canada Goose,Active,815.0,337.41,0.0,0.0,6,0,1,4,1,4075.0,2387.95,,1.0,0.0,0.6667,1.0,0.0,0.0,3.31e-05,31,39,22532,22532,12532,22532,3978,126,23197,1,1,22532,1,22532,154,1
The North Face Denali Down Mens Jacket 2013,The North Face,Outerwear & Coats,903.0,436.15,2709.0,1400.55,13,3,2,2,6,3612.0,1867.4,0.517,0.4,0.2727,0.1538,0.6667,0.0010035,0.001001,7.17e-05,5,10,7,7,423,2358,844,2100,1398,2,3,10735,8312,14284,12634,12990
Canada Goose Women's Chilliwack Bomber,Canada Goose,Outerwear & Coats,695.0,287.73,695.0,407.27,8,1,3,2,2,3475.0,2036.35,0.586,0.75,0.1667,0.25,0.6667,0.0002575,0.0002911,4.41e-05,46,52,294,240,5507,13264,151,2100,17069,3,2,3719,2834,19436,5542,12990
Woolrich Arctic Parka DF,Woolrich,Outerwear & Coats,990.0,478.17,2970.0,1535.49,12,3,2,1,6,2970.0,1535.49,0.517,0.4,0.2727,0.0833,0.6667,0.0011002,0.0010974,6.62e-05,3,6,5,6,694,2358,844,7029,1398,4,4,10735,8312,14284,17144,12990
Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,Jordan,Outerwear & Coats,903.0,409.06,903.0,493.94,8,1,2,1,4,2709.0,1481.82,0.547,0.6667,0.1429,0.125,0.8,0.0003345,0.000353,4.41e-05,5,14,149,153,5507,13264,844,7029,6105,5,6,7915,3055,20815,14338,7598
NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Nike,Intimates,903.0,512.0,0.0,0.0,4,0,0,3,1,2709.0,1173.0,,,0.0,0.75,1.0,0.0,0.0,2.21e-05,5,4,22532,22532,21053,22532,13463,526,23197,5,15,22532,25326,22532,109,1
Spyder Women's Jesst In Time Jacket,Spyder,Outerwear & Coats,650.0,295.75,3250.0,1771.25,10,5,4,0,1,2600.0,1417.0,0.545,0.4444,0.5,0.0,0.1667,0.0012039,0.0012659,5.52e-05,52,50,3,4,1962,251,30,17458,23197,7,7,8121,8264,3269,17458,27059
IGIGI by Yuliya Raquel Plus Size Kandinsky Gown,IGIGI by Yuliya Raquel,Dresses,325.0,136.17,0.0,0.0,13,0,3,5,5,2600.0,1510.6,,1.0,0.0,0.3846,1.0,0.0,0.0,7.17e-05,236,300,22532,22532,423,22532,151,24,3026,7,5,22532,1,22532,2333,1
Canada Goose Women's Mystique,Canada Goose,Active,750.0,280.5,750.0,469.5,9,1,1,2,5,2250.0,1408.5,0.626,0.5,0.1429,0.2222,0.8333,0.0002778,0.0003355,4.96e-05,37,53,230,170,3355,13264,3978,2100,3026,9,8,984,4275,20815,7837,6580
Canada Goose Women's Mystique,Canada Goose,Outerwear & Coats,750.0,353.25,1500.0,793.5,6,2,3,0,1,2250.0,1190.25,0.529,0.6,0.3333,0.0,0.3333,0.0005557,0.0005671,3.31e-05,37,35,41,44,12532,6114,151,17458,23197,9,13,9645,4103,9747,17458,24854
Arc'teryx Moray Jacket - Women's,Arc'teryx,Outerwear & Coats,699.0,343.91,2097.0,1065.28,9,3,0,3,3,2097.0,1065.28,0.508,0.0,0.5,0.3333,0.5,0.0007768,0.0007613,4.96e-05,41,36,15,20,3355,2358,13463,526,10869,11,22,11720,13463,3269,2619,19501
Magaschoni Women's Shimmer Jacket,Magaschoni,Blazers & Jackets,698.0,258.96,698.0,439.04,6,1,1,2,2,2094.0,1317.13,0.629,0.5,0.25,0.3333,0.6667,0.0002586,0.0003138,3.31e-05,43,58,288,201,12532,13264,3978,2100,17069,12,9,839,4275,14408,2619,12990
Joseph Abboud Men's Super 120's Two Button Side Vent Single Pleat Pant Tuxedo With Grosgrain Notch Lapel,Joseph Abboud,Suits & Sport Coats,405.26,145.08,405.26,260.18,11,1,2,3,5,2026.3,1300.88,0.642,0.6667,0.125,0.2727,0.8333,0.0001501,0.0001859,6.07e-05,108,256,961,686,1161,13264,844,526,3026,13,10,361,3055,21675,5408,6580
Darla,Alpha Industries,Outerwear & Coats,999.0,404.6,1998.0,1188.81,7,2,2,0,3,1998.0,1188.81,0.595,0.5,0.2857,0.0,0.6,0.0007401,0.0008496,3.86e-05,1,16,18,15,8625,6114,844,17458,10869,14,14,2925,4275,13238,17458,16953
Alpha Industries Rip Stop Short,Alpha Industries,Shorts,999.0,482.52,999.0,516.48,8,1,1,1,5,1998.0,1032.97,0.517,0.5,0.1429,0.125,0.8333,0.0003701,0.0003691,4.41e-05,1,5,120,134,5507,13264,3978,7029,3026,14,25,10735,4275,20815,14338,6580
