product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Plus Size Black Jazzy Jacket,Fashion Love,Blazers & Jackets,34.99,11.58,104.97,70.22,5,3,0,1,1,34.99,23.41,0.669,0.0,0.75,0.2,0.25,3.89e-05,5.02e-05,2.76e-05,15963,20949,7698,5726,16887,2358,13463,7029,23197,17236,14884,1,13463,746,8435,26348
Ulla Popken Plus Size Soutache Embroidered Jacket,Ulla Popken,Blazers & Jackets,89.0,29.46,178.0,119.08,7,2,1,0,4,89.0,59.54,0.669,0.3333,0.2857,0.0,0.6667,6.59e-05,8.51e-05,3.86e-05,4994,8857,4102,2773,8625,6114,3978,17458,6105,9306,6919,1,8752,13238,17458,12990
Ted Baker Women's Mowna,Ted Baker,Blazers & Jackets,206.96,68.5,206.96,138.46,7,1,1,1,4,413.92,276.91,0.669,0.5,0.1667,0.1429,0.8,7.67e-05,9.9e-05,3.86e-05,771,2149,3223,2200,8625,13264,3978,7029,6105,925,621,1,4275,19436,12706,7598
Eddie Bauer Signature Stretch Blazer,Eddie Bauer,Blazers & Jackets,149.95,49.63,299.9,200.63,9,2,0,2,5,299.9,200.63,0.669,0.0,0.2857,0.2222,0.7143,0.0001111,0.0001434,4.96e-05,1956,3876,1775,1137,3355,6114,13463,2100,3026,1734,1126,1,13463,13238,7837,12035
DKNYC Women's 2 Button Blazer,DKNYC,Blazers & Jackets,99.09,32.8,198.18,132.58,6,2,2,0,2,198.18,132.58,0.669,0.5,0.3333,0.0,0.5,7.34e-05,9.48e-05,3.31e-05,4110,7591,3450,2363,12532,6114,844,17458,17069,3375,2320,1,4275,9747,17458,19501
Allegra K Front Opening Long Sleeve Womenwear Form-fitting Blazer Off White XS,Allegra K,Blazers & Jackets,18.68,6.18,37.36,24.99,6,2,0,1,3,18.68,12.5,0.6689,0.0,0.4,0.1667,0.6,1.38e-05,1.79e-05,3.31e-05,23425,25885,16627,14250,12532,6114,13463,7029,10869,20771,19355,6,13463,7482,10731,16953
Allegra K Women Horizontal Stripes Bubble Sleeve Spring Coat Black XS,Allegra K,Blazers & Jackets,11.67,3.86,23.34,15.61,10,2,1,0,7,11.67,7.81,0.6688,0.3333,0.2,0.0,0.7778,8.6e-06,1.12e-05,5.52e-05,26523,27736,19737,17784,1962,6114,3978,17458,623,21976,21271,7,8752,17510,17458,9281
BB Dakota Yellow Marigold Naples Boxy Cropped Blazer Button up Front and Double Pockets,BB Dakota,Blazers & Jackets,77.0,25.56,77.0,51.44,6,1,0,2,3,154.0,102.87,0.6681,0.0,0.25,0.3333,0.75,2.85e-05,3.68e-05,3.31e-05,6222,10673,10392,8077,12532,13264,13463,2100,10869,4944,3344,8,13463,14408,2619,9487
Mango Women's Suit Cropped Blazer - Chipi,MANGO,Blazers & Jackets,49.99,16.6,99.98,66.79,4,2,1,0,1,49.99,33.39,0.668,0.3333,0.5,0.0,0.3333,3.7e-05,4.77e-05,2.21e-05,10894,16411,8109,6088,21053,6114,3978,17458,23197,14347,11779,9,8752,3269,17458,24854
Calvin Klein Jeans Women's Moto Jacket,Calvin Klein Jeans,Blazers & Jackets,56.39,18.72,56.39,37.67,5,1,1,0,3,56.39,37.67,0.668,0.5,0.2,0.0,0.75,2.09e-05,2.69e-05,2.76e-05,9503,14790,13133,10707,16887,13264,3978,17458,10869,13238,10778,9,4275,17510,17458,9487
Allegra K Women Double Breasted Long Sleeve Autumn Blazer Coat Army Green XS,Allegra K,Blazers & Jackets,16.05,5.33,32.1,21.44,4,2,0,1,1,16.05,10.72,0.6679,0.0,0.6667,0.25,0.3333,1.19e-05,1.53e-05,2.21e-05,24296,26673,17542,15499,21053,6114,13463,7029,23197,21164,20129,11,13463,1185,5542,24854
Pendleton Women's Trimmed Herringbone Blazer,Pendleton,Blazers & Jackets,258.0,85.91,516.0,344.17,6,2,1,2,1,774.0,516.26,0.667,0.3333,0.5,0.3333,0.3333,0.0001911,0.000246,3.31e-05,462,1282,594,364,12532,6114,3978,2100,23197,251,153,12,8752,3269,2619,24854
Corey Lynn Calter Women's Jessica Jacket,CoreyLynnCalter,Blazers & Jackets,79.0,26.31,79.0,52.69,3,1,0,1,1,79.0,52.69,0.667,0.0,0.5,0.3333,0.5,2.93e-05,3.77e-05,1.65e-05,5951,10284,10194,7889,24645,13264,13463,7029,23197,10287,7953,12,13463,3269,2619,19501
Only Hearts Women's Double Knit 2 Button Jacket,Only Hearts,Blazers & Jackets,185.0,61.61,1110.0,740.37,11,6,0,0,5,0.0,0.0,0.667,0.0,0.5455,0.0,0.4545,0.0004112,0.0005291,6.07e-05,1114,2672,94,56,1161,84,13463,17458,3026,22642,22642,12,13463,3246,17458,23452
Plus Size White Night Sky Top,Alex Evenings,Blazers & Jackets,124.99,41.62,124.99,83.37,4,1,2,0,1,249.98,166.74,0.667,0.6667,0.25,0.0,0.5,4.63e-05,5.96e-05,2.21e-05,2939,5153,6403,4593,21053,13264,844,17458,23197,2385,1545,12,3055,14408,17458,19501
