product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Wrangler Men's Rugged Wear Classic Fit Jean,Wrangler,Jeans,40.87,22.23,367.56,169.24,38,9,5,9,15,596.43,273.96,0.4604,0.3571,0.3103,0.2368,0.625,0.0001362,0.000121,0.0002096,13688,12514,1205,1552,3,5,5,1,11,440,628,16340,8749,13014,7776,16547
Wrangler Men's Original Cowboy Cut Relaxed Fit Jean,Wrangler,Jeans,42.99,22.67,228.46,108.63,25,5,5,7,8,493.18,228.73,0.4755,0.5,0.2778,0.28,0.6154,8.46e-05,7.76e-05,0.0001379,13180,12269,2826,3184,21,251,5,2,295,687,895,15040,4275,14283,5404,16940
ExOfficio Men's Insect Shield Ziwa Convertible Pant,ExOfficio,Pants,99.0,43.86,198.0,110.29,13,2,1,7,3,792.0,441.14,0.557,0.3333,0.3333,0.5385,0.6,7.33e-05,7.88e-05,7.17e-05,4113,4766,3453,3105,423,6114,3978,2,10869,234,228,6818,8752,9747,476,16953
VH Apparel - Kissables Shea Butter Infused Double Layer Socks - One Size,VH Apparel - Kissables,Socks & Hosiery,11.49,4.12,22.98,14.73,12,2,0,7,3,80.43,51.56,0.641,0.0,0.4,0.5833,0.6,8.5e-06,1.05e-05,6.62e-05,26551,27584,19789,18178,694,6114,13463,2,10869,9911,8134,403,13463,7482,426,16953
WeSC Men's Eddy Chino Pant,WESC,Pants,73.62,33.02,300.95,165.16,25,4,2,7,12,657.75,363.33,0.5488,0.3333,0.2222,0.28,0.75,0.0001115,0.000118,0.0001379,6601,7527,1711,1625,21,776,844,2,37,350,333,7797,8752,17122,5404,9487
Wrangler Men's Premium Performance Cowboy Cut Jean,Wrangler,Jeans,47.45,25.88,570.83,264.22,58,12,2,7,37,417.81,189.65,0.4629,0.1429,0.2353,0.1207,0.7551,0.0002115,0.0001888,0.00032,12004,10508,470,662,1,2,844,2,1,905,1224,16149,13389,17092,15548,9486
7 For All Mankind Women's The Slim Cigarette Jean,7 For All Mankind,Jeans,157.64,84.21,495.99,230.84,17,3,0,7,7,993.96,464.0,0.4654,0.0,0.3,0.4118,0.7,0.0001837,0.000165,9.38e-05,1785,1344,678,856,103,2358,13463,2,623,129,200,15893,13463,13033,1688,12849
Savane Men's Flat Front No-Iron Twill Pant,Savane,Pants,41.19,18.35,121.97,68.51,20,3,3,6,8,369.91,205.55,0.5617,0.5,0.2143,0.3,0.7273,4.52e-05,4.9e-05,0.0001103,13643,15060,6515,5898,59,2358,151,8,295,1179,1080,6368,4275,17490,4443,11980
Ed Garments Men's Three-Ply Pleated Dress Pant. 2680,Ed Garments,Pants,76.99,31.72,230.97,135.81,10,3,0,6,1,461.94,271.62,0.588,0.0,0.75,0.6,0.25,8.56e-05,9.71e-05,5.52e-05,6231,7981,2785,2261,1962,2358,13463,8,23197,780,639,3542,13463,746,331,26348
Underworks Men's Padded Rear Boxer Brief for Butt Lift,Underworks,Underwear,29.99,15.08,0.0,0.0,9,0,0,6,3,179.94,89.43,,,0.0,0.6667,1.0,0.0,0.0,4.96e-05,17719,17696,22532,22532,3355,22532,13463,8,10869,3935,4144,22532,25326,22532,154,1
Volcom Men's Vapato Chino Pant,Volcom,Pants,131.63,62.16,997.65,526.94,19,7,2,6,4,881.6,464.52,0.5282,0.2222,0.5385,0.3158,0.3636,0.0003696,0.0003766,0.0001048,2563,2619,121,128,72,33,844,8,6105,175,199,9720,12628,3262,4416,24848
Tommy Hilfiger Mens Cambridge Passcase,Tommy Hilfiger,Accessories,23.28,10.2,69.84,39.25,14,3,0,6,5,139.68,78.5,0.562,0.0,0.375,0.4286,0.625,2.59e-05,2.81e-05,7.72e-05,21572,22289,11414,10366,268,2358,13463,8,3026,5698,5005,6272,13463,9107,1436,16547
Commando Sweaters GI Style Acrylic Command Sweater,ANS,Sweaters,36.5,19.56,109.5,50.81,14,3,1,6,4,255.5,118.55,0.464,0.25,0.375,0.4286,0.5714,4.06e-05,3.63e-05,7.72e-05,15396,14224,7458,8189,268,2358,3978,8,6105,2306,2714,16011,11344,9107,1436,18611
Columbia Men's Tall Cathedral Peak Vest,Columbia,Outerwear & Coats,34.95,14.4,34.95,20.55,12,1,1,6,4,244.65,143.85,0.588,0.5,0.1667,0.5,0.8,1.29e-05,1.47e-05,6.62e-05,16246,18275,17146,15812,694,13264,3978,8,6105,2447,2014,3542,4275,19436,477,7598
3 PAIR -30 BELOW THERMAL WINTER SOCKS (MERINO WOOL),J.B. Icelandic (Extreme Cold Activity),Socks,33.0,19.77,33.0,13.23,10,1,0,6,3,198.0,79.4,0.4009,0.0,0.25,0.6,0.75,1.22e-05,9.5e-06,5.52e-05,16766,14097,17399,18866,1962,13264,13463,8,10869,3376,4926,20898,13463,14408,331,9487
