product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
HUGO BOSS Men's Long Pant,HUGO BOSS,Sleep & Lounge,74.72,28.3,1033.11,648.16,33,14,0,3,16,233.01,138.21,0.6274,0.0,0.4667,0.0909,0.5333,0.0003827,0.0004632,0.000182,6501,9383,113,75,6,1,13463,526,7,2702,2165,933,13463,6418,16872,19494
Wrangler Men's Premium Performance Cowboy Cut Jean,Wrangler,Jeans,47.45,25.88,570.83,264.22,58,12,2,7,37,417.81,189.65,0.4629,0.1429,0.2353,0.1207,0.7551,0.0002115,0.0001888,0.00032,12004,10508,470,662,1,2,844,2,1,905,1224,16149,13389,17092,15548,9486
Joseph Abboud Men's Two-button Side Vent Sport Coat,Joseph Abboud,Suits & Sport Coats,264.0,101.9,2904.0,1759.82,30,11,2,2,15,1056.0,656.57,0.606,0.1538,0.3929,0.0667,0.5769,0.0010758,0.0012577,0.0001655,430,734,6,5,7,3,844,2100,11,112,91,2144,13388,9081,17408,18610
Hanes Men's 4 Pack Boxer Brief,Hanes,Underwear,25.0,11.52,250.0,133.47,28,10,2,5,11,175.0,92.77,0.5339,0.1667,0.4348,0.1786,0.5238,9.26e-05,9.54e-05,0.0001545,19651,20997,2432,2340,9,4,844,24,43,4152,3935,9232,13196,6738,10715,19500
Michael Kors Men's Marlow Wool-Blend Single-Breasted Fitted Top Coat,Michael Kors,Outerwear & Coats,255.0,102.26,2295.0,1374.7,15,9,1,2,3,765.0,458.23,0.599,0.1,0.6923,0.1333,0.25,0.0008502,0.0009825,8.27e-05,469,728,13,8,187,5,3978,2100,10869,252,208,2612,13461,1184,14317,26348
Joe's Jeans Men's Rebel Relaxed Fit Jean,Joe's Jeans,Jeans,139.29,76.13,1296.69,583.03,26,9,0,3,14,339.69,166.11,0.4496,0.0,0.3913,0.1154,0.6087,0.0004803,0.0004167,0.0001434,2334,1721,68,102,17,5,13463,526,22,1403,1558,17357,13463,9082,15567,16952
7 For All Mankind Men's Standard Classic Straight Leg Jean,7 For All Mankind,Jeans,157.45,80.97,1435.0,696.01,42,9,5,5,23,1673.0,844.04,0.485,0.3571,0.2432,0.119,0.7188,0.0005316,0.0004974,0.0002317,1798,1488,46,60,2,5,5,24,2,32,41,14028,8749,17091,15552,12034
3-Piece Matching Set Laura High Quality Strapless Bra Thong & Bikini #SL101084 Made in Colombia,Laura,Intimates,41.95,20.45,377.55,193.56,13,9,0,2,2,83.9,42.79,0.5127,0.0,0.8182,0.1538,0.1818,0.0001399,0.0001383,7.17e-05,13574,13665,1157,1202,423,5,13463,2100,17069,9768,9702,11272,13463,606,12634,27058
State O Maine Big and Tall Fashion Flannel Pajama,KNOTHE CORP.,Sleep & Lounge,36.88,15.59,331.92,192.51,21,9,5,1,6,221.28,127.31,0.58,0.3571,0.45,0.0476,0.4,0.000123,0.0001376,0.0001158,15350,17283,1492,1214,50,5,5,7029,1398,2854,2454,4293,8749,6490,17453,23875
JiMarti JM01 Sunglasses for Golf Fishing Cycling-Unbreakable-... Frame,JiMarti,Accessories,29.95,11.92,269.55,161.1,22,9,2,2,9,119.8,72.12,0.5977,0.1818,0.45,0.0909,0.5,9.99e-05,0.0001151,0.0001214,18166,20613,2175,1707,43,5,844,2100,140,6868,5540,2758,13193,6490,16872,19501
PAIGE Women's Skyline Skinny Jean,PAIGE,Jeans,158.0,90.19,1422.0,608.93,19,9,0,2,8,316.0,135.88,0.4282,0.0,0.5294,0.1053,0.4706,0.0005268,0.0004352,0.0001048,1714,1108,48,90,72,5,13463,2100,295,1575,2230,19172,13463,3268,16363,23444
Motherhood Maternity: Sports Clip Down Nursing Bra,Motherhood Maternity,Maternity,22.54,10.46,200.82,108.99,25,9,2,3,11,112.9,60.37,0.5427,0.1818,0.4091,0.12,0.55,7.44e-05,7.79e-05,0.0001379,21822,22052,3297,3165,21,5,844,526,43,7249,6811,8373,13193,7481,15549,19449
Belly Bandit post pregnancy tummy wrap belly band original Nude,Belly Bandit,Maternity,54.95,23.79,489.55,279.96,20,9,1,2,8,169.85,97.62,0.5719,0.1,0.5,0.1,0.4706,0.0001813,0.0002001,0.0001103,9960,11605,701,588,59,5,3978,2100,295,4325,3628,5219,13461,3269,16366,23444
Wrangler Men's Rugged Wear Classic Fit Jean,Wrangler,Jeans,40.87,22.23,367.56,169.24,38,9,5,9,15,596.43,273.96,0.4604,0.3571,0.3103,0.2368,0.625,0.0001362,0.000121,0.0002096,13688,12514,1205,1552,3,5,5,1,11,440,628,16340,8749,13014,7776,16547
Ray-Ban Unisex RB4105 Folding Wayfarer Sunglasses,Ray-Ban,Accessories,99.65,36.84,896.85,562.92,18,9,2,3,4,498.25,313.8,0.6277,0.1818,0.6,0.1667,0.3077,0.0003322,0.0004023,9.93e-05,4069,6340,161,113,87,5,844,526,6105,666,476,932,13193,2189,10731,26246
