product_name,product_brand,product_category,avg_product_sale_price,avg_product_cost,revenue,profit,unit_orders_placed,units_completed,units_returned,units_cancelled,units_en_route,lost_revenue,lost_profit,profit_margin,return_rate,completion_rate,cancellation_rate,en_route_rate,revenue_share,profit_share,unit_orders_placed_share,avg_product_sale_price_rank,avg_product_cost_rank,revenue_rank,profit_rank,unit_orders_placed_rank,units_completed_rank,units_returned_rank,units_cancelled_rank,units_en_route_rank,lost_revenue_rank,lost_profit_rank,profit_margin_rank,return_rate_rank,completion_rate_rank,cancellation_rate_rank,en_route_rate_rank
Kenneth Cole Men's Straight Leg Jean,Kenneth Cole,Jeans,54.25,27.11,54.99,26.89,24,1,7,4,12,632.25,318.8,0.489,0.875,0.05,0.1667,0.9231,2.04e-05,1.92e-05,0.0001324,10100,9920,13356,13628,30,13264,1,126,37,380,462,13602,2795,22531,10731,5642
Alex Stevens Men's Chevron Cuff Cardigan,Alex Stevens,Sweaters,26.0,11.78,26.0,14.22,14,1,7,0,6,182.0,99.55,0.5469,0.875,0.0714,0.0,0.8571,9.6e-06,1.02e-05,7.72e-05,19363,20777,18768,18407,268,13264,1,17458,1398,3788,3516,7983,2795,22525,17458,6057
Womenâ€™s UA Baseâ„¢ 4.0 Leggings Bottoms by Under Armour,Under Armour,Active,63.99,23.93,127.98,80.12,12,2,6,2,2,511.92,320.46,0.626,0.75,0.2,0.1667,0.5,4.74e-05,5.73e-05,6.62e-05,8152,11520,6273,4860,694,6114,3,2100,17069,616,453,984,2834,17510,10731,19501
G by GUESS Cosmos Slit-Front Top,G by GUESS,Tops & Tees,29.5,16.87,88.5,37.88,13,3,6,1,3,206.5,88.38,0.428,0.6667,0.25,0.0769,0.5,3.28e-05,2.71e-05,7.17e-05,18349,16195,9301,10674,423,2358,3,7029,10869,3172,4221,19180,3055,14408,17286,19501
G-Star Men's Attacc Straight Vintage Jean,G-Star,Jeans,210.0,102.9,210.0,107.1,7,1,5,0,1,1050.0,535.5,0.51,0.8333,0.1429,0.0,0.5,7.78e-05,7.65e-05,3.86e-05,737,713,3106,3251,8625,13264,5,17458,23197,113,132,11510,2797,20815,17458,19501
Quiksilver Waterman Men's Cabo 3 Walkshort,Quiksilver,Shorts,35.98,18.39,35.98,17.59,10,1,5,1,3,215.88,105.57,0.4889,0.8333,0.1111,0.1,0.75,1.33e-05,1.26e-05,5.52e-05,15686,15023,16878,17002,1962,13264,5,7029,10869,2994,3212,13683,2797,22130,16366,9487
Icebreaker Men's Kodiak Zip Jacket,Icebreaker,Outerwear & Coats,250.0,122.5,250.0,127.5,13,1,5,1,6,1500.0,765.0,0.51,0.8333,0.0833,0.0769,0.8571,9.26e-05,9.11e-05,7.17e-05,480,413,2432,2507,423,13264,5,7029,1398,43,60,11510,2797,22497,17286,6057
Levi's Women's Demi Curve Slim Fit Jean,Levi's,Jeans,44.99,25.36,359.92,158.59,22,8,5,3,6,359.92,157.29,0.4406,0.3846,0.4211,0.1364,0.4286,0.0001333,0.0001133,0.0001214,12553,10773,1272,1757,43,16,5,526,1398,1228,1730,18170,8724,7452,14315,23541
Ames Walker Style 166 Men's Microfiber Firm Support Travel Socks 15-20 - Available in Various Sizes and Colors,Ames,Socks,12.99,8.07,12.99,4.92,11,1,5,2,3,90.93,34.46,0.3788,0.8333,0.1111,0.1818,0.75,4.8e-06,3.5e-06,6.07e-05,25756,24123,21580,22067,1161,13264,5,2100,10869,8965,11517,21711,2797,22130,10468,9487
Under Armour Igniter Pro Sport Sunglasses,Under Armour,Accessories,94.99,41.47,284.97,162.72,17,3,5,3,6,759.92,424.04,0.571,0.625,0.2143,0.1765,0.6667,0.0001056,0.0001163,9.38e-05,4573,5187,1952,1668,103,2358,5,526,1398,255,249,5261,4099,17490,10717,12990
Men's Superior 150s Single Breasted Two Button Black Pinstripe Dress Suit European Cut,Giorgio Cerruti,Suits & Sport Coats,69.95,27.98,209.85,125.91,16,3,5,0,8,349.75,209.85,0.6,0.625,0.1875,0.0,0.7273,7.77e-05,9e-05,8.83e-05,6978,9517,3144,2557,150,2358,5,17458,295,1333,1043,2533,4099,19354,17458,11980
Wrangler Men's Rugged Wear Classic Fit Jean,Wrangler,Jeans,40.87,22.23,367.56,169.24,38,9,5,9,15,596.43,273.96,0.4604,0.3571,0.3103,0.2368,0.625,0.0001362,0.000121,0.0002096,13688,12514,1205,1552,3,5,5,1,11,440,628,16340,8749,13014,7776,16547
Wrangler Men's Original Cowboy Cut Relaxed Fit Jean,Wrangler,Jeans,42.99,22.67,228.46,108.63,25,5,5,7,8,493.18,228.73,0.4755,0.5,0.2778,0.28,0.6154,8.46e-05,7.76e-05,0.0001379,13180,12269,2826,3184,21,251,5,2,295,687,895,15040,4275,14283,5404,16940
Robert Graham Men's Cheshire,Robert Graham,Tops & Tees,179.99,92.69,179.99,87.3,11,1,5,1,4,1079.94,523.77,0.485,0.8333,0.1,0.0909,0.8,6.67e-05,6.24e-05,6.07e-05,1179,1014,3947,4329,1161,13264,5,7029,6105,110,145,14028,2797,22369,16872,7598
Tolani Women's Daphne Top,Tolani,Tops & Tees,194.0,104.95,388.0,178.09,12,2,5,1,4,1164.0,534.28,0.459,0.7143,0.1818,0.0833,0.6667,0.0001437,0.0001273,6.62e-05,993,654,1103,1402,694,6114,5,7029,6105,103,134,16449,3052,19358,17144,12990
