product_name,revenue,revenue_rank
Canada Goose Men's The Chateau Jacket,8965.0,1
Darla,5994.0,2
Men's Moncler Down Vest Tib,3850.0,3
The North Face Apex Bionic Soft Shell Jacket - Men's,3612.0,4
NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,3612.0,4
Canada Goose Women's Solaris,2780.0,6
The North Face Denali Down Mens Jacket 2013,2709.0,7
JORDAN DURASHEEN SHORT MENS 404309-109,2709.0,7
Quiksilver Men's Rockefeller Walkshort,2709.0,7
The North Face Nuptse 2 Jacket Deep Water Blue Mens,2709.0,7
